h,Agg_0.5,Agg_0.6,Agg_0.7,Agg_0.8,Agg_0.9,Agg_1,Agg_1.1,Agg_1.2,Agg_1.3,Agg_1.4,Agg_1.5,Agg_1.6,Agg_1.7,Agg_1.8,Agg_1.9,Agg_2,Agg_-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,4139.629339,4192.469629,4198.542048,4186.25418,4166.757054,4144.933671,4123.042859,4102.138549,4082.686764,4064.855846,4048.661102,4034.040006,4020.892477,4009.102822,3998.551745,3989.122845,3912.712366
0.02,7414.046109,7620.221144,7690.748095,7705.06127,7694.113331,7671.736138,7644.642841,7616.248721,7588.322511,7561.766515,7537.01053,7514.221127,7493.417283,7474.536183,7457.471486,7442.095874,7313.007426
0.03,9861.047636,10349.40757,10551.54876,10634.21779,10660.62588,10658.89992,10642.8985,10619.91637,10593.95627,10567.26322,10541.09959,10516.15969,10492.80184,10471.1829,10451.3386,10433.2325,10273.54181
0.04,11467.45833,12415.99401,12833.56433,13032.49916,13127.49531,13168.54336,13180.18299,13175.4662,13161.72723,13143.24378,13122.56982,13101.24687,13080.20306,13059.98625,13040.90477,13023.11464,12853.96097
0.05,12176.96228,13822.35371,14567.74476,14941.92251,15141.4243,15249.49232,15306.30326,15333.13758,15342.0311,15340.11873,15331.7751,15319.7461,15305.78101,15291.00155,15276.12547,15261.60599,15103.76374
0.06,11961.25398,14535.55261,15761.35904,16388.21681,16736.16174,16939.27126,17060.68332,17133.34997,17175.81722,17199.1159,17210.08188,17213.08366,17210.97755,17205.66217,17198.4134,17190.09354,17064.43525
0.07,10941.41412,14513.00944,16395.5242,17379.50162,17932.7821,18265.14232,18473.75388,18608.2603,18696.22782,18753.95921,18791.56572,18815.5511,18830.21841,18838.4779,18842.33161,18843.1747,18771.05986
0.08,9520.873313,13770.18013,16434.65555,17904.31615,18738.72581,19244.22576,19567.6355,19782.72932,19929.71169,20032.06133,20104.24692,20155.5643,20192.18445,20218.31203,20236.87249,20249.93602,20253.55718
0.09,8184.34806,12456.03901,15866.34426,17935.67552,19146.37162,19882.75348,20356.14168,20674.75372,20896.68952,21055.3187,21170.96009,21256.57687,21320.75141,21369.33693,21406.42289,21434.92376,21537.63949
0.1,7151.891665,10939.52415,14746.85969,17455.02015,19135.30221,20175.08068,20844.17928,21295.39074,21611.81023,21840.56172,22009.91847,22137.71374,22235.66649,22311.73805,22371.48585,22418.87738,22645.56033
0.11,6446.791498,9591.17119,13260.84166,16485.85462,18687.82201,20105.40052,21027.11472,21648.27877,22083.8304,22399.69022,22635.01058,22814.16785,22953.00854,23062.21522,23149.20921,23219.2766,23596.70417
0.12,6000.87242,8550.936042,11755.37877,15120.03541,17814.34991,19658.84637,20892.40132,21729.30622,22315.2482,22739.53631,23055.85612,23297.38835,23485.46312,23634.3152,23753.75678,23850.73905,24408.0546
0.13,5727.702883,7820.180385,10480.93012,13587.67024,16567.71743,18840.71393,20428.28907,21528.34296,22302.24843,22861.61547,23277.67709,23595.08934,23842.43659,24038.61959,24196.54729,24325.29468,25094.56878
0.14,5560.334805,7338.169913,9503.545369,12178.74421,15085.62585,17685.9984,19638.54826,21036.57443,22036.62294,22762.33751,23301.17638,23711.15147,24030.04361,24282.81136,24486.38134,24652.55688,25669.4794
0.15,5455.629766,7028.104379,8805.21171,11027.94558,13622.45666,16280.36008,18549.10569,20257.89558,21512.23608,22435.15169,23123.01394,23645.6425,24051.06063,24371.66354,24629.48221,24839.8094,26144.5404
0.16,5387.936042,6827.597593,8329.654859,10149.53392,12363.65881,14818.61426,17218.0793,19213.25029,20733.82,21876.37209,22738.18004,23395.56203,23905.10517,24307.06537,24629.50601,24892.04002,26530.2287
0.17,5342.482226,6694.55428,8010.802695,9514.533954,11357.19915,13502.91768,15788.97151,17945.56774,19719.39508,21091.80343,22145.24039,22957.41465,23589.64985,24088.3779,24487.66113,24811.99138,26835.91146
0.18,5310.772484,6602.877579,7794.645891,9070.763434,10590.99667,12414.23092,14454.46679,16562.21122,18502.90635,20097.60883,21351.04678,22331.8231,23102.72976,23713.70784,24203.25585,24600.39425,27069.9861
0.19,5287.827445,6536.98694,7643.825247,8762.401696,10031.47061,11553.20154,13318.71606,15234.95474,17168.02512,18922.05441,20370.45106,21526.50943,22446.80088,23182.63709,23775.20155,24256.7162,27239.99839
0.2,5270.643601,6487.645506,7534.472967,8544.612449,9631.165874,10898.38936,12395.95927,14078.58835,15864.14961,17633.64515,19227.95525,20555.28856,21630.19499,22499.17759,23204.60295,23780.83003,27352.74312
0.21,5257.351392,6449.295311,7451.896157,8386.056016,9343.847557,10414.84623,11670.78129,13120.18412,14706.72224,16362.21854,17982.5039,19440.13166,20665.83668,21671.98109,22496.69127,23175.2641,27414.35022
0.22,5246.751105,6418.499159,7387.127327,8266.283766,9133.359673,10060.78593,11118.47761,12348.23097,13732.36911,15217.74284,16748.15717,18234.16693,19574.07489,20713.18843,21660.16848,22446.09119,27430.3591
0.23,5238.050967,6393.062036,7334.621834,8172.38542,8974.3581,9798.785881,10704.96377,11744.03825,12933.19764,14242.21511,15626.34534,17039.02601,18404.8096,19642.30589,20706.51332,21601.85434,27405.78301
0.24,5230.715023,6371.536325,7290.860218,8096.269014,8850.050915,9600.343367,10394.87209,11281.30643,12293.5093,13431.05104,14660.66417,15946.42772,17249.72831,18507.8277,19655.15314,20653.5449,27345.16505
0.25,5224.372176,6352.937997,7253.536376,8032.796813,8749.607833,9445.476095,10158.6113,10928.93295,11793.01777,12770.12155,13849.07085,14998.72368,16190.67464,17393.09536,18554.40144,19621.31592,27252.62694
