h,Agg_0.5,Agg_0.6,Agg_0.7,Agg_0.8,Agg_0.9,Agg_1,Agg_1.1,Agg_1.2,Agg_1.3,Agg_1.4,Agg_1.5,Agg_1.6,Agg_1.7,Agg_1.8,Agg_1.9,Agg_2,Agg_-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,5166.477017,5238.46178,5248.954944,5235.254569,5211.931336,5185.361424,5158.50275,5132.74575,5108.715642,5086.649271,5066.582888,5048.449856,5032.133079,5017.493656,5004.386648,4992.669676,4897.618255
0.02,9210.206242,9502.349346,9606.2766,9632.837068,9624.492779,9600.074216,9568.704998,9535.041696,9501.517378,9469.395436,9439.299959,9411.497108,9386.050599,9362.910318,9341.964012,9323.06791,9163.798782
0.03,12118.1628,12845.46662,13147.48632,13276.62359,13325.03136,13332.90136,13319.84244,13296.14362,13267.46345,13237.00063,13206.58107,13177.23635,13149.52629,13123.72592,13099.937,13078.15624,12883.94656
0.04,13754.1292,15264.91666,15913.04019,16223.6415,16377.88459,16451.70028,16481.54461,16486.57823,16477.51518,16460.6082,16439.61218,16416.82015,16393.63995,16370.92954,16349.19861,16328.73358,16128.4192
0.05,13841.56901,16674.52957,17901.2793,18503.5342,18826.19161,19006.19017,19107.02448,19161.52589,19188.00631,19197.24649,19195.84698,19187.96498,19176.27092,19162.50133,19147.79135,19132.88107,18955.8133
0.06,12141.35934,16870.24258,19049.78238,20112.83825,20690.8985,21028.8482,21234.81844,21362.96823,21442.99779,21492.29132,21521.52503,21537.49669,21544.65485,21545.97168,21543.46352,21538.51291,21415.41626
0.07,8954.963819,15595.83497,19204.87162,21000.74652,21965.71786,22533.55151,22889.02868,23120.69703,23275.68257,23381.0869,23453.41521,23503.16483,23537.23959,23560.30091,23575.5623,23585.27602,23549.0661
0.08,5641.32983,12750.08622,18136.82558,21044.49184,22605.47311,23510.89747,24077.67345,24452.07327,24708.85808,24889.80611,25019.89862,25114.85902,25184.98388,25237.23019,25276.41808,25305.95611,25392.58201
0.09,3104.352764,8950.457629,15682.08502,20046.19848,22506.05284,23918.13767,24788.19006,25360.13385,25754.31408,26035.51672,26241.41831,26395.28719,26512.17782,26602.19354,26672.31699,26727.49115,26976.8763
0.1,1520.494447,5533.256354,11952.71288,17839.48303,21496.49728,23662.4604,24978.39469,25829.16967,26410.72517,26825.27103,27130.22697,27360.10689,27536.80925,27674.83431,27784.1168,27871.6549,28328.82596
0.11,687.3548371,3042.835128,8010.514096,14378.40805,19419.6612,22593.4008,24562.2786,25816.38464,26659.23546,27253.79974,27689.22401,28017.41212,28270.43919,28469.12407,28627.52432,28755.44119,29471.96014
0.12,297.0366819,1501.582585,4832.088215,10226.11069,16196.15024,20567.69887,23404.77538,25239.76361,26455.63997,27299.06235,27909.45833,28366.34544,28717.46499,28993.02425,29213.01123,29391.14786,30427.00555
0.13,125.7914478,684.5177979,2624.59099,6594.069277,12066.19453,17506.24597,21378.49009,23976.27517,25720.1842,26914.88845,27765.63005,28394.41468,28873.52291,29247.54767,29545.28837,29786.11888,31212.32202
0.14,53.19052162,297.2522168,1289.875648,3871.543836,8150.015445,13491.74705,18412.53176,21915.20726,24340.06402,26022.83834,27209.23873,28072.96501,28722.62914,29224.9619,29622.17858,29942.04726,31844.25273
0.15,22.79495052,125.710212,589.4509554,2059.885959,5068.269581,9420.34437,14518.44128,18994.83952,22221.65184,24519.85574,26162.90252,27351.00802,28232.68956,28905.77986,29432.63228,29853.66749,32337.40826
0.16,9.980766369,52.67428372,257.0974041,1001.795027,2887.822008,6113.438161,10392.05328,15194.94726,19310.86655,22329.48315,24533.94471,26152.67129,27350.34653,28254.44827,28953.62297,29506.60492,32704.89915
0.17,4.465659502,22.22830611,108.9955534,457.3685134,1497.817249,3671.802655,6958.667593,11077.83246,15574.0825,19402.24586,22262.46724,24397.09571,26002.46993,27215.76074,28146.26812,28874.28449,32958.52839
0.18,2.032792472,9.560589731,45.57629283,200.2092037,719.7418148,2020.155155,4348.212993,7589.53055,11501.86852,15701.36093,19299.54274,22038.99843,24121.72037,25721.36972,26954.60411,27914.90327,33108.95234
0.19,0.936475473,4.205660927,19.10998883,85.1862083,328.0409776,1022.021276,2512.783125,4887.725942,8014.006841,11694.5966,15613.79281,19025.70732,21673.58696,23718.54256,25317.72432,26573.56599,33165.81686
0.2,0.434753952,1.886010118,8.148733155,35.66603127,144.0628803,486.1367458,1334.295748,2936.739299,5282.951079,8251.479848,11688.5906,15341.94191,18598.45457,21177.72954,23196.87475,24799.46733,33137.87363
0.21,0.202801224,0.857303433,3.552934352,14.9436233,61.51145147,221.4058832,661.8177524,1627.712631,3272.257681,5539.297599,8325.806665,11515.81647,14912.93955,18032.08902,20560.44826,22564.63022,33033.08045
0.22,0.094885225,0.3929679,1.580019586,6.361099847,25.82669615,97.49062495,312.7184003,839.6707271,1880.519318,3513.723362,5669.354944,8262.049618,11206.19549,14353.6808,17339.21276,19828.75065,32858.6885
0.23,0.04448469,0.180977146,0.712376345,2.767355526,10.85515558,41.73403869,142.4625409,411.0332148,1005.212946,2080.1405,3664.35529,5689.327526,8084.857508,10787.17189,13692.51657,16532.83862,32621.31881
0.24,0.020890302,0.083547727,0.323746286,1.227200204,4.636779724,17.59055849,62.79785056,193.6166501,508.5503243,1147.311663,2222.061434,3732.373758,5616.674075,7817.470944,10284.08015,12956.91138,32327.02949
0.25,0.009826054,0.038609399,0.147695959,0.55116203,2.02296585,7.440433251,26.92555002,88.16650429,247.2076549,598.1313382,1259.076982,2307.476572,3728.474062,5468.610808,7481.00898,9720.782145,31981.37525
