"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"1",0,0.5,0,0,0,0
"2",0,1.4,0,0,0,0
"3",0,1.5,0,0,0,0
"4",0,1.6,0,0,0,0
"5",0,1.7,0,0,0,0
"6",0,1.8,0,0,0,0
"7",0,1.9,0,0,0,0
"8",0,2,0,0,0,0
"9",0,-1,0,0,0,0
"10",0,0.6,0,0,0,0
"11",0,0.7,0,0,0,0
"12",0,0.8,0,0,0,0
"13",0,0.9,0,0,0,0
"14",0,1,0,0,0,0
"15",0,1.1,0,0,0,0
"16",0,1.2,0,0,0,0
"17",0,1.3,0,0,0,0
"18",0.09,0.5,3104.35276365197,8184.34805997269,0.224277519514793,0.672117386355082
"19",0.09,1.4,26035.5167232069,21055.3187012352,0.953714687772311,0.92098997690637
"20",0.09,1.5,26241.4183131468,21170.9600857846,0.940233880509787,0.908579023762244
"21",0.09,1.6,26395.2871933409,21256.5768710151,0.929594340780985,0.896480160487092
"22",0.09,1.7,26512.17782382,21320.7514075884,0.918217631685315,0.886478635284532
"23",0.09,1.8,26602.19354,21369.33693,0.909552959453301,0.876810764063256
"24",0.09,1.9,26672.3169902903,21406.4228911926,0.900417128870717,0.869137321666672
"25",0.09,2,26727.4911517643,21434.9237645818,0.892640737518705,0.861115591450037
"26",0.09,-1,26976.8762954441,21537.6394940071,0.813393995747957,0.78517526573416
"27",0.09,0.6,8950.45762919569,12456.0390146912,0.530547061723398,0.856936048390802
"28",0.09,0.7,15682.08502218,15866.3442574675,0.816568073553458,0.96541994503933
"29",0.09,0.8,20046.1984797538,17935.6755222826,0.952562724561997,1
"30",0.09,0.9,22506.0528421868,19146.3716155627,0.995601938170327,1
"31",0.09,1,23918.1376711047,19882.7534754994,1,0.985510481501522
"32",0.09,1.1,24788.190057677,20356.1416808125,0.992385233864546,0.968090104078477
"33",0.09,1.2,25360.1338538951,20674.7537155178,0.981840848144156,0.951468652696418
"34",0.09,1.3,25754.3140787564,20896.6895246348,0.966055988976191,0.936430970172692
"35",0.1,0.5,1520.49444676305,7151.89166512082,0.109849862086829,0.587329705216831
