,h,msy,abun,name
1,0,0,1257681.735,NC
2,0.01,5185.361424,1225627.398,NC
3,0.02,9600.074216,1191494.775,NC
4,0.03,13332.90136,1155204.304,NC
5,0.04,16451.70028,1116584.923,NC
6,0.05,19006.19017,1075337.016,NC
7,0.06,21028.8482,1030969.535,NC
8,0.07,22533.55151,982689.4221,NC
9,0.08,23510.89747,929200.8061,NC
10,0.09,23918.13767,868340.2812,NC
11,0.1,23662.4604,796530.9327,NC
12,0.11,22593.4008,708868.5325,NC
13,0.12,20567.69887,602678.4161,NC
14,0.13,17506.24597,478617.7517,NC
15,0.14,13491.74705,340917.9242,NC
16,0.15,9420.34437,218739.4569,NC
17,0.16,6113.438161,130153.9187,NC
18,0.17,3671.802655,71069.27961,NC
19,0.18,2020.155155,35104.96015,NC
20,0.19,1022.021276,15715.19975,NC
21,0.2,486.1367458,6553.417719,NC
22,0.21,221.4058832,2600.494657,NC
23,0.22,97.49062495,986.5286616,NC
24,0.23,41.73403869,358.9460281,NC
25,0.24,17.59055849,128.2035584,NC
26,0.25,7.440433251,46.5673885,NC
27,0,0,1257681.735,MPA
28,0.01,4144.933671,1232201.674,MPA
29,0.02,7671.736138,1205446.369,MPA
30,0.03,10658.89992,1177456.972,MPA
31,0.04,13168.54336,1148230.748,MPA
32,0.05,15249.49232,1117711.784,MPA
33,0.06,16939.27126,1085775.903,MPA
34,0.07,18265.14232,1052206.485,MPA
35,0.08,19244.22576,1016657.452,MPA
36,0.09,19882.75348,978603.384,MPA
37,0.1,20175.08068,937302.8931,MPA
38,0.11,20105.40052,891898.8344,MPA
39,0.12,19658.84637,841905.6458,MPA
40,0.13,18840.71393,787816.2079,MPA
41,0.14,17685.9984,730929.6548,MPA
42,0.15,16280.36008,673554.9926,MPA
43,0.16,14818.61426,620658.5968,MPA
44,0.17,13502.91768,576508.4178,MPA
45,0.18,12414.23092,541627.0208,MPA
46,0.19,11553.20154,514704.6914,MPA
47,0.2,10898.38936,494225.7867,MPA
48,0.21,10414.84623,478666.7962,MPA
49,0.22,10060.78593,466639.6011,MPA
50,0.23,9798.785881,457069.1967,MPA
51,0.24,9600.343367,449207.6736,MPA
52,0.25,9445.476095,442560.9742,MPA
