h,Disp_0.25,Disp_0.5,Disp_0.75,Disp_1,Disp_1.25,Disp_1.5,Disp_1.75,Disp_2
0,0,0,0,0,0,0,0,0
0.01,4101.874093,4151.038437,4177.454534,4144.933671,4138.030631,4153.620731,4116.004972,4115.37087
0.02,7594.988463,7680.500414,7730.965035,7671.736138,7655.912654,7684.230842,7621.558031,7619.955107
0.03,10553.81079,10661.36236,10736.64457,10658.89992,10635.63159,10673.93449,10601.22695,10599.61504
0.04,13036.07543,13149.69313,13253.19149,13168.54336,13142.70267,13188.10777,13122.99237,13123.56758
0.05,15084.78574,15186.93862,15324.27905,15249.49232,15229.39523,15278.73611,15241.76034,15248.00902
0.06,16728.51762,16800.61184,16979.42525,16939.27126,16936.9299,16986.8186,17001.9581,17018.84058
0.07,17979.51327,18003.19959,18233.01891,18265.14232,18296.82661,18344.18912,18439.48555,18473.77153
0.08,18828.26512,18790.36815,19080.81933,19244.22576,19331.47635,19375.21278,19583.23851,19644.01106
0.09,19232.21304,19149.95985,19496.52513,19882.75348,20053.97482,20099.10524,20456.41236,20555.72831
0.1,19100.4103,19079.92182,19460.06992,20175.08068,20467.45845,20533.37118,21077.8371,21231.44908
0.11,18325.12333,18496.85205,18994.94642,20105.40052,20565.21214,20696.0163,21463.67703,21691.54075
0.12,16841.27553,17122.22079,18058.75508,19658.84637,20336.29871,20602.93366,21629.86777,21955.86693
0.13,14566.33712,15242.01039,16618.87594,18840.71393,19786.09872,20267.87058,21595.41879,22045.51073
0.14,11908.81776,13210.33075,14813.57542,17685.9984,18961.64677,19715.5873,21385.83565,21984.17665
0.15,8905.149057,11243.69157,12944.86757,16280.36008,17945.3184,18999.37707,21034.59319,21798.65162
0.16,6506.58912,9574.90965,11237.08383,14818.61426,16843.17591,18199.82225,20580.64312,21517.86097
0.17,4945.590328,8297.260636,9935.029179,13502.91768,15768.44701,17400.20916,20063.12884,21170.75536
0.18,3962.537406,7345.806303,9054.982787,12414.23092,14805.46792,16661.67289,19517.17745,20783.98851
0.19,3359.841775,6632.028143,8455.64213,11553.20154,13992.7511,16014.18277,18972.30323,20380.28695
0.2,2995.38568,6081.300463,8036.420939,10898.38936,13334.04763,15462.57353,18451.79455,19977.71216
0.21,2771.780071,5637.785347,7734.481616,10414.84623,12814.17103,14997.79253,17971.89646,19589.54998
0.22,2627.577708,5277.780432,7510.627113,10060.78593,12408.41208,14605.98485,17541.39974,19224.59642
0.23,2527.907086,5003.376309,7340.214175,9798.785881,12090.79034,14273.74588,17162.53724,18887.75051
0.24,2454.258854,4808.034184,7207.57372,9600.343367,11839.24163,13990.30174,16832.93649,18580.82953
0.25,2396.855292,4671.215895,7102.422171,9445.476095,11636.77828,13747.69907,16547.67405,18303.46112
