"","h","Disp","mpa_yield","mpa_prop_msy"
"1",0,0.25,0,0
"2",0,0.5,0,0
"3",0,0.75,0,0
"4",0,1,0,0
"5",0,1.25,0,0
"6",0,1.5,0,0
"7",0,1.75,0,0
"8",0,2,0,0
"9",0.09,0.25,19232.2130405253,1
"10",0.09,0.5,19149.95985,1
"11",0.09,0.75,19496.5251276695,1
"12",0.09,1,19882.7534754994,0.985510481501522
"13",0.09,1.25,20053.9748213714,0.975140673902621
"14",0.09,1.5,20099.105237475,0.971158166129151
"15",0.09,1.75,20456.4123641459,0.945748378378708
"16",0.09,2,20555.7283133657,0.932422412967063
"17",0.1,0.25,19100.4103012103,0.993146772083001
"18",0.1,0.5,19079.92182,0.996342653950786
"19",0.1,0.75,19460.069922916,0.998130169119124
"20",0.1,1,20175.0806802238,1
"21",0.1,1.25,20467.4584515953,0.995246648374801
"22",0.1,1.5,20533.3711836225,0.992141235519056
"23",0.1,1.75,21077.8371018108,0.97447831535246
"24",0.1,2,21231.4490836973,0.963073586282819
"25",0.11,0.25,18325.1233320505,0.952834876227535
"26",0.11,0.5,18496.85205,0.965895082542432
"27",0.11,0.75,18994.9464247285,0.974273430795667
"28",0.11,1,20105.4005182131,0.996546226351451
"29",0.11,1.25,20565.2121361251,1
"30",0.11,1.5,20696.0163014292,1
"31",0.11,1.75,21463.6770270208,0.992316608650687
"32",0.11,2,21691.5407483414,0.983943670455635
"33",0.12,0.25,16841.2755286557,0.875680583049308
"34",0.12,0.5,17122.22079,0.894112620815756
"35",0.12,0.75,18058.7550755132,0.926255061210071
"36",0.12,1,19658.8463680321,0.974412280160162
"37",0.12,1.25,20336.2987075606,0.988868900206364
"38",0.12,1.5,20602.9336570986,0.995502388335277
"39",0.12,1.75,21629.8677659001,1
"40",0.12,2,21955.8669329443,0.995933693630711
"41",0.13,0.25,14566.3371227622,0.757392666775718
"42",0.13,0.5,15242.01039,0.79592910425867
"43",0.13,0.75,16618.8759378208,0.852401944910443
"44",0.13,1,18840.7139325925,0.933860648748766
"45",0.13,1.25,19786.0987236276,0.962114982945938
"46",0.13,1.5,20267.8705771109,0.979312650411435
"47",0.13,1.75,21595.4187855247,0.998407342072164
"48",0.13,2,22045.5107336548,1
"49",0.14,0.25,11908.8177642522,0.619212034473539
"50",0.14,0.5,13210.33075,0.689835950230465
"51",0.14,0.75,14813.5754207139,0.759805930734316
"52",0.14,1,17685.9983951264,0.876625906753509
"53",0.14,1.25,18961.6467663542,0.922025342643849
"54",0.14,1.5,19715.587298197,0.952627163172243
"55",0.14,1.75,21385.8356527243,0.988717817611418
"56",0.14,2,21984.1766531797,0.997217842615845
"57",0.15,0.25,8905.14905723931,0.46303298733613
"58",0.15,0.5,11243.69157,0.587139171991528
"59",0.15,0.75,12944.8675744584,0.663957679109034
"60",0.15,1,16280.3600792044,0.806953902056158
"61",0.15,1.25,17945.318400193,0.872605557453503
"62",0.15,1.5,18999.3770651064,0.918020975070181
"63",0.15,1.75,21034.5931876181,0.972479046810427
"64",0.15,2,21798.651617601,0.988802295440725
"65",0.16,0.25,6506.58912047519,0.338317234047105
"66",0.16,0.5,9574.90965,0.499996330279512
"67",0.16,0.75,11237.0838340873,0.576363416583379
"68",0.16,1,14818.6142628885,0.734500867568482
"69",0.16,1.25,16843.1759126764,0.819012991511499
"70",0.16,1.5,18199.8222535902,0.879387703822662
"71",0.16,1.75,20580.6431152599,0.951491860144687
"72",0.16,2,21517.8609666423,0.976065432396312
"73",0.17,0.25,4945.59032790371,0.257151390611292
"74",0.17,0.5,8297.260636,0.433278226220406
"75",0.17,0.75,9935.02917929918,0.509579482202158
"76",0.17,1,13502.9176812318,0.669286923569419
