h,K_0.2,K_0.3,K_0.4,K_0.5,K_0.6,K_0.7,K_0.8,K_0.9,K_1,K_1.1,K_1.2,K_1.3,K_1.4,K_1.5,K_1.6,K_1.7,K_1.8,K_1.9,K_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,5.01E-12,1175.687582,1966.153982,2583.238509,3143.077068,3674.268461,4188.203655,4690.738203,5185.361424,5674.353025,6159.2949,6641.330335,7121.30898,7599.874331,8077.519769,8554.626235,9031.488581,9508.334632,9985.339351
0.02,5.11E-12,1582.103092,3343.318454,4605.103121,5701.409608,6724.39362,7706.269655,8662.043501,9600.074216,10525.5755,11442.05003,12351.97259,13257.15361,14158.94994,15058.39537,15956.28602,16853.23857,17749.73162,18646.13582
0.03,3.90E-12,1300.167181,4034.685724,6059.0814,7707.279972,9203.240424,10621.29887,11992.52823,13332.90136,14651.82668,15955.37234,17247.70249,18531.80088,19809.87161,21083.57816,22354.1947,23622.70666,24889.8803,26156.31249
0.04,2.63E-12,793.9468863,3907.332488,6877.064602,9158.949993,11139.12813,12978.9132,14740.09614,16451.70028,18129.69907,19783.89387,21420.76973,23044.85147,24659.41827,26266.91223,27869.18792,29467.67317,31063.47737,32657.46716
0.05,1.66E-12,400.4218325,3021.680991,6920.784505,10004.71774,12530.89551,14802.82736,16943.57245,19006.19017,21017.72692,22993.83106,24944.4082,26876.14509,28793.77047,30700.74397,32599.66056,34492.5024,36380.80356,38265.76215
0.06,1.00E-12,182.9779562,1914.878646,6070.679671,10122.14555,13334.84767,16090.2706,18621.80865,21028.8482,23358.30028,25635.56188,27875.89712,30089.20784,32282.28754,34459.9947,36625.91325,38782.74902,40932.58068,43077.02581
0.07,5.87E-13,80.56055505,1033.182151,4477.48191,9357.50098,13443.41013,16800.59721,19769.14607,22533.55151,25177.93155,27744.83644,30258.38734,32733.52166,35180.12281,37605.06372,40013.3073,42408.54163,44793.56837,47170.55205
0.08,3.34E-13,35.2807741,494.0534948,2820.664915,7650.05173,12695.7779,16835.59347,20344.9258,23510.89747,26485.4408,29342.48793,32121.5155,34845.72855,37529.84793,40183.77443,42814.47259,45427.01435,48025.19435,50611.91222
0.09,1.87E-13,15.64567343,220.2271342,1552.176382,5370.274578,10977.45952,16036.95878,20255.44756,23918.13767,27267.00906,30432.16062,33480.6083,36449.72341,39362.12747,42232.45951,45070.7023,47883.94838,50677.40228,53454.9823
0.1,1.02E-13,7.078086306,95.05201402,760.2472234,3319.953813,8366.899017,14271.58642,19346.84755,23662.4604,27476.23416,30995.0036,34333.94272,37555.37945,40695.34046,43776.17103,46812.57573,49814.70175,52789.82192,55743.30981
0.11,5.53E-14,3.265491688,40.72098242,343.6774186,1825.701077,5607.359867,11502.72644,17477.69508,22593.4008,27018.50646,30979.66157,34657.0061,38155.31964,41533.83602,44827.8594,48059.74663,51244.42332,54392.29622,57510.88239
0.12,2.94E-14,1.53094309,17.61565316,148.518341,900.9495509,3382.46175,8180.888555,14576.53522,20567.69887,25745.25292,30287.71634,34392.33196,38218.68729,41864.1875,45386.15271,48819.69048,52187.44364,55504.72134,58782.29572
0.13,1.55E-14,0.726746306,7.771628938,62.89572392,410.7106787,1837.213693,5275.255422,10859.57508,17506.24597,23516.3391,28771.5302,33436.23947,37680.84383,41648.44508,45431.06348,49084.98895,52645.5858,56136.0479,59572.23776
