"","h","K","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"1",0,0.2,0,0,0,0
"2",0,1.1,0,0,0,0
"3",0,1.2,0,0,0,0
"4",0,1.3,0,0,0,0
"5",0,1.4,0,0,0,0
"6",0,1.5,0,0,0,0
"7",0,1.6,0,0,0,0
"8",0,1.7,0,0,0,0
"9",0,1.8,0,0,0,0
"10",0,1.9,0,0,0,0
"11",0,2,0,0,0,0
"12",0,0.3,0,0,0,0
"13",0,0.4,0,0,0,0
"14",0,0.5,0,0,0,0
"15",0,0.6,0,0,0,0
"16",0,0.7,0,0,0,0
"17",0,0.8,0,0,0,0
"18",0,0.9,0,0,0,0
"19",0,1,0,0,0,0
"20",0.09,0.2,1.86700776507219e-13,1.49360621214231e-13,0.0365493197578914,0.0365493197597981
"21",0.09,1.1,27267.0090634447,22391.7558488937,0.992385233864544,0.968090104078477
"22",0.09,1.2,30432.1606246742,24809.7044586214,0.981840848144158,0.951468652696417
"23",0.09,1.3,33480.6083023834,27165.6963820252,0.966055988976192,0.936430970172691
"24",0.09,1.4,36449.7234124896,29477.4461817293,0.95371468777231,0.920989976906373
"25",0.09,1.5,39362.1274697203,31756.4401286769,0.940233880509789,0.908579023762243
"26",0.09,1.6,42232.4595093455,34010.5229936241,0.929594340780985,0.896480160487089
"27",0.09,1.7,45070.702300494,36245.2773929002,0.918217631685315,0.886478635284528
"28",0.09,1.8,47883.9483778883,38464.8064727771,0.909552959602341,0.87681076418375
"29",0.09,1.9,50677.4022815515,40672.2034932659,0.900417128870715,0.86913732166667
"30",0.09,2,53454.9823035286,42869.8475291636,0.892640737518703,0.861115591450037
"31",0.09,0.3,15.6456734337684,496.348511189135,0.00988916178214937,0.354230281356894
"32",0.09,0.4,220.227134177611,1818.31474768538,0.0545834667789125,0.503003722169319
"33",0.09,0.5,1552.17638182598,4092.17402998634,0.224277519514792,0.672117386355079
"34",0.09,0.6,5370.274578,7473.623409,0.530547061536771,0.856936048405249
"35",0.09,0.7,10977.459515526,11106.4409802272,0.816568073553456,0.96541994503933
"36",0.09,0.8,16036.958783803,14348.5404178261,0.952562724561994,1
"37",0.09,0.9,20255.4475579681,17231.7344540064,0.995601938170329,1
"38",0.09,1,23918.1376711047,19882.7534754994,1,0.985510481501522
"39",0.1,0.2,1.02387935426286e-13,8.19103483475064e-14,0.0200438876648216,0.0200438876663176
"40",0.1,1.1,27476.2341608627,22928.5972105108,1,0.991300021744099
"41",0.1,1.2,30995.0036018526,25554.4688919311,1,0.980030863629613
"42",0.1,1.3,34333.9427220291,28095.353302317,0.990678266422673,0.968477250877376
"43",0.1,1.4,37555.3794475662,30576.7864104118,0.982644410731891,0.955337638015974
"44",0.1,1.5,40695.3404617241,33014.8777112984,0.972080025664979,0.944584003717519
"45",0.1,1.6,43776.1710267917,35420.3419860283,0.963573547937955,0.933641446034071
"46",0.1,1.7,46812.5757267156,37800.6330409857,0.953704518076771,0.924519165016189
"47",0.1,1.8,49814.7017518914,40161.1284940103,0.946227513499356,0.915478667239283
"48",0.1,1.9,52789.8219170828,42505.8231081057,0.937949810846555,0.908320525528767
"49",0.1,2,55743.3098059637,44837.7547502768,0.930853346735546,0.900644437207534
"50",0.1,0.3,7.07808630562185,471.340837022588,0.00447384645222339,0.336382992090578
"51",0.1,0.4,95.0520140223828,1676.27142987452,0.0235587157278956,0.463710020317595
"52",0.1,0.5,760.247223381525,3575.94583256041,0.109849862086829,0.587329705216829
"53",0.1,0.6,3319.953813,6563.714489,0.327989139911153,0.75260462686553
"54",0.1,0.7,8366.8990165484,10322.8017817026,0.622379212776524,0.897302632453133
"55",0.1,0.8,14271.5864247348,13964.0161183463,0.847703198083766,0.973201155777344
"56",0.1,0.9,19346.8475536546,17221.7719855301,0.95094215355055,0.999421853412209
"57",0.1,1,23662.4603950529,20175.0806802238,0.989310318404903,1
"58",0.11,0.2,5.52761195199661e-14,4.4220895620943e-14,0.0108210828316108,0.0108210828327789
"59",0.11,1.1,27018.5064562848,23129.8261954742,0.983340959248706,1
"60",0.11,1.2,30979.6615696526,25977.9345194046,0.999505015956859,0.996271051847391
"61",0.11,1.3,34657.0060994762,28708.9795215482,1,0.989629611108357
"62",0.11,1.4,38155.3196426377,31359.5663145084,0.998341972256559,0.979794724337229
"63",0.11,1.5,41533.8360181004,33952.5158625295,0.99210897179774,0.971410636445741
"64",0.11,1.6,44827.8593976766,36502.6685593201,0.986722651002233,0.962170389864366
"65",0.11,1.7,48059.7466314812,39020.1145099359,0.979112915461964,0.95434496153669
"66",0.11,1.8,51244.4233176193,41511.9873949359,0.973384995819999,0.946271689064657
"67",0.11,1.9,54392.2962155423,43983.4974968675,0.96642197480815,0.93989742203885
"68",0.11,2,57510.8823876568,46438.553193821,0.960369908615246,0.932799263453816
"69",0.11,0.3,3.26549168811238,454.189218533458,0.00206401953477495,0.324142353696046
"70",0.11,0.4,40.7209824181441,1593.09522211841,0.0100927272169508,0.440700834393921
"71",0.11,0.5,343.677418571435,3223.39574909232,0.0496587371467234,0.529425266421339
"72",0.11,0.6,1825.701077,5754.702714,0.180367004997276,0.659842212218446
"73",0.11,0.7,5607.35986733546,9282.58916101682,0.417108442815485,0.806882846953932
"74",0.11,0.8,11502.7264407451,13188.6836967148,0.683238548280978,0.919165525737354
"75",0.11,0.9,17477.6950843103,16819.0398126909,0.859069001111468,0.976050313309027
"76",0.11,1,22593.4007967261,20105.4005182131,0.944613711460529,0.996546226351451
"77",0.12,0.2,2.94199085326587e-14,2.35359268299686e-14,0.00575936353519389,0.00575936353610836
"78",0.12,1.1,25745.2529225201,22981.6414509528,0.937000782996375,0.99359334811818
"79",0.12,1.2,30287.7163366375,26075.1674669595,0.97718060387085,1
"80",0.12,1.3,34392.3319622779,29009.8226642541,0.992363040926311,1
"81",0.12,1.4,38218.6872864766,31835.3508289083,1,0.994660081608279
"82",0.12,1.5,41864.1875023461,34583.784184096,1,0.989471765244085
"83",0.12,1.6,45386.1527053661,37275.8213656473,0.9990114522076,0.98254985159823
"84",0.12,1.7,48819.6904804357,39925.2873031232,0.994595120211039,0.976483468953895
"85",0.12,1.8,52187.4436448679,42541.7673533787,0.991297614947502,0.969745670480431
"86",0.12,1.9,55504.7213377904,45132.1378878622,0.986187128299905,0.964443085839744
"87",0.12,2,58782.2957225467,47701.478095611,0.981601144470923,0.958167310844748
"88",0.12,0.3,1.53094309027882,441.645864704413,0.000967663294464176,0.315190507048261
"89",0.12,0.4,17.6156531607238,1544.1824604829,0.00436605335976335,0.427170008008906
"90",0.12,0.5,148.518340968168,3000.43621017446,0.0214597551572121,0.49280537160203
"91",0.12,0.6,900.9495509,5130.561625,0.0890077648508028,0.588277327398196
"92",0.12,0.7,3382.46175037501,8228.76513838617,0.251607420775774,0.715279899455228
"93",0.12,0.8,8180.88855454697,12096.0283298154,0.485928136120663,0.843014549046936
"94",0.12,0.9,14576.5352198973,16032.914922617,0.71647030633144,0.930429549353305
"95",0.12,1,20567.6988653492,19658.8463680321,0.8599205819522,0.974412280160162
"96",0.13,0.2,1.54528894411302e-14,1.23623115559098e-14,0.00302512184433991,0.00302512184506196
"97",0.13,1.1,23516.3391028284,22471.1179808382,0.855879265155092,0.971521263970203
"98",0.13,1.2,28771.5302039113,25834.0115479432,0.92826348960939,0.990751510251204
"99",0.13,1.3,33436.2394660361,28992.9229641614,0.964775761935808,0.999417449038269
"100",0.13,1.4,37680.843827064,32006.2616541656,0.985927212638648,1
"101",0.13,1.5,41648.4450796659,34916.515642283,0.994846611494177,0.998991498004733
"102",0.13,1.6,45431.0634828785,37752.1429402483,1,0.995105166955239
"103",0.13,1.7,49084.9889451266,40532.1422092112,1,0.991325786289007
"104",0.13,1.8,52645.5858038473,43269.5152695599,1,0.98633478830094
"105",0.13,1.9,56136.0478984878,45973.4398474388,0.997404302495314,0.982421136426072
"106",0.13,2,59572.2377610782,48650.5893519549,0.994792327284676,0.977231864323799
"107",0.13,0.3,0.726746305742162,431.946277620998,0.000459354582753336,0.308268178514682
"108",0.13,0.4,7.77162893766154,1514.75879525323,0.00192620428686489,0.419030485877643
"109",0.13,0.5,62.8957239213993,2863.85144155794,0.00908794716524692,0.470372064263252
"110",0.13,0.6,410.7106787,4692.108231,0.0405754567222164,0.538003651792362
"111",0.13,0.7,1837.21369325769,7336.65108160883,0.136662771936224,0.637733482453048
"112",0.13,0.8,5275.25542158631,10870.1361881723,0.313339439534,0.757577835210865
"113",0.13,0.9,10859.5750806279,14910.9456852198,0.533773147546483,0.86531891058436
"114",0.13,1,17506.2459679616,18840.7139325925,0.73192345527431,0.933860648748766
"115",0.14,0.2,8.01616193680223e-15,6.41292955183059e-15,0.00156927716820661,0.00156927716878418
"116",0.14,1.1,20253.7849374119,21602.4030832276,0.737138314473295,0.93396305275543
"117",0.14,1.2,26298.2487118179,25243.8893152588,0.848467354597953,0.968119930475843
"118",0.14,1.3,31642.0832200209,28647.6098267558,0.913006828379764,0.987514131275796
"119",0.14,1.4,36431.9736783276,31867.2725105965,0.95325026224066,0.99565743900144
"120",0.14,1.5,40813.8580893109,34951.7645665865,0.974911028358634,1
"121",0.14,1.6,44916.7440227832,37937.8423446036,0.988679123474864,1
"122",0.14,1.7,48828.4695446269,40851.0741396188,0.994773974569161,0.99912614988815
"123",0.14,1.8,52604.9314219705,43709.0604416867,0.999227772257521,0.996354283356467
"124",0.14,1.9,56282.1393070455,46524.1245495764,1,0.994188893911302
"125",0.14,2,59884.0945262243,49305.1137572596,1,0.990379127560716
"126",0.14,0.3,0.348370550664739,424.100108381403,0.000220194595665307,0.302668583321666
"127",0.14,0.4,3.50325985725047,1496.48516404527,0.000868285684914337,0.413975417976525
"128",0.14,0.5,26.5952608098865,2780.16740225633,0.0038428101310712,0.45662741475351
"129",0.14,0.6,178.3513301,4402.901948,0.0176199136061623,0.504842857387128
"130",0.14,0.7,902.912953935621,6652.48175829931,0.0671639818246546,0.57826252216226
"131",0.14,0.8,3097.2350685747,9742.99537114296,0.183969461747961,0.679023446805685
"132",0.14,0.9,7335.01390007777,13577.0632678135,0.360532841080126,0.787910427940515
"133",0.14,1,13491.7470537611,17685.9983951264,0.564080165407709,0.876625906753509
"134",0.15,0.2,4.10907865133551e-15,3.28726292300181e-15,0.00080441031016376,0.000804410310633298
"135",0.15,1.1,15970.2854050157,20404.0162560434,0.581239965837963,0.882151732728361
"136",0.15,1.2,22793.807425752,24309.4746961238,0.735402638391356,0.932284508888656
"137",0.15,1.3,28888.1473875545,27965.9068980609,0.833544227814621,0.964015093153964
"138",0.15,1.4,34327.7980296366,31409.2123672138,0.898194063347206,0.981345859963183
