"","h","MPAProp","mpa_yield","mpa_prop_msy"
"1",0,0,0,0
"2",0,0.1,0,0
"3",0,0.2,0,0
"4",0,0.3,0,0
"5",0,0.4,0,0
"6",0,0.5,0,0
"7",0,0.6,0,0
"8",0,0.7,0,0
"9",0,0.8,0,0
"10",0.09,0,23918.1376711047,1
"11",0.09,0.1,21902.2297022222,0.999033925243503
"12",0.09,0.2,19882.7534754994,0.985510481501522
"13",0.09,0.3,17805.1223689855,0.953071700355728
"14",0.09,0.4,15581.5636614923,0.893480750849919
"15",0.09,0.5,13196.0092039888,0.807555413290599
"16",0.09,0.6,10662.3098198359,0.752116911367022
"17",0.09,0.7,8034.98015021269,0.721169062412827
"18",0.09,0.8,5349.46869771527,0.707827072548392
"19",0.1,0,23662.4603950529,0.989310318404903
"20",0.1,0.1,21923.409354576,1
"21",0.1,0.2,20175.0806802238,1
"22",0.1,0.3,18301.4212347653,0.979637561240644
"23",0.1,0.4,16165.58935803,0.926970054567732
"24",0.1,0.5,13775.5877471129,0.843023847928055
"25",0.1,0.6,11172.6089926047,0.788113299033604
"26",0.1,0.7,8440.27949569736,0.757546171443018
"27",0.1,0.8,5625.58811241074,0.744362438585984
"28",0.11,0,22593.4007967261,0.944613711460529
"29",0.11,0.1,21360.8455670632,0.974339584760097
"30",0.11,0.2,20105.4005182131,0.996546226351451
"31",0.11,0.3,18588.171890708,0.994986736021576
"32",0.11,0.4,16615.3791251944,0.952761978126973
"33",0.11,0.5,14260.7833425818,0.872716334767729
"34",0.11,0.6,11613.8801013167,0.819240462750282
"35",0.11,0.7,8796.72859336122,0.789538790809146
"36",0.11,0.8,5870.17254245497,0.776725181671679
"37",0.12,0,20567.6988653492,0.8599205819522
"38",0.12,0.1,20136.7803617119,0.918505878170304
"39",0.12,0.2,19658.8463680321,0.974412280160162
"40",0.12,0.3,18681.8288302337,1
"41",0.12,0.4,16948.8304374462,0.971882801640914
"42",0.12,0.5,14665.3935901862,0.897477244727311
"43",0.12,0.6,11996.158810387,0.846206316003995
"44",0.12,0.7,9111.29027251291,0.817771860086713
"45",0.12,0.8,6087.65312495971,0.805501617753302
"46",0.13,0,17506.2459679616,0.73192345527431
"47",0.13,0.1,18218.4837801672,0.831005957399802
"48",0.13,0.2,18840.7139325925,0.933860648748766
"49",0.13,0.3,18602.2070622226,0.995738009981001
"50",0.13,0.4,17182.6906127363,0.985292852746919
"51",0.13,0.5,15001.4037270279,0.918040037669666
"52",0.13,0.6,12327.9455520194,0.869610477350428
"53",0.13,0.7,9389.7943499727,0.842768626807351
"54",0.13,0.8,6281.72403518932,0.8311805500019
"55",0.14,0,13491.7470537611,0.564080165407709
"56",0.14,0.1,15656.7930844691,0.714158679940951
"57",0.14,0.2,17685.9983951264,0.876625906753509
"58",0.14,0.3,18374.1873741493,0.983532583513102
"59",0.14,0.4,17332.7275191468,0.993896295296536
"60",0.14,0.5,15279.2143924047,0.935041200917346
"61",0.14,0.6,12616.4500616875,0.889961519891261
"62",0.14,0.7,9637.14093620291,0.864968893932831
"63",0.14,0.8,6455.48174790389,0.854171695491917
"64",0.15,0,9420.34436982257,0.3938577701726
"65",0.15,0.1,12898.4059790929,0.588339421596425
"66",0.15,0.2,16280.3600792044,0.806953902056158
"67",0.15,0.3,18027.2757574681,0.964963115832305
"68",0.15,0.4,17413.6968567779,0.998539253227726
"69",0.15,0.5,15507.8272276437,0.949031607394871
"70",0.15,0.6,12867.7938247194,0.907691251810252
"71",0.15,0.7,9857.46429510224,0.884743726875121
