"","h","MPASize","mpa_yield","mpa_prop_msy"
"1",0,1,0,0
"2",0,2,0,0
"3",0,5,0,0
"4",0,10,0,0
"5",0,15,0,0
"6",0,20,0,0
"7",0.09,1,20889.5404357816,0.891550355220743
"8",0.09,2,20565.7518127238,0.929975492576441
"9",0.09,5,19882.7534754994,0.985510481501522
"10",0.09,10,19517.9157098354,0.997371255644797
"11",0.09,15,19390.4699221681,1
"12",0.09,20,17795.9440583412,1
"13",0.1,1,21698.4417602468,0.926073673978402
"14",0.1,2,21239.845581521,0.960457756992957
"15",0.1,5,20175.0806802238,1
"16",0.1,10,19569.3585506604,1
"17",0.1,15,19356.8141110489,0.998264311733842
"18",0.1,20,17779.3504856658,0.999067564349438
"19",0.11,1,22327.4816726236,0.952920638805207
"20",0.11,2,21707.688877925,0.981613453316818
"21",0.11,5,20105.4005182131,0.996546226351451
"22",0.11,10,19120.7577988438,0.977076369128028
"23",0.11,15,18773.0201725915,0.968157050754572
"24",0.11,20,17266.8548534508,0.970269112829538
"25",0.12,1,22797.3798756911,0.972975551509022
"26",0.12,2,21991.6798398821,0.9944554168462
"27",0.12,5,19658.8463680321,0.974412280160162
"28",0.12,10,18109.3084176881,0.925391007109784
"29",0.12,15,17559.0531786014,0.905550677682497
"30",0.12,20,16187.9757465941,0.909644112923955
"31",0.13,1,23126.6214989729,0.987027343940394
"32",0.13,2,22114.2943839817,1
"33",0.13,5,18840.7139325925,0.933860648748766
"34",0.13,10,16510.3210949846,0.843682282801622
"35",0.13,15,15677.3841525747,0.808509758427854
"36",0.13,20,14510.4564035255,0.815379973996055
"37",0.14,1,23331.9113361517,0.995788964514222
"38",0.14,2,22098.7370665271,0.999296504008472
"39",0.14,5,17685.9983951264,0.876625906753509
"40",0.14,10,14365.2239693557,0.734067186319243
"41",0.14,15,13177.5165397546,0.67958727110009
"42",0.14,20,12278.2801557525,0.689948232895096
"43",0.15,1,23428.5279104606,0.999912489462515
"44",0.15,2,21968.8992419363,0.993425286851987
"45",0.15,5,16280.3600792044,0.806953902056158
"46",0.15,10,12027.4384429502,0.61460565566388
"47",0.15,15,10533.7566961468,0.543244013086249
"48",0.15,20,9905.99672852305,0.556643507984055
"49",0.16,1,23430.5783329641,1
"50",0.16,2,21748.6533783371,0.983465852480039
"51",0.16,5,14818.6142628885,0.734500867568482
"52",0.16,10,9965.98203745307,0.509264624676047
"53",0.16,15,8278.00703385761,0.426911109791816
