h,Agg_0.5,Agg_0.6,Agg_0.7,Agg_0.8,Agg_0.9,Agg_1,Agg_1.1,Agg_1.2,Agg_1.3,Agg_1.4,Agg_1.5,Agg_1.6,Agg_1.7,Agg_1.8,Agg_1.9,Agg_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,3999.599661,4225.252992,4317.195953,4355.899905,4369.998051,4371.862188,4367.492346,4360.018369,4351.149205,4341.841608,4332.634268,4323.825196,4315.570437,4307.941099,4300.957265,4294.608635
0.02,6998.389815,7681.301257,7967.045848,8101.606695,8166.714373,8196.377473,8206.873666,8206.728178,8200.683367,8191.486158,8180.768831,8169.513649,8158.311327,8147.511004,8137.310276,8127.81075
0.03,8798.000027,10318.60224,10950.27784,11256.5134,11417.92331,11505.63136,11552.67541,11576.15707,11585.60349,11586.60257,11582.5535,11575.57705,11567.01793,11557.73545,11548.27813,11538.99208
0.04,9129.549382,12013.22302,13235.29498,13822.73764,14139.94889,14322.92167,14432.02625,14497.72353,14536.79105,14559.05995,14570.55644,14575.09952,14575.16977,14572.40729,14567.90956,14562.41582
0.05,7872.99021,12555.39918,14738.08011,15777.47023,16334.73234,16661.67212,16864.38953,16994.38484,17079.37879,17135.42802,17172.34444,17196.36952,17211.5973,17220.77766,17225.79179,17227.94474
0.06,5685.467198,11732.65553,15300.04227,17058.39114,17983.82111,18522.88345,18860.49279,19082.27218,19232.75613,19337.19208,19410.82392,19463.3006,19500.95539,19528.06542,19547.58552,19561.59468
0.07,3550.371867,9529.713814,14724.87928,17543.31058,19037.09614,19890.0959,20419.99939,20769.60548,21010.1107,21180.63771,21304.32662,21395.64139,21464.0138,21515.80193,21555.40737,21585.94406
0.08,1940.487308,6719.598144,12867.54922,17058.99167,19395.86075,20720.16696,21527.07,22054.48606,22417.30875,22676.30493,22866.38914,23008.95132,23117.75712,23202.01298,23268.06801,23320.41156
0.09,947.228232,4214.598506,9898.40955,15459.47845,18910.43368,20929.2692,22142.46,22920.83057,23450.74279,23827.81936,24105.12344,24314.28602,24475.26453,24601.22409,24701.16168,24781.40419
0.1,428.8596978,2358.003239,6792.523034,12689.70324,17443.15857,20387.32913,22191.73606,23331.35194,24093.49391,24629.74843,25021.98625,25317.48516,25545.30818,25724.25439,25866.98849,25982.32688
0.11,185.4394514,1184.823608,4218.345066,9265.517358,14897.66352,18966.22959,21559.77575,23217.49762,24308.93248,25063.89751,25609.6094,26017.8686,26331.55705,26577.73183,26774.26898,26933.42983
0.12,77.80783233,550.0231979,2366.828778,6184.80493,11445.9052,16574.53957,20129.47509,22475.34728,24032.09061,25093.37908,25848.16957,26406.01529,26831.18899,27163.20947,27427.57686,27641.44729
0.13,32.12641504,242.7126967,1201.570713,3776.51749,8017.396354,13229.08503,17820.99384,20999.52401,23167.67375,24655.31579,25699.86002,26460.17514,27032.60105,27475.68391,27826.36304,28108.94629
0.14,13.26252067,103.4026425,565.5842496,2098.739751,5198.49143,9594.616391,14591.63001,18721.13207,21622.25988,23661.53163,25102.9907,26141.1563,26911.86168,27501.23021,27963.37338,28333.2531
0.15,5.537253824,42.97420535,253.2617197,1063.927489,3106.478018,6496.260759,10878.19047,15577.06003,19336.61673,22030.71405,23975.92924,25388.06098,26428.11479,27213.53051,27822.21703,28304.76908
0.16,2.346602164,17.67864395,109.3531358,503.9953757,1695.896574,4091.909153,7592.328203,11859.41215,16241.93813,19711.81563,22249.65171,24126.03942,25521.36958,26570.00566,27374.06026,28004.5053
0.17,1.007853106,7.310280618,45.86044402,228.0603022,853.2781458,2379.660256,4970.708107,8457.087576,12550.11646,16635.28503,19879.22908,22298.34397,24124.45998,25512.24529,26574.83733,27401.10836
0.18,0.437544833,3.064540069,18.91435502,99.56060802,405.2430053,1271.014037,3036.055016,5700.166453,9091.755409,12975.9512,16796.01839,19863.29215,22192.26898,23982.04758,25368.99096,26449.66906
0.19,0.191678869,1.303083924,7.80144941,42.11372555,184.8207637,633.8914001,1711.11218,3612.435313,6263.405487,9510.591282,13168.09556,16754.61707,19682.82376,21944.13832,23708.43477,25099.28708
0.2,0.084668168,0.560027691,3.256104644,17.45467195,81.36648492,301.5429869,894.9735152,2128.815896,4081.539295,6660.177499,9733.90758,13158.24626,16535.38773,19352.62327,21564.48941,23312.28118
0.21,0.037693941,0.242396247,1.378936489,7.213657771,34.6506206,138.3649467,443.3105705,1163.510958,2492.266338,4433.984896,6901.153264,9785.186325,12976.83788,16158.65885,18884.62094,21062.01094
0.22,0.016906172,0.10547035,0.590451527,3.012938169,14.43790511,61.2498197,211.3403655,598.8959353,1415.708577,2784.165834,4671.646259,7002.946237,9689.148419,12652.57444,15643.0835,18288.91387
0.23,0.007636006,0.046117638,0.254358461,1.276765205,5.994862777,26.19776754,97.35988666,295.6701439,755.076553,1633.657853,2998.410072,4802.967101,6984.653454,9470.48354,12211.86053,15008.51029
0.24,0.003471988,0.020267309,0.109870351,0.547017162,2.515083152,10.97150559,43.18613689,141.266029,384.9844892,899.6193273,1806.818231,3136.311767,4839.932477,6865.837368,9153.130404,11678.20413
0.25,0.001588564,0.0089521,0.047540124,0.235544849,1.070256419,4.585505227,18.51114319,65.11592274,189.9950055,472.4544251,1023.230155,1931.125703,3203.685834,4796.105564,6665.359425,8759.753129
