"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"1",0,0.5,0,0,0,0
"2",0,1.4,0,0,0,0
"3",0,1.5,0,0,0,0
"4",0,1.6,0,0,0,0
"5",0,1.7,0,0,0,0
"6",0,1.8,0,0,0,0
"7",0,1.9,0,0,0,0
"8",0,2,0,0,0,0
"9",0,0.6,0,0,0,0
"10",0,0.7,0,0,0,0
"11",0,0.8,0,0,0,0
"12",0,0.9,0,0,0,0
"13",0,1,0,0,0,0
"14",0,1.1,0,0,0,0
"15",0,1.2,0,0,0,0
"16",0,1.3,0,0,0,0
"17",0.09,0.5,947.22823197753,4531.70716913315,0.103754105746724,0.555253439169258
"18",0.09,1.4,23827.8193556927,19356.8605266716,0.949565990398576,0.912652947459909
"19",0.09,1.5,24105.1234431372,19523.9423467664,0.932565974560963,0.89738135774105
"20",0.09,1.6,24314.2860231991,19650.465663016,0.918901174941058,0.882783159694869
"21",0.09,1.7,24475.2645268284,19747.9137601309,0.905398059260498,0.870382064273372
"22",0.09,1.8,24601.2240874731,19824.042934054,0.894549949267343,0.859172582403498
"23",0.09,1.9,24701.1616827275,19884.2466800909,0.883339836906961,0.849453655802156
"24",0.09,2,24781.4041888972,19932.3662938399,0.874640271744634,0.84040556016964
"25",0.09,0.6,4214.59850603909,8217.58490168005,0.335680168003414,0.744878434418999
"26",0.09,0.7,9898.40954961813,12088.1112770039,0.646953085076719,0.906938881546353
"27",0.09,0.8,15459.4784534303,14923.0748716627,0.881217851187275,0.984439982242288
"28",0.09,0.9,18910.433684763,16654.51102555,0.974972646386907,1
"29",0.09,1,20929.2691991928,17706.5452669353,1,0.989533893684308
"30",0.09,1.1,22142.459996806,18373.737110104,0.997779530882385,0.970761734269846
"31",0.09,1.2,22920.8305675221,18819.8770624026,0.982404732790539,0.951041054251463
"32",0.09,1.3,23450.7427926645,19131.5982818285,0.964696529357866,0.931148042018482
"33",0.1,0.5,428.859697807042,4030.93820584093,0.0469749031275026,0.493896056902562
"34",0.1,1.4,24629.748430883,20160.8547135772,0.981523785828587,0.950560316963811
