h,Disp_0.25,Disp_0.5,Disp_0.75,Disp_1,Disp_1.25,Disp_1.5,Disp_1.75,Disp_2
0,0,0,0,0,0,0,0,0
0.01,3457.618038,3497.05073,3522.659568,3497.171033,3488.712981,3503.879227,3479.356121,3479.270178
0.02,6487.734862,6551.538093,6603.399211,6559.344697,6543.467742,6568.971128,6534.93163,6535.139658
0.03,9118.548204,9190.066751,9270.373128,9218.020401,9198.4496,9228.766779,9202.557251,9204.298682
0.04,11370.96015,11431.98697,11544.19117,11498.92334,11482.22243,11510.88503,11512.72547,11518.20054
0.05,13257.24108,13288.32077,13436.78459,13422.11541,13417.96476,13437.40223,13491.16415,13503.73026
0.06,14778.07561,14759.63903,14948.68948,15001.66029,15023.34135,15025.10192,15159.24711,15183.74274
0.07,15916.70401,15835.06852,16063.98684,16244.73093,16309.92137,16286.14113,16534.30006,16577.5338
0.08,16628.10878,16504.41877,16750.43466,17150.10232,17282.04729,17230.26029,17629.89958,17701.33171
0.09,16826.61573,16761.2197,17009.84186,17706.54527,17935.27217,17868.69557,18456.35928,18568.94547
0.1,16418.14014,16509.80418,16860.26493,17893.82393,18255.61461,18213.77427,19021.77801,19192.77077
0.11,15340.98021,15485.66173,16236.18103,17692.3483,18225.0199,18271.05395,19334.24215,19585.38007
0.12,13543.14481,13975.9526,15096.08057,17099.76762,17843.70332,18041.22995,19405.75044,19761.79148
0.13,11341.39471,12253.91563,13542.84619,16139.57601,17154.83764,17542.16865,19257.45179,19742.07425
0.14,8663.116902,10506.44674,11837.96912,14885.14966,16234.47648,16834.53557,18923.27161,19553.20651
0.15,6334.003091,8955.943127,10199.4641,13520.28077,15185.53326,16016.34634,18447.56447,19228.66236
0.16,4756.76359,7727.400562,8915.74347,12251.28103,14128.53671,15187.23908,17877.66357,18805.28667
0.17,3728.837801,6796.681395,8037.153311,11175.11549,13161.2995,14418.82161,17258.12154,18319.18556
0.18,3084.745421,6092.769728,7436.732467,10305.9724,12333.28735,13745.72342,16628.63755,17802.69145
0.19,2692.345124,5549.584653,7017.720917,9632.903902,11655.97815,13173.74365,16022.26711,17282.68114
0.2,2454.081944,5111.756593,6717.785524,9131.203696,11119.80549,12692.93374,15462.71144,16779.64146
0.21,2304.473317,4747.503782,6497.236306,8764.364039,10702.33141,12287.87828,14962.73757,16307.36852
0.22,2204.627278,4456.442597,6330.753152,8495.554136,10377.38405,11943.76214,14525.54978,15873.48196
0.23,2133.428485,4243.158239,6202.187325,8295.054769,10121.96363,11649.0252,14148.05914,15480.65723
0.24,2079.673212,4094.64383,6101.091478,8141.386711,9918.130179,11395.69368,13823.93997,15128.1557
0.25,2037.257679,3991.008004,6020.388707,8019.862595,9752.512665,11178.2841,13545.67973,14813.21834
