"","h","Disp","mpa_yield","mpa_prop_msy"
"1",0,0.25,0,0
"2",0,0.5,0,0
"3",0,0.75,0,0
"4",0,1,0,0
"5",0,1.25,0,0
"6",0,1.5,0,0
"7",0,1.75,0,0
"8",0,2,0,0
"9",0.09,0.25,16826.6157339275,1
"10",0.09,0.5,16761.2196996443,1
"11",0.09,0.75,17009.8418617646,1
"12",0.09,1,17706.5452669353,0.989533893684308
"13",0.09,1.25,17935.2721722859,0.9824523882954
"14",0.09,1.5,17868.6955696846,0.977978370539149
"15",0.09,1.75,18456.3592835501,0.951076813040216
"16",0.09,2,18568.9454705664,0.939638771739723
"17",0.1,0.25,16418.1401359346,0.97572443535575
"18",0.1,0.5,16509.8041802551,0.985000165626697
"19",0.1,0.75,16860.2649331336,0.991206448017179
"20",0.1,1,17893.8239305871,1
"21",0.1,1.25,18255.6146088712,1
"22",0.1,1.5,18213.774267355,0.996865003933252
"23",0.1,1.75,19021.7780062256,0.980213471496728
"24",0.1,2,19192.7707749895,0.971206016296363
"25",0.11,0.25,15340.9802073924,0.911709190366806
"26",0.11,0.5,15485.6617280258,0.923898260718725
"27",0.11,0.75,16236.1810310748,0.954516871057522
"28",0.11,1,17692.3483005583,0.988740493322704
"29",0.11,1.25,18225.0199044496,0.998324093432235
"30",0.11,1.5,18271.0539496224,1
"31",0.11,1.75,19334.2421466943,0.996315097735181
"32",0.11,2,19585.38007093,0.991073106605604
"33",0.12,0.25,13543.1448149282,0.804864449814538
"34",0.12,0.5,13975.9525997331,0.833826705345894
"35",0.12,0.75,15096.0805672152,0.887490941414851
"36",0.12,1,17099.7676171821,0.955624000968979
"37",0.12,1.25,17843.7033186638,0.97743646001339
"38",0.12,1.5,18041.2299527354,0.987421415451967
"39",0.12,1.75,19405.7504404428,1
"40",0.12,2,19761.791476725,1
"41",0.13,0.25,11341.3947137481,0.67401519670295
"42",0.13,0.5,12253.9156296971,0.731087346224401
"43",0.13,0.75,13542.8461907527,0.79617707800064
"44",0.13,1,16139.5760104592,0.901963497185794
"45",0.13,1.25,17154.8376362422,0.939702004220987
"46",0.13,1.5,17542.1686547624,0.960107101819648
"47",0.13,1.75,19257.4517937007,0.992358005056427
"48",0.13,2,19742.0742452696,0.999002254857378
"49",0.14,0.25,8663.11690189921,0.51484606523888
"50",0.14,0.5,10506.4467413258,0.626830679962316
"51",0.14,0.75,11837.9691244454,0.695948217546646
"52",0.14,1,14885.1496551209,0.831859624463876
"53",0.14,1.25,16234.4764762283,0.8892867659651
"54",0.14,1.5,16834.535569392,0.92137736639653
"55",0.14,1.75,18923.271607964,0.975137326744485
"56",0.14,2,19553.2065067031,0.989445037396151
"57",0.15,0.25,6334.00309059615,0.37642763053208
"58",0.15,0.5,8955.94312748573,0.534325263195243
"59",0.15,0.75,10199.4641019929,0.599621335981945
"60",0.15,1,13520.2807669897,0.755583648270876
"61",0.15,1.25,15185.5332609577,0.831828102548702
"62",0.15,1.5,16016.346343317,0.876596740805311
"63",0.15,1.75,18447.56447188,0.950623606569428
"64",0.15,2,19228.6623613049,0.973022227461108
"65",0.16,0.25,4756.7635896114,0.28269282812588
"66",0.16,0.5,7727.40056186138,0.461028534935639
"67",0.16,0.75,8915.74347013262,0.524152049301163
"68",0.16,1,12251.2810333062,0.684665339327737
"69",0.16,1.25,14128.536711955,0.77392829628915
"70",0.16,1.5,15187.2390792716,0.831218555927118
"71",0.16,1.75,17877.6635713569,0.921255976481009
"72",0.16,2,18805.2866667513,0.951598274321422
"73",0.17,0.25,3728.83780052166,0.221603551152785
"74",0.17,0.5,6796.68139543042,0.405500406129433
"75",0.17,0.75,8037.1533111774,0.472500178219977
