h,K_0.2,K_0.3,K_0.4,K_0.5,K_0.6,K_0.7,K_0.8,K_0.9,K_1,K_1.1,K_1.2,K_1.3,K_1.4,K_1.5,K_1.6,K_1.7,K_1.8,K_1.9,K_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,3.83E-21,3.76E-16,1081.911852,1607.871308,2032.326863,2419.9814,2788.969205,3146.75053,3497.171033,3842.506892,4184.231125,4523.355645,4860.604584,5196.510927,5531.474567,5865.799318,6199.717673,6533.408036,6867.007123
0.02,3.97E-21,3.90E-16,1707.143923,2848.555589,3712.268213,4476.513483,5194.175198,5885.24763,6559.344697,7221.879381,7876.232392,8524.668557,9168.780517,9809.726922,10448.37103,11085.36667,11721.21448,12356.30022,12990.92186
0.03,3.07E-21,3.02E-16,1857.175941,3686.862896,5036.453806,6181.646407,7236.268242,8242.143727,9218.020401,10173.88443,11115.72268,12047.42821,12971.68062,13890.40034,14805.00402,15716.55848,16625.87887,17533.59411,18440.19234
0.04,2.10E-21,2.07E-16,1672.012454,4080.755606,5984.770529,7537.309936,8928.661056,10237.94904,11498.92334,12728.55092,13936.54959,15129.02475,16310.07301,17482.57631,18648.63307,19809.81005,20967.29869,22122.01698,23274.67872
0.05,1.34E-21,1.32E-16,1371.09528,4024.741493,6521.885387,8532.232228,10276.17665,11886.64895,13422.11541,14910.5649,16367.27163,17801.46905,19219.17227,20624.52002,22020.47707,23409.2317,24792.43552,26171.35598,27546.97771
0.06,8.20E-22,8.06E-17,1094.418866,3625.596641,6619.269284,9140.202007,11272.71306,13194.64044,15001.66029,16739.33481,18431.46593,20091.86397,21729.23248,23349.40755,24956.48863,26553.45787,28142.54297,29725.44203,31303.46954
0.07,4.84E-22,4.76E-17,892.8355273,3107.125799,6290.8708,9329.93178,11899.09775,14158.89169,16244.73093,18228.67209,20147.74398,22022.63181,23865.92039,25685.80807,27487.92377,29276.29098,31053.87604,32822.91894,34585.14302
0.08,2.79E-22,2.74E-17,761.7210051,2631.795315,5652.133667,9091.008851,12127.1587,14765.01534,17150.10232,19386.00534,21529.43116,23611.48115,25650.47017,27657.97046,29641.72761,31607.16623,33558.2225,35497.83318,37428.23797
0.09,1.57E-22,1.54E-17,678.9634778,2265.853585,4930.550941,8461.677894,11938.4599,14989.05992,17706.54527,20211.11082,22583.85247,24871.07777,27099.60474,29285.91352,31440.74506,33571.45339,35683.27728,37780.06869,39864.73259
0.1,8.67E-23,8.53E-18,625.6350474,2015.469103,4289.303952,7586.111599,11344.91054,14810.6109,17893.82393,20694.81984,23311.24709,25808.38444,28225.1966,30585.30675,32903.75464,35190.60162,37452.87164,39695.64339,41922.69559
0.11,4.72E-23,4.64E-18,589.5296835,1855.002481,3788.695708,6695.08695,10416.35205,14231.53725,17692.3483,20819.84704,23703.77257,26423.73322,29033.65588,31567.12431,34045.31558,36482.12549,38887.06191,41266.87649,43626.51631
0.12,2.53E-23,2.49E-18,563.5416632,1753.992862,3433.846105,5929.04481,9339.943964,13288.91659,17099.76762,20568.55602,23746.45382,26710.12196,29525.15317,32237.08414,34875.42159,37459.4264,40002.07643,42512.43041,44997.0201
0.13,1.34E-23,1.31E-18,543.6983462,1689.522738,3198.371013,5330.278536,8330.212007,12100.56499,16139.57601,19937.32118,23423.99789,26654.44241,29693.21998,32595.02904,35399.0015,38131.45679,40810.12124,43447.22811,46051.47264
