h,K_0.2,K_0.3,K_0.4,K_0.5,K_0.6,K_0.7,K_0.8,K_0.9,K_1,K_1.1,K_1.2,K_1.3,K_1.4,K_1.5,K_1.6,K_1.7,K_1.8,K_1.9,K_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,4.78E-21,4.70E-16,1327.730532,1999.79983,2535.151795,3022.037167,3484.719924,3932.998246,4371.862188,4804.241581,5232.022043,5656.493967,6078.578251,6498.951402,6918.120313,7336.469743,7754.293979,8171.818803,8589.21727
0.02,4.96E-21,4.87E-16,1986.783405,3499.194907,4608.780754,5576.932093,6481.285356,7350.042936,8196.377473,9027.561033,9848.073814,10660.88838,11468.08062,12271.15325,13071.22184,13869.12926,14665.51981,15460.88952,16255.6215
0.03,3.84E-21,3.77E-16,1909.697155,4399.000013,6191.161343,7665.194489,9005.210718,10276.13098,11505.63136,12707.94295,13891.38848,15061.28454,16221.2436,17373.83025,18520.92328,19663.93049,20803.9238,21941.72844,23077.98416
0.04,2.63E-21,2.58E-16,1397.391657,4564.774691,7207.933811,9264.706484,11058.19012,12725.954,14322.92167,15875.22887,17397.26823,18897.82836,20382.68393,21855.83466,23320.15924,24777.78861,26230.33312,27679.02816,29124.83164
0.05,1.68E-21,1.65E-16,834.1964053,3936.495105,7533.239508,10316.65608,12621.97618,14701.2591,16661.67212,18550.82849,20393.26181,22203.19242,23989.59922,25758.51666,27514.19124,29259.71542,30997.39979,32729.0044,34455.88948
0.06,1.03E-21,1.01E-16,425.291844,2842.733599,7039.59332,10710.02959,13646.71291,16185.439,18522.88345,20746.54206,22898.72662,25002.58297,27072.06892,29116.23589,31141.28095,33151.62416,35150.51775,37140.41248,39123.18936
0.07,6.05E-22,5.95E-17,195.2947216,1775.185933,5717.828289,10307.4155,14034.64847,17133.38652,19890.0959,22461.99933,24923.52657,27313.14392,29652.8928,31956.48993,34233.02622,36488.82345,38728.44347,40955.274,43171.88812
0.08,3.48E-22,3.42E-17,84.6389693,970.2436542,4031.758886,9007.284451,13647.19333,17456.27468,20720.16696,23679.777,26465.38327,29142.50137,31746.82691,34299.58371,36814.32211,39300.18711,41763.62336,44209.32921,46640.82311
0.09,1.96E-22,1.93E-17,35.4655576,473.614116,2528.759104,6928.886685,12367.58276,17019.39032,20929.2692,24356.706,27504.99668,30485.96563,33358.9471,36157.68516,38902.85764,41607.9497,44282.20336,46932.2072,49562.80838
0.1,1.08E-22,1.07E-17,14.62495364,214.4298489,1414.801943,4754.766124,10151.76259,15698.84272,20387.32913,24410.90967,27997.62233,31321.54208,34481.6478,37532.97938,40507.97626,43427.02391,46303.65791,49147.27814,51964.65376
0.11,5.90E-23,5.80E-18,6.037986133,92.71972571,710.8941646,2952.841546,7412.413886,13407.89717,18966.22959,23715.75332,27860.99715,31601.61222,35089.45652,38414.4141,41628.58976,44763.64698,47839.91729,50871.11106,53866.85966
0.12,3.16E-23,3.11E-18,2.52384513,38.90391616,330.0139188,1656.780145,4947.843944,10301.31468,16574.53957,22142.4226,26970.41674,31241.7178,35130.73071,38772.25435,42249.62447,45613.02129,48893.77705,52112.39603,55282.89458
0.13,1.67E-23,1.64E-18,1.07215117,16.06320752,145.627618,841.0994992,3021.213992,7215.656719,13229.08503,19603.09323,25199.42881,30117.97587,34517.44211,38549.79003,42336.28022,45955.42178,49456.23104,52870.08978,56217.89259
0.14,8.72E-24,8.57E-19,0.462812756,6.631260335,62.04158551,395.9089747,1678.991801,4678.642287,9594.616391,16050.79301,22465.35848,28108.93784,33126.14429,37654.48605,41825.85009,45750.16485,49502.21437,53130.40943,56666.5062
0.15,4.50E-24,4.42E-19,0.202784236,2.768626912,25.78452321,177.2832038,851.1419913,2795.830216,6496.260759,11966.00952,18692.47203,25137.60175,30842.99967,35963.89386,40620.89757,44927.79515,48984.35492,52862.21235,56609.53816
0.16,2.29E-24,2.25E-19,0.090088158,1.173301082,10.60718637,76.54719508,403.1963006,1526.306917,4091.909153,8351.561023,14231.29457,21114.51957,27596.54188,33374.47757,38601.66307,43386.32829,47826.01019,52010.71449,56009.01059
0.17,1.15E-24,1.13E-19,0.040535156,0.503926553,4.386168371,32.10231082,182.4482418,767.9503312,2379.660256,5467.778918,10148.50509,16315.1514,23289.39905,29818.84362,35677.35035,41011.58196,45922.04152,50492.19092,54802.21672
0.18,5.74E-25,5.64E-20,0.018451913,0.218772416,1.838724041,13.24004851,79.64848641,364.7187048,1271.014037,3339.660518,6840.199744,11819.28203,18166.33168,25194.02758,31781.26745,37726.85727,43167.68564,48201.08283,52899.33811
0.19,2.83E-25,2.78E-20,0.00848806,0.095839435,0.781850354,5.461014587,33.69098044,166.3386873,633.8914001,1882.223398,4334.922376,8142.427133,13314.8278,19752.14334,26807.3873,33460.8004,39499.44898,45046.02607,50198.57417
0.2,1.38E-25,1.35E-20,0.003941161,0.042334084,0.336016615,2.27927325,13.96373756,73.22983643,301.5429869,984.4708667,2554.579075,5306.001083,9324.248498,14600.86137,21053.19401,28110.15913,34834.72189,40972.52987,46624.56236
0.21,6.62E-26,6.51E-21,0.001844725,0.018846971,0.145437748,0.965255542,5.770926216,31.18555854,138.3649467,487.6416275,1396.21315,3239.94624,6207.578854,10351.7299,15656.29812,22060.62439,29085.58594,35880.77979,42124.02188
0.22,3.15E-26,3.10E-21,0.000869209,0.008453086,0.06328221,0.413316069,2.410350535,12.9941146,61.2498197,232.4744021,718.6751223,1840.421149,3897.832167,7007.469389,11204.71398,16471.55231,22774.63399,29721.85865,36577.82773
0.23,1.48E-26,1.46E-21,0.000411693,0.003818003,0.027670583,0.178050923,1.021412164,5.395376499,26.19776754,107.0958753,354.8041727,981.5995189,2287.120994,4497.615108,7684.747362,11873.91087,17046.87037,23202.53501,30017.02058
0.24,6.90E-27,6.78E-22,0.000195732,0.001735994,0.012160385,0.076909245,0.43761373,2.263574837,10.97150559,47.50475058,169.5192348,500.4798359,1259.467058,2710.227346,5018.098828,8227.885211,12358.50726,17390.94777,23356.40825
0.25,3.17E-27,3.12E-22,9.33E-05,0.000794282,0.00537126,0.033278086,0.188435879,0.963230777,4.585505227,20.36225751,78.13910728,246.9935071,661.4361952,1534.845233,3089.801125,5446.265917,8632.990015,12664.18291,17519.50626
