"","h","K","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"1",0,0.2,0,0,0,0
"2",0,1.1,0,0,0,0
"3",0,1.2,0,0,0,0
"4",0,1.3,0,0,0,0
"5",0,1.4,0,0,0,0
"6",0,1.5,0,0,0,0
"7",0,1.6,0,0,0,0
"8",0,1.7,0,0,0,0
"9",0,1.8,0,0,0,0
"10",0,1.9,0,0,0,0
"11",0,2,0,0,0,0
"12",0,0.3,0,0,0,0
"13",0,0.4,0,0,0,0
"14",0,0.5,0,0,0,0
"15",0,0.6,0,0,0,0
"16",0,0.7,0,0,0,0
"17",0,0.8,0,0,0,0
"18",0,0.9,0,0,0,0
"19",0,1,0,0,0,0
"20",0.09,0.2,1.96134166138006e-22,1.56907332910405e-22,0.039568973498076,0.039568973498076
"21",0.09,1.1,24356.7059964866,20211.1108211144,0.997779530882387,0.970761734269845
"22",0.09,1.2,27504.9966810265,22583.8524748832,0.98240473279054,0.951041054251464
"23",0.09,1.3,30485.9656304638,24871.077766377,0.964696529357863,0.93114804201848
"24",0.09,1.4,33358.9470979698,27099.6047373403,0.949565990398576,0.912652947459908
"25",0.09,1.5,36157.6851647058,29285.9135201496,0.932565974560965,0.897381357741053
"26",0.09,1.6,38902.8576371185,31440.7450608256,0.918901174941055,0.882783159694871
"27",0.09,1.7,41607.9496956083,33571.4533922225,0.905398059260499,0.870382064273371
"28",0.09,1.8,44282.2033574515,35683.2772812971,0.894549949267341,0.859172582403498
"29",0.09,1.9,46932.2071971822,37780.0686921727,0.883339836906958,0.849453655802157
"30",0.09,2,49562.8083777944,39864.7325876799,0.874640271744634,0.840405560169642
"31",0.09,0.3,1.92825582960767e-17,1.54260466368633e-17,0.0395689734980931,0.0395689734980976
"32",0.09,0.4,35.4655575964871,678.963477768237,0.017850741812983,0.365589206055743
"33",0.09,0.5,473.614115988839,2265.85358456665,0.103754105746739,0.555253439169272
"34",0.09,0.6,2528.75910362346,4930.55094100803,0.335680168003416,0.744878434418997
"35",0.09,0.7,6928.88668473269,8461.67789390274,0.646953085076718,0.906938881546355
"36",0.09,0.8,12367.5827627442,11938.4598973302,0.881217851187272,0.984439982242291
"37",0.09,0.9,17019.3903162867,14989.059922995,0.974972646386905,1
"38",0.09,1,20929.2691991928,17706.5452669353,1,0.989533893684308
"39",0.1,0.2,1.08427609422036e-22,8.67420875376286e-23,0.0218746651241857,0.0218746651241856
"40",0.1,1.1,24410.9096675362,20694.8198428751,1,0.993994807058493
"41",0.1,1.2,27997.6223271014,23311.2470862216,1,0.98167276949108
"42",0.1,1.3,31321.5420841506,25808.3844391314,0.991137473189385,0.966239857552345
"43",0.1,1.4,34481.6478032361,28225.1965990081,0.981523785828584,0.950560316963808
"44",0.1,1.5,37532.9793801817,30585.3067502236,0.968037066930984,0.937197471390403
"45",0.1,1.6,40507.9762551234,32903.7546417683,0.956814723548784,0.923861073657465
"46",0.1,1.7,43427.0239072635,35190.601622488,0.944981510810799,0.912360514314189
"47",0.1,1.8,46303.6579051044,37452.871643099,0.935385588100675,0.901780410873135
"48",0.1,1.9,49147.2781367205,39695.6433889319,0.925031044700539,0.892523771486233
"49",0.1,2,51964.6537600366,41922.6955904444,0.91702589851945,0.883790362672524
"50",0.1,0.3,1.06598546329439e-17,8.52788370635653e-18,0.0218746651241969,0.0218746651242002
"51",0.1,0.4,14.6249536412892,625.635047422193,0.00736112130106078,0.336874408943984
"52",0.1,0.5,214.42984890356,2015.46910292053,0.0469749031275104,0.493896056902574
"53",0.1,0.6,1414.80194336505,4289.3039515667,0.187807906795007,0.648002637112398
"54",0.1,0.7,4754.76612382365,7586.11159869425,0.443954527269723,0.813094005098355
"55",0.1,0.8,10151.7625928509,11344.9105435335,0.723335722869294,0.935496172040925
"56",0.1,0.9,15698.8427166066,14810.6109025021,0.899323768018571,0.988094715651971
"57",0.1,1,20387.3291336267,17893.8239305871,0.974106116156841,1
"58",0.11,0.2,5.89739362113113e-23,4.71791489690491e-23,0.0118976625285196,0.0118976625285196
"59",0.11,1.1,23715.7533235789,20819.8470413712,0.971522718594884,1
"60",0.11,1.2,27860.9971478997,23703.7725743334,0.995120114929565,0.998202626584753
"61",0.11,1.3,31601.6122197064,26423.7332165427,1,0.98927789452956
"62",0.11,1.4,35089.4565162859,29033.6558837839,0.998825125732539,0.977787383790185
"63",0.11,1.5,38414.4140989226,31567.1243113465,0.990770713284453,0.967282405413318
"64",0.11,1.6,41628.5897628666,34045.3155806713,0.9832840662003,0.955913455707554
"65",0.11,1.7,44763.646977518,36482.1254879667,0.974066720311016,0.945844891500971
"66",0.11,1.8,47839.9172912514,38887.0619052718,0.966419742947173,0.936312467485962
"67",0.11,1.9,50871.1110597286,41266.876488317,0.957476360700002,0.927851650619141
"68",0.11,2,53866.8596614107,43626.5163086735,0.950594333015941,0.919709339476961
"69",0.11,0.3,5.79791061055505e-18,4.63832848844503e-18,0.0118976625285268,0.0118976625285292
"70",0.11,0.4,6.03798613335138,589.529683512063,0.00303907618662403,0.317433405475512
"71",0.11,0.5,92.719725711682,1855.0024806315,0.0203120048612005,0.454573284899678
"72",0.11,0.6,710.894164567403,3788.69570788374,0.0943676573433572,0.572373708566013
"73",0.11,0.7,2952.84154586622,6695.08694984929,0.275708066066397,0.717592272630379
"74",0.11,0.8,7412.41388627588,10416.3520507562,0.528151018859677,0.858927660356681
"75",0.11,0.9,13407.8971676076,14231.5372459756,0.768084681122584,0.9494616286204
"76",0.11,1,18966.229593552,17692.3483005583,0.906206012882834,0.988740493322704
"77",0.12,0.2,3.16059201449919e-23,2.52847361159935e-23,0.00637631801345371,0.0063763180134537
"78",0.12,1.1,22142.422595441,20568.5560227248,0.907070768644397,0.987930217827871
"79",0.12,1.2,26970.416741225,23746.4538191343,0.963310970700463,1
"80",0.12,1.3,31241.7177970296,26710.1219613405,0.988611517027211,1
"81",0.12,1.4,35130.7307077916,29525.1531670913,1,0.994339892530689
"82",0.12,1.5,38772.2543509355,32237.0841378722,1,0.987811369222008
"83",0.12,1.6,42249.6244699952,34875.4215938875,0.997953156254887,0.97922090620884
"84",0.12,1.7,45613.0212910491,37459.4264049473,0.99254929060546,0.971182644370941
"85",0.12,1.8,48893.7770503077,40002.076430906,0.98770888672326,0.96315949450802
"86",0.12,1.9,52112.3960284298,42512.4304143888,0.980839345892682,0.955856902399417
"87",0.12,2,55282.8945824261,44997.0201006014,0.975583255327932,0.94860151890991
"88",0.12,0.3,3.10727605341484e-18,2.48582084273256e-18,0.00637631801345817,0.00637631801345985
"89",0.12,0.4,2.52384512957613,563.541663157552,0.00127031719891754,0.303440105335722
"90",0.12,0.5,38.9039161639837,1753.99286161212,0.00852263666848846,0.429820609470115
"91",0.12,0.6,330.013918765324,3433.84610510462,0.0438077029701541,0.518765132215259
"92",0.12,0.7,1656.7801448554,5929.04480967647,0.154694263996237,0.635486405385499
"93",0.12,0.8,4947.84394423199,9339.94396404008,0.352544914571376,0.770167538290245
"94",0.12,0.9,10301.3146824444,13288.9165941452,0.590121023759351,0.886574385746395
"95",0.12,1,16574.5395682089,17099.7676171821,0.791931118590999,0.955624000968979
"96",0.13,0.2,1.67084792034306e-23,1.33667833627445e-23,0.00337084243817318,0.00337084243817318
"97",0.13,1.1,19603.0932254133,19937.3211802142,0.803046403939761,0.957611318690126
"98",0.13,1.2,25199.4288128779,23423.9978923256,0.900056030418166,0.986420880807522
"99",0.13,1.3,30117.9758703914,26654.4424143601,0.953051877891539,0.997915413974485
"100",0.13,1.4,34517.4421124953,29693.2199833067,0.982542674662891,1
"101",0.13,1.5,38549.7900271609,32595.0290444734,0.994262280398735,0.998779546330818
"102",0.13,1.6,42336.2802203556,35399.0014950703,1,0.993921814810868
"103",0.13,1.7,45955.4217838642,38131.4567856705,1,0.988605875447489
"104",0.13,1.8,49456.231039452,40810.1212394268,0.999071085288513,0.982615385270565
"105",0.13,1.9,52870.0897759656,43447.2281055371,0.995100364313607,0.976875056777359
"106",0.13,2,56217.8925894108,46051.4726412063,0.992083266882486,0.970830886085779
"107",0.13,0.3,1.64266242145878e-18,1.31412993716749e-18,0.00337084243817589,0.00337084243817704
"108",0.13,0.4,1.07215116991314,543.698346233646,0.000539641697907573,0.292755432717441
"109",0.13,0.5,16.0632075208188,1689.52273799017,0.00351894860284552,0.414022034439239
"110",0.13,0.6,145.627618021507,3198.37101286251,0.0193313405034708,0.483190949907325
"111",0.13,0.7,841.099499227941,5330.27853583434,0.0785338165626231,0.57130948663309
"112",0.13,0.8,3021.21399230442,8330.21200702851,0.215268234169042,0.686905499603644
"113",0.13,0.9,7215.65671856033,12100.5649888416,0.413356048341051,0.807293122517837
"114",0.13,1,13229.0850337369,16139.5760104592,0.632085378033511,0.901963497185794
"115",0.14,0.2,8.71985235912661e-24,6.97588188730129e-24,0.00175918155260435,0.00175918155260435
"116",0.14,1.1,16050.7930072284,18943.6671080551,0.65752539441716,0.90988502799334
"117",0.14,1.2,22465.3584816105,22733.2279339395,0.80240236899918,0.957331486506909
"118",0.14,1.3,28108.9378438788,26243.8809621435,0.889477968669915,0.982544407701626
"119",0.14,1.4,33126.1442885924,29526.3605203896,0.942939233576642,0.994380553439105
"120",0.14,1.5,37654.4860530214,32634.858377123,0.971170923212332,1
"121",0.14,1.6,41825.8500878574,35615.4789718609,0.987943434570976,1
"122",0.14,1.7,45750.1648539736,38502.299585441,0.995533564443039,0.998220440471354
"123",0.14,1.8,49502.2143746358,41319.0688320188,1,0.994869691790345
"124",0.14,1.9,53130.409426022,44082.2546559122,1,0.991153104526365
"125",0.14,2,56666.5061956638,46803.4778066397,1,0.986684230164195
"126",0.14,0.3,8.57275735069085e-19,6.85820588055594e-19,0.00175918155260595,0.00175918155260676
"127",0.14,0.4,0.462812756092526,527.78057893858,0.000232945752912146,0.284184479937018
"128",0.14,0.5,6.63126033455708,1646.92591931495,0.00145270265973661,0.403583570882641
"129",0.14,0.6,62.0415855079108,3046.20665839729,0.0082357112690774,0.460202860445409
"130",0.14,0.7,395.908974742637,4896.52527332264,0.0369661886928652,0.524818979229953
"131",0.14,0.8,1678.99180110789,7486.80279588351,0.11963190993072,0.617358359019099
"132",0.14,0.9,4678.64228724196,10889.0015511485,0.268020661581796,0.726463274354083
"133",0.14,1,9594.61639081033,14885.1496551209,0.458430550034703,0.831859624463876
"134",0.15,0.2,4.49505762152948e-24,3.59604609722359e-24,0.000906852790622279,0.00090685279062228
"135",0.15,1.1,11966.0095159071,17637.7955815814,0.490191053052831,0.847162591854458
"136",0.15,1.2,18692.4720345443,21689.0711971669,0.667644981282935,0.913360426881524
"137",0.15,1.3,25137.601747609,25476.7386335395,0.79545314248029,0.953823373416783
