h,MPAProp_0,MPAProp_0.1,MPAProp_0.2,MPAProp_0.3,MPAProp_0.4,MPAProp_0.5,MPAProp_0.6,MPAProp_0.7,MPAProp_0.8
0,0,0,0,0,0,0,0,0,0
0.01,4371.862188,3934.51666,3497.171033,3059.818711,2622.429956,2185.010952,1747.603405,1310.253973,873.1237924
0.02,8196.377473,7377.861998,6559.344697,5740.756054,4921.808261,4102.283227,3282.015974,2461.116194,1640.015646
0.03,11505.63136,10361.83074,9218.020401,8073.891478,6928.26171,5780.020357,4628.140888,3472.922578,2315.090831
0.04,14322.92167,12910.94007,11498.92334,10085.88675,8668.404121,7243.31904,5807.920721,4363.275207,2910.599208
0.05,16661.67212,15041.94704,13422.11541,11799.51948,10165.9542,8514.689762,6840.778999,5147.455981,3436.990975
0.06,18522.88345,16762.42055,15001.66029,13234.06439,11442.24214,9614.45979,7743.964195,5838.759951,3903.210068
0.07,19890.0959,18067.81463,16244.73093,14405.58178,12516.64497,10561.08719,8532.822826,6448.769228,4316.932511
0.08,20720.16696,18936.21234,17150.10232,15327.23292,13406.99147,11371.40779,9221.021048,6987.58196,4684.762153
0.09,20929.2692,19320.78903,17706.54527,16009.87035,14129.97169,12060.83018,9820.728545,7464.006523,5012.392824
0.1,20387.32913,19147.73273,17893.82393,16463.32183,14701.56439,12643.48758,10342.77427,7885.728012,5304.743624
0.11,18966.22959,18344.06479,17692.3483,16698.7766,15137.45303,13132.3511,10796.78079,8259.452157,5566.072443
0.12,16574.53957,16866.30524,17099.76762,16731.95548,15453.34946,13539.30836,11191.28201,8591.030411,5800.071614
0.13,13229.08503,14731.10708,16139.57601,16585.38963,15665.11771,13875.21301,11533.8281,8885.569064,6009.948823
0.14,9594.616391,12275.4278,14885.14966,16288.43184,15788.62978,14149.91421,11831.0804,9147.524633,6198.495707
0.15,6496.260759,10029.59953,13520.28077,15875.88816,15839.39056,14372.27682,12088.89848,9380.787325,6368.146164
0.16,4091.909153,8187.012843,12251.28103,15386.64279,15832.06543,14550.20319,12312.42093,9588.754077,6521.025991
0.17,2379.660256,6783.590226,11175.11549,14862.21332,15780.05341,14690.66435,12506.14067,9774.392432,6658.995227
0.18,1271.014037,5785.064006,10305.9724,14342.35567,15695.18567,14799.74488,12673.9752,9940.29634,6783.6843
0.19,633.8914001,5124.954588,9632.903902,13857.59535,15587.56501,14882.70145,12819.33198,10088.73485,6896.524943
0.2,301.5429869,4707.351627,9131.203696,13424.90519,15465.52983,14944.0325,12945.16872,10221.69452,6998.776664
0.21,138.3649467,4443.985457,8764.364039,13049.4198,15335.71704,14987.55474,13054.04859,10340.91631,7091.549437
0.22,61.2498197,4273.296563,8495.554136,12728.95883,15203.19991,15016.48215,13148.19023,10447.92766,7175.823184
0.23,26.19776754,4157.581048,8295.054769,12457.83562,15071.67924,15033.50365,13229.51261,10544.07024,7252.464518
0.24,10.97150559,4074.711583,8141.386711,12229.11534,14943.70574,15040.85655,13299.67496,10630.52413,7322.241163
0.25,4.585505227,4011.874693,8019.862595,12035.82639,14820.91069,15040.3939,13360.11197,10708.32861,7385.834383
