"","h","MPAProp","mpa_yield","mpa_prop_msy"
"1",0,0,0,0
"2",0,0.1,0,0
"3",0,0.2,0,0
"4",0,0.3,0,0
"5",0,0.4,0,0
"6",0,0.5,0,0
"7",0,0.6,0,0
"8",0,0.7,0,0
"9",0,0.8,0,0
"10",0.09,0,20929.2691991928,1
"11",0.09,0.1,19320.7890329469,1
"12",0.09,0.2,17706.5452669353,0.989533893684308
"13",0.09,0.3,16009.8703467528,0.956843948280618
"14",0.09,0.4,14129.9716922767,0.892077989955787
"15",0.09,0.5,12060.8301816147,0.801871232380476
"16",0.09,0.6,9820.72854494072,0.735078311199958
"17",0.09,0.7,7464.00652262444,0.697028154029767
"18",0.09,0.8,5012.39282352771,0.678649501682629
"19",0.1,0,20387.3291336267,0.974106116156841
"20",0.1,0.1,19147.7327340826,0.991043000440138
"21",0.1,0.2,17893.8239305871,1
"22",0.1,0.3,16463.3218339646,0.983944874270656
"23",0.1,0.4,14701.5643877699,0.928164775830078
"24",0.1,0.5,12643.4875790345,0.840609544610162
"25",0.1,0.6,10342.7742740785,0.774153262837984
"26",0.1,0.7,7885.7280115087,0.736410722898199
"27",0.1,0.8,5304.74362431996,0.718232138610622
"28",0.11,0,18966.229593552,0.906206012882834
"29",0.11,0.1,18344.0647948458,0.949446979808354
"30",0.11,0.2,17692.3483005583,0.988740493322704
"31",0.11,0.3,16698.7765971512,0.998017034779729
"32",0.11,0.4,15137.4530254933,0.955684056707151
"33",0.11,0.5,13132.3511038838,0.873111917268915
"34",0.11,0.6,10796.7807924392,0.808135501860596
"35",0.11,0.7,8259.45215721134,0.77131104762405
"36",0.11,0.8,5566.07244252707,0.753614575401909
"37",0.12,0,16574.5395682089,0.791931118590999
"38",0.12,0.1,16866.305236816,0.872961513531079
"39",0.12,0.2,17099.7676171821,0.955624000968979
"40",0.12,0.3,16731.955482941,1
"41",0.12,0.4,15453.3494593497,0.975627780720615
"42",0.12,0.5,13539.3083628583,0.90016870472601
"43",0.12,0.6,11191.2820129586,0.837663788852615
"44",0.12,0.7,8591.03041139465,0.802275567514172
"45",0.12,0.8,5800.07161383623,0.785296733324109
"46",0.13,0,13229.0850337369,0.632085378033511
"47",0.13,0.1,14731.1070767577,0.762448523796693
"48",0.13,0.2,16139.5760104592,0.901963497185794
"49",0.13,0.3,16585.3896328938,0.99124036337554
"50",0.13,0.4,15665.1177120241,0.988997502988741
"51",0.13,0.5,13875.2130143377,0.922501518702175
"52",0.13,0.6,11533.8281030597,0.863303251369821
"53",0.13,0.7,8885.5690643906,0.82978113479441
"54",0.13,0.8,6009.9488228448,0.813712914641671
"55",0.14,0,9594.61639081033,0.458430550034703
"56",0.14,0.1,12275.4277986794,0.63534816190719
"57",0.14,0.2,14885.1496551209,0.831859624463876
"58",0.14,0.3,16288.4318352424,0.973492420049121
"59",0.14,0.4,15788.629782748,0.996795282219034
"60",0.14,0.5,14149.9142052882,0.940765185398987
"61",0.14,0.6,11831.0803958428,0.885552488010404
"62",0.14,0.7,9147.52463287657,0.854243922412044
"63",0.14,0.8,6198.49570723828,0.839241091231667
"64",0.15,0,6496.26075853665,0.310391189329592
"65",0.15,0.1,10029.5995274437,0.519109209791622
"66",0.15,0.2,13520.2807669897,0.755583648270876
"67",0.15,0.3,15875.8881602383,0.948836385348054
"68",0.15,0.4,15839.3905593131,1
"69",0.15,0.5,14372.2768160524,0.955549091485372
"70",0.15,0.6,12088.8984755955,0.904850086736831
"71",0.15,0.7,9380.78732482991,0.876027218431871
