h,MPASize_1,MPASize_2,MPASize_5,MPASize_10,MPASize_15,MPASize_20
0,0,0,0,0,0,0
0.01,3496.665668,3496.86119,3497.171033,3497.330619,3497.383984,3205.926352
0.02,6562.969966,6561.560476,6559.344697,6558.278112,6557.889733,6011.464186
0.03,9239.150163,9231.155213,9218.020401,9211.518805,9209.195083,8442.1527
0.04,11560.39423,11537.77754,11498.92334,11479.35098,11472.38362,10517.52281
0.05,13557.56604,13509.34359,13422.11541,13377.33279,13361.41425,12250.6392
0.06,15257.77315,15170.12124,15001.66029,14913.12792,14881.67306,13646.82223
0.07,16684.81826,16541.21928,16244.73093,16084.11519,16027.03824,14701.04889
0.08,17859.57374,17641.08754,17150.10232,16873.11164,16774.57297,15393.26077
0.09,18800.32067,18486.15952,17706.54527,17242.32149,17076.76252,15681.53518
0.1,19523.09863,19091.80031,17893.82393,17131.8367,16859.03305,15499.97465
0.11,20042.11765,19473.6731,17692.3483,16482.29152,16047.68751,14783.42717
0.12,20370.28226,19649.40271,17099.76762,15259.73229,14595.73846,13491.0005
0.13,20519.8592,19639.9967,16139.57601,13478.39965,12517.06344,11635.44384
0.14,20503.26981,19470.25891,14885.14966,11405.07102,10166.45447,9527.214167
0.15,20333.89591,19167.91874,13520.28077,9484.797586,8060.712805,7628.091949
0.16,20026.66807,18762.02108,12251.28103,7895.523922,6360.554228,6088.272886
0.17,19598.14125,18281.29726,11175.11549,6673.382617,5089.559809,4931.464777
0.18,19065.90607,17752.86672,10305.9724,5793.122244,4207.332382,4123.170342
0.19,18447.57564,17201.24589,9632.903902,5202.151879,3643.618374,3601.945332
0.2,17759.91537,16647.43238,9131.203696,4821.930242,3301.624319,3282.116791
0.21,17018.56188,16108.03418,8764.364039,4578.234012,3095.731794,3087.109049
0.22,16238.32537,15594.78592,8495.554136,4418.094755,2968.478597,2965.001712
0.23,15433.71659,15114.75388,8295.054769,4308.350497,2886.028581,2884.892538
0.24,14619.25877,14671.14316,8141.386711,4229.168931,2829.232759,2829.115255
0.25,13809.27194,14264.36207,8019.862595,4168.877645,2787.381348,2787.692544
