"","h","MPASize","mpa_yield","mpa_prop_msy"
"1",0,1,0,0
"2",0,2,0,0
"3",0,5,0,0
"4",0,10,0,0
"5",0,15,0,0
"6",0,20,0,0
"7",0.09,1,18800.3206699336,0.91620125096567
"8",0.09,2,18486.1595234821,0.940800073832402
"9",0.09,5,17706.5452669353,0.989533893684308
"10",0.09,10,17242.3214934021,1
"11",0.09,15,17076.7625219228,1
"12",0.09,20,15681.5351756939,1
"13",0.1,1,19523.0986345213,0.95142459034119
"14",0.1,2,19091.8003083916,0.97162242470712
"15",0.1,5,17893.8239305871,1
"16",0.1,10,17131.8367008485,0.993592232194726
"17",0.1,15,16859.0330475697,0.987249955951921
"18",0.1,20,15499.9746469144,0.988422018205149
"19",0.11,1,20042.117650143,0.976718088241364
"20",0.11,2,19473.6730995104,0.991056745265849
"21",0.11,5,17692.3483005583,0.988740493322704
"22",0.11,10,16482.291518174,0.955920670223036
"23",0.11,15,16047.6875085465,0.939738283995272
"24",0.11,20,14783.4271735986,0.94272831122508
"25",0.12,1,20370.2822619652,0.992710625451381
"26",0.12,2,19649.4027133498,1
"27",0.12,5,17099.7676171821,0.955624000968979
"28",0.12,10,15259.732292624,0.885016109835514
"29",0.12,15,14595.7384578901,0.854713441095898
"30",0.12,20,13491.0004982909,0.860311209785233
"31",0.13,1,20519.8592013689,1
"32",0.13,2,19639.9967026775,0.999521308061649
"33",0.13,5,16139.5760104592,0.901963497185794
"34",0.13,10,13478.3996532482,0.781704462383781
"35",0.13,15,12517.0634380901,0.732988083778816
"36",0.13,20,11635.4438428154,0.741983722413232
"37",0.14,1,20503.2698147449,0.999191544812213
"38",0.14,2,19470.2589104044,0.990882989902604
"39",0.14,5,14885.1496551209,0.831859624463876
"40",0.14,10,11405.0710193881,0.661457972683802
"41",0.14,15,10166.4544676422,0.595338516571318
"42",0.14,20,9527.21416696206,0.607543461798885
"43",0.15,1,20333.8959117156,0.990937399334548
"44",0.15,2,19167.9187352952,0.975496253749867
"45",0.15,5,13520.2807669897,0.755583648270876
"46",0.15,10,9484.79758586136,0.550088199520626
"47",0.15,15,8060.71280548474,0.472028160790815
"48",0.15,20,7628.09194859295,0.486437830424687
"49",0.16,1,20026.66807234,0.975965179673552
"50",0.16,2,18762.0210750846,0.954839256377889
"51",0.16,5,12251.2810333062,0.684665339327737
"52",0.16,10,7895.52392215629,0.457915363959405
"53",0.16,15,6360.55422840949,0.372468389148349
"54",0.16,20,6088.27288601005,0.388244697843535
