"","rep","collapse","abun","abunSSB","catch","size","sizeSSB","meanFec","totalFec"
"1",1,FALSE,30674435.1385411,950353.395700541,19001.2667094378,17.736425396754,163.919109008304,48652.7186692805,298478932626.907
"2",2,FALSE,28287138.2436503,935601.30662917,18967.8525404378,18.3469392112544,164.410366092153,52401.9928121797,296460482984.18
"3",3,FALSE,33715079.6516189,1069117.70357111,21488.0111546476,17.952982661318,164.055995687679,49717.5756606322,335246404696.721
"4",4,FALSE,25506775.8277988,774174.791857505,16229.908351319,17.521634547633,165.76761530234,49638.9070128318,253225694702.65
"5",5,FALSE,26904576.2247273,859702.455210652,17418.1610736524,18.0588383206646,164.119760724839,50888.0340171161,273824198028.003
"6",6,FALSE,23662571.2512778,798797.991355994,17450.2504305794,18.2304903574546,168.455045228066,57373.0666550396,271518855525.837
"7",7,FALSE,29191200.0598405,856728.792841695,17894.4770636829,17.2948557328279,165.566660218621,48237.7328366129,281623461933.341
"8",8,FALSE,30060655.2528527,893234.756230425,17245.3950914207,17.3882993645585,162.123910395694,45207.9058756899,271795854646.506
"9",9,FALSE,35713008.7498123,1062369.41319298,20960.0869267816,17.3838391943942,163.440719856751,46193.9623098254,329945076031.858
"10",10,FALSE,31025599.7978313,891391.459624328,17852.497811838,17.224580684204,163.267661251529,45325.5185239241,281250279670.492
