"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150"
"1",6043575.95640991,4720108.42050593,4590430.04530197,4546450.39704986,5353403.00032046,4917179.43850538,4733638.21272319,4484646.24416464,5039187.15385193,4873742.42210067,4802527.10704773,4218905.69816949,4129071.43120926,4794025.58180369,4725341.33154511,4829004.18103847,4408100.9090527,4538178.5420989,5119247.29339169,4974399.99113319,4878168.62295359,4779293.89262274,4976018.11416947,4939388.32342304,5309007.78973444,4340820.525587,4362258.46519348,4390627.77270672,4319923.25548248,5323328.65353097,4933793.22895677,5172609.3616611,3770587.93450497,4712334.73823476,4534043.26270289,4716512.02338332,4043398.27916327,4382416.11009677,4546956.28923007,4604262.77617032,4720606.05649133,4995293.17299537,5072093.06519613,4528575.71657305,4372164.07078759,4477650.66986785,4867839.84160089,4505065.53146553,4864393.07665144,4757073.07159287,4106250.22330589,4581257.22221532,4097753.16868236,4410917.15564041,4073460.6681722,4427411.72952869,4440544.84199938,4590417.46917872,3863626.42735884,4680956.49874182,4865424.88295088,3592444.17033879,4715974.01724896,4181269.0600753,4276710.38387388,4200566.62401179,4226078.22414091,4820778.8476656,4429154.50282855,4212391.48716542,4927587.43574383,4151731.83508675,5011345.52302322,3940032.98184194,3873236.17626778,4703477.61292323,3988548.25127738,4232829.80953682,4089582.09610453,4582729.80007629,4667989.83269897,4236225.29175338,4112559.54153452,4613491.44040519,3872587.6580263,4519443.65755169,3816859.07940689,3868879.32294601,4153085.75866155,4891094.17032835,3920607.53463083,3933036.35507736,4919898.33066654,4849542.63380891,4153239.30846312,4364875.9139435,4281091.04863892,4277391.3522522,4599930.54405051,3198205.76641665,3932310.40268056,4857576.08295598,3681362.20581024,4684995.12898798,4569300.67021475,4240778.023226,3793026.89707939,4022063.83758149,4465515.64845429,4359832.04693646,3706837.76863902,4669618.65390386,5043901.76304581,4513300.52962362,3559200.55637496,4358075.22251159,3756267.80347462,4642281.53188045,4404799.61593894,4689253.45514765,4259286.5663288,4377590.59755652,4974881.43294817,3746971.55038879,4642178.74689802,4654810.75617617,3957091.77124625,3993663.72811871,4576426.13915707,4431868.86247156,4443738.20610306,4205960.13746015,4465815.62004676,4396398.29259796,4191424.67460757,3877742.34741201,3772332.75629093,4067962.31353361,4340025.97217239,4143883.81329293,4337085.37479471,4791281.5546103,4484566.04818676,3973850.79017701,4765875.05001413,4189367.49401436,4927752.32483227,3921703.58423679,5085775.61034829,3723373.31916749
"2",1040294.45609276,812508.683259525,790163.668090302,782591.687182899,921477.74755617,846413.736013272,814815.461165729,771957.179057148,867395.96175088,838931.565531679,826671.281782306,726221.15339071,710748.188243939,825193.599432636,813385.069783597,831225.444747916,758784.594972423,781164.454025408,881176.380271816,856257.581535209,839692.113499813,822672.632925575,856529.479832386,850228.842200452,913844.391591893,747214.097331036,750885.041270527,755768.180009124,743599.574759906,916297.167065569,849272.598872563,890368.360406075,649067.090786933,811126.594014719,780458.627137022,811860.383835125,696012.400559285,754348.655463121,782674.718355911,792541.096458197,812566.383127741,859845.825544404,873069.408148768,779524.578237783,752593.569278798,770746.13142936,837904.751220991,775474.20687064,837312.051036233,818847.876528554,706830.815597949,788572.986976612,705364.949162393,759255.107216349,701180.589811266,762093.563649193,764360.814390674,790156.074799133,665068.905740829,805727.802400682,837493.0537466,618400.294233832,811749.501375557,719741.723494873,736158.018674324,723054.552314665,727443.947967851,829800.064086431,762408.02932735,725092.723518921,848182.929075545,714662.096717046,862597.594464096,678227.629686625,666710.237375756,809604.16221398,686571.752686497,728601.865455008,703951.83652365,788826.112878429,803510.03661785,729199.465499682,707906.61613647,794121.032737425,666611.696781132,777929.540599593,657018.265856073,665957.975037749,714874.565564253,841900.817422979,674881.92542304,677002.239514199,846854.110536355,834764.154496893,714920.036726492,751331.895246141,736915.552800884,736277.160503882,791790.229012766,550541.642387297,676863.26562805,836127.636609851,633704.078546007,806419.363227031,786526.349215245,729981.132678826,652911.029631965,692322.536023256,768650.739765121,750469.844927857,638079.084761017,803773.368942383,868210.998523079,776894.974798821,612671.803187012,750149.873347215,646586.594941763,799069.258761139,758212.774074814,807166.324148586,733169.020163018,753522.315018275,856326.041804108,644998.567918626,799051.387622886,801242.902588807,681156.743127726,687437.698108336,787739.309200251,762870.460481092,764910.519947724,723986.088773014,768705.939770142,756763.371599965,721483.42951611,667490.689060934,649342.252326699,700221.851791449,747053.244909058,713299.941582921,746548.604607819,824725.356458326,771944.495660997,684037.879739921,820345.516913404,721136.537077435,848210.861509453,675071.281503229,875403.502243543,640939.162456207
"3",7341.35047478401,7334.07857992963,5732.97452256716,5575.91989877833,5527.17167077581,6500.57518056435,5972.06750921457,5748.75361660256,5450.70912784109,6120.37372696875,5919.92006250973,5830.59677087008,5124.36406360487,5019.38614001595,5823.09870266581,5740.61272249629,5863.65342048117,5355.3945805751,5515.88235205325,6217.73883823077,6042.05499428272,5925.14472521803,5806.66219204526,6044.34793155834,6002.08464437505,6443.72399561652,5273.06996101728,5299.14908605838,5333.06594312621,5253.08038193165,6464.29923326051,5994.56952003941,6275.6522250692,4585.44464192181,5723.26352598351,5508.66908180301,5725.61931457861,4913.52522954398,5324.38337382386,5523.66715514901,5593.60384176966,5735.80023642702,6068.38525482735,6158.26858849228,5500.16561329624,5311.60557928625,5441.30817072208,5911.14777836038,5474.44061447522,5908.36448333369,5775.01288307986,4990.62094877843,5562.36211164741,4979.40994922264,5356.24639750044,4950.12501663719,5378.20926358677,5394.91398857556,5572.15277790187,4697.77798062252,5687.14049003733,5903.21316313421,4370.04572597749,5725.72588999382,5079.66346071793,5194.65645521973,5102.72049302048,5136.83774470842,5853.8224856732,5379.06340291738,5120.87413386041,5981.45552196327,5047.9823939855,6081.57604467307,4785.73406083777,4709.52196513668,5709.55592489423,4846.3764009363,5140.98436835657,4970.47304073524,5567.275992042,5668.00379461288,5145.21685094816,4998.42733780732,5600.10388068211,4707.72684177822,5486.07112258916,4636.76295929555,4701.22928127061,5048.9584603621,5936.05641559892,4762.5725342938,4783.0239313227,5975.99157163691,5887.0890975488,5046.25321154834,5301.71228375903,5200.37592622904,5197.67426967953,5580.00013733835,3889.01041178769,4781.80335552126,5894.21033060246,4477.39886441395,5690.39702970829,5548.68984513408,5148.966478417,4608.78566623976,4888.18296223108,5423.84259399118,5292.45790345595,4508.12027772288,5674.41088436707,6124.09444120059,5477.22735934834,4327.8795467639,5290.60470703856,4567.74290926138,5637.84215976955,5352.23253156003,5693.84328290846,5174.55972639494,5320.89950205283,6036.42147154068,4556.50118152618,5639.09155910114,5650.53342686576,4807.02380167763,4854.44984639796,5558.35593150135,5383.61676225862,5396.6631237477,5110.55986506221,5424.4063209748,5339.33789578835,5089.75177553462,4709.85490701584,4584.01350141153,4942.99577679599,5270.9087846889,5034.78725853395,5270.91007326535,5818.45764781142,5444.75864706204,4831.53237178466,5786.1129286737,5093.03361395031,5980.39100507711,4770.23170359686,6170.38943916838
"4",53167.6389032688,53167.63849375,41524.6462626463,40383.7661383115,39996.8568337359,47095.8903904168,43258.31780662,41643.6251667998,39453.1507736682,44331.6245568817,42876.1744754377,42249.6622834018,37115.344062739,36325.017097931,42174.8402412214,41570.6295252784,42482.5838456854,38779.7595326951,39924.0788735538,45035.942970465,43761.6965665939,42915.1105453713,42045.2720116929,43775.9174793803,43453.6810561505,46705.3471710554,38187.8913483639,38376.4475420661,38626.0228496963,38004.0124512078,46831.3066695984,43404.4736872038,45505.4037602761,33171.3563583111,41456.1631768231,39887.7121848743,41492.9442022092,35571.3422365099,38553.7686933905,40001.2986107953,40505.4500924314,41528.9637445547,43945.484238784,44621.1304313035,39839.6274241433,38463.5983877439,39391.5931702,42824.2239144729,39632.7917917823,42793.9027059118,41849.787343904,36124.2737817587,40303.043950218,36049.5149370485,38804.5043262264,35835.7984340074,38949.611660914,39065.1629510994,40383.6437720043,33989.8230687563,41180.1220784764,42802.9872354294,31604.1524308787,41488.1716725721,36784.2381766223,37623.8453972946,36953.9869529887,37178.4179464267,42410.201853728,38964.9747838137,37058.0206759924,43349.8326096411,36524.3980816604,44086.6783309117,34662.0150720757,34074.3359964618,41378.2483520334,35088.8074141342,37237.8050343923,35977.6166244247,40315.9980171308,41066.0800968954,37267.7047495281,36179.7571378352,40586.6195515276,34068.6590186377,39759.2392788771,33578.3918887115,34036.0021138147,36536.2645849129,43028.7865035329,34491.1177872082,34600.4176114011,43282.1772265053,42663.2757351766,36537.6565610138,38399.4662548672,37662.3912928962,37629.8402951044,40467.3266685884,28135.8925057964,34594.0008518606,42733.9072715845,32386.3941801192,41215.6436294108,40197.8823949058,37307.7525297251,33368.7204155575,35383.6171795757,39284.8225867037,38355.1067506409,32610.4904517968,41080.3726382927,44373.1083320347,39705.2452473055,31311.6823233737,38339.6133440749,33045.3431386933,40839.8807895158,38750.7091043989,41253.1359209632,37470.5834860304,38511.3260831574,43765.9008550311,32963.5867310794,40838.9761651638,40950.1417907232,34812.0720616312,35133.7786800477,40260.5385521643,38988.8436725656,39093.2562438677,37001.4425259426,39287.4692543065,38676.7924129419,36873.5671491334,34113.9888582911,33186.6518168269,35787.4007521124,38180.8493212733,36455.3317226701,38154.983075538,42150.7088322817,39452.4476810606,34959.4996851085,41927.1839645035,36855.4849370319,43351.2822287723,34500.7616449769,44741.4553704345
"5",110422.456381499,110422.455530993,86243.0020271101,83872.12435672,83068.4611911935,97811.2473976545,89842.567434054,86488.7558943509,81939.4953630916,92070.5161296687,89048.5833636573,87747.2852254597,77084.5631019746,75442.5691338207,87591.0173119706,86337.0171355722,88230.8266830421,80541.1506200569,82917.1044068425,93533.2649036044,90887.6762653015,89129.3666691859,87322.8252643951,90916.8067059231,90247.8388520703,97000.6565902937,79312.5635808412,79702.998706318,80221.3268193535,78929.6073060122,97261.5077979726,90146.0593956441,94508.6809458886,68894.3692498239,86098.0881515658,82841.9406634073,86175.3770593017,73877.9727433805,80070.8961156407,83077.4392050424,84124.6250399924,86250.2634158758,91268.8830542516,92672.3490769707,82742.5073172735,79884.2106465204,81811.2281277645,88940.0304689703,82312.7217960038,88877.093713106,86916.8383557046,75026.315172739,83703.7583310169,74870.8523229208,80591.6729125595,74426.8172018947,80892.9941669773,81133.3832735569,83871.5390842973,70593.4211920474,85524.9331023919,88896.1682528631,65639.3322088728,86164.350421308,76396.840142438,78139.8516528148,76748.8436945444,77214.8380489363,88079.9168066824,80925.7845715202,76965.0751350993,90031.26822621,75857.4708005626,91561.4324599193,71989.8869906758,70768.1620752312,85936.4010006974,72875.8585239966,77337.9183785798,74721.1255901988,83730.6407999464,85288.9494866424,77400.817087006,75140.9226564665,84292.6782528535,70757.1701977831,82574.1413026867,69738.9020340838,70688.4067123409,75880.8603692284,89364.4690776459,71634.8355316171,71860.6731575204,89890.4347666511,88606.3069928891,75884.9127540798,79750.5803661891,78220.1188941043,78152.4197301496,84045.1333426925,58436.3478335874,71846.4915261905,88751.8204277173,67263.8346885772,85598.4861898868,83486.0507832432,77483.8689663193,69303.1390706374,73487.0229525772,81589.0788156285,79658.8271594556,67728.6345207712,85317.5938523247,92156.8861964369,82463.3972456348,65031.5310969114,79625.5778554211,68631.7078781922,84818.213653993,80480.5992917572,85677.2048099606,77822.1684140841,79983.0096244205,90895.5289684371,68462.6517944816,84816.3239745417,85048.2463279019,72301.0938391316,72968.3679895373,83615.352360959,80975.0645781426,81191.7309842107,76847.5943709628,81594.7930819331,80326.8846054353,76581.9745417696,70850.8084885187,68924.6001281449,74325.5514442346,79296.4690886539,75713.3420372589,79242.8415838962,87541.1490752839,81938.1035024112,72607.060844603,87076.5160562034,76544.8601618844,90034.2514344848,71654.9067273029,92920.9608588789
"6",114555.524153947,114555.523271513,89490.9272691038,87013.3724183583,86178.3408004181,101460.158548351,93211.8923663011,89728.7526306567,85010.1984817711,95508.3464476139,92384.1214507925,91032.7005299233,79978.5757596916,78267.7036725195,90859.5228748943,89569.6085986558,91531.7132582538,83562.097152647,86018.7036599773,97025.4467205044,94291.7413832086,92466.8885780499,90592.7687736048,94316.8302111678,93626.329207465,100625.798434832,82295.7473358394,82685.9275932443,83223.5523161665,81884.9728147961,100886.890784472,93526.0424239287,98042.5144487327,71494.1224316434,89306.5553464841,85945.3596252416,89398.1449634659,76653.3086002253,83062.8237072607,86184.5218908648,87272.514626824,89476.8277843001,94680.9132558483,96139.8836204892,85847.6919743392,82876.5943259105,84871.8043359677,92263.157284643,85399.1041345048,92198.3285451227,90171.7127993337,77844.2981256123,86829.6192907217,77680.5024219747,83603.481402168,77217.6529418743,83915.4681684147,84169.9755721357,87008.56500124,73246.624100899,88713.8166138857,92220.7441644269,68115.3118850551,89372.5665507879,79264.3765835857,81063.1606777794,79622.6658242307,80104.5748320173,91367.7772075121,83960.6878615015,79849.1035051953,93390.3565334407,78708.4420958606,94975.624401081,74700.535321982,73417.9893525276,89140.491560093,75614.313877993,80228.9751039366,77520.059258139,86857.2353710471,88479.9992531924,80304.3853966325,77955.2749870094,87440.1927019116,73416.7141833678,85655.1391885024,72359.7569135093,73333.4635712693,78716.7801001871,92698.2565834287,74330.6795636599,74550.2023378676,93240.1700323763,91923.8621487018,78735.7159925529,82732.432529561,81149.1250559334,81077.688705534,87186.0625677777,60644.657051877,74524.6469896558,92059.8632398594,69799.1649008159,88787.3236546931,86612.6380233803,80388.9947124114,71903.8547932483,76234.1712524565,84636.2622311033,82642.0125952809,70273.5008705687,88496.5313869789,95600.6575490038,85557.9408477268,67479.9699939953,82593.9281917481,71209.6067780264,87979.6129872589,83496.5235227766,88879.7940417615,80741.4807119034,82974.9637943305,94288.7376682448,71043.6299794108,87977.5144870281,88231.3778595138,75017.7774534559,75698.9949795477,86736.2852915964,84008.1003020239,84230.5262317646,79727.5412032244,84644.9488798073,83334.5302834373,79451.4864608758,73507.438505006,71506.0037272248,77103.084973784,82260.4160954378,78550.2086836402,82205.9662404556,90810.9546390433,85009.6217620111,75332.3870326884,90323.8548866007,79418.5650220128,93393.1030187777,74352.0363244009,96381.4650291799
"7",78888.3123627576,78888.3117544903,61751.3617618791,59933.6169570621,59350.5626633838,69794.8010873588,64230.8590011732,61808.5885670141,58565.2880836632,65719.6976660091,63635.5071453158,62696.0485243357,55131.5548638144,53907.2133739784,62507.97865808,61688.2568523463,63023.3456957292,57584.126025365,59224.3599442737,66761.9639335927,64947.2584630286,63686.0360270268,62395.676144731,64932.6093742604,64478.9096505726,69261.1000811716,56763.2135894507,56939.4095270371,57308.993723376,56396.4456836553,69381.6591285614,64442.8331253649,67494.3564848114,49365.2592389968,61412.6618875906,59202.6736632626,61546.7043933257,52849.9844391553,57169.2724913831,59335.3276870844,60094.5942224041,61607.0696152828,65176.0463436618,66199.2585723063,59169.5549958992,57087.3349483124,58436.8493928137,63500.2698364947,58843.7413855942,63458.5111591681,62106.5059235666,53668.0726119506,59750.5535218516,53539.6346151857,57544.0110888037,53207.2435756388,57755.0471335069,57962.1688583277,59904.1739790515,50508.9989412226,61016.1026408465,63490.2902680439,47026.3900067402,61441.1284145911,54635.1495866696,55814.9780959796,54839.0231882705,55161.3866589031,62864.5530367213,57855.8767682395,55008.1035751451,64246.1335176975,54274.8485474666,65324.3252049296,51542.4325981852,50565.3197899163,61308.7231598467,52138.3914890065,55226.6065792277,53397.3417210697,59767.8748081274,60923.511433763,55341.7280162296,53695.2223844346,60168.5989588561,50627.4495630137,58925.6883924941,49895.9971498111,50496.0046872881,54181.5050374734,63767.3878846418,51278.3083135581,51337.6092478391,64117.3144254511,63309.6621136362,54286.1959168178,56953.6562720586,55890.9287344669,55834.2490204747,60010.2676147824,41893.7801332919,51252.5545762738,63310.2561804751,48176.924076551,61049.3095749053,59656.3417111801,55390.3440141819,49558.2231814266,52477.0216243555,58243.0530412796,56921.0477515242,48454.6691364243,60852.8740889114,65800.1146597277,58968.8110042051,46559.0583327693,56803.3855655911,49094.5296530504,60504.0753357856,57521.8229050948,61180.2109196487,55642.5640317187,57129.3982882803,64875.8212927709,49038.7538143568,60501.7718482648,60759.0871557157,51725.9810761828,52126.464657614,59676.2061286146,57865.4332816635,58003.9857877796,54926.3537656269,58266.1969800235,57394.5583373511,54733.1833266688,50649.9942974074,49252.2447696899,53069.1713086214,56622.9537939948,54111.6951059292,56592.8292568468,62494.2318919104,58570.2854903292,51925.15682342,62127.2156449558,54745.2388867454,64245.8579165114,51296.3396543919,66263.9949898422
"8",42892.0845274178,42892.0841945043,34041.4512786933,32632.0653642106,32284.8000130716,37663.2417832586,35076.5877756223,33670.4798576378,31930.1579714113,35536.6213969019,34657.3825725104,34113.370093132,30181.2491837182,29341.4003449797,33751.4386569655,33564.5165328093,34229.6354008358,31457.3272934121,32154.7924341052,36093.9427313444,35363.3241585431,34660.4563568981,33959.8107273393,35234.8887454705,35070.5157446491,37527.328994917,31204.0340696504,30950.7833157766,31149.2623125731,30688.0510156887,37369.3180291591,35175.3665510019,36612.8860338606,27334.751202438,33058.3008713727,32251.7455816729,33398.980515432,28972.3065000625,30963.7324030777,32202.9536587777,32653.600946012,33455.1213665084,35339.7418697935,35965.8679037254,32362.5864894959,31093.9364779896,31735.2863511988,34387.8696298661,32121.677810864,34376.0613445721,33805.5561500214,29409.2497252685,32319.2225175146,29280.3848791528,31176.595739789,29048.1486807559,31276.9470927562,31509.7650581956,32517.4198959528,27718.432308558,32886.5609962047,34454.9938666774,26017.5765066487,33009.653719019,29894.0699505533,30313.3095232381,29843.1875351765,29982.6046209729,33970.0890524835,31594.7415356229,29984.7299109597,34678.7652146963,29783.2437783537,35214.055422971,28401.827391428,27516.2755731426,33041.0920863834,28600.1448012261,29940.9104037753,29083.0029255843,32322.2303404469,33094.4212108086,30241.9526056317,29238.0698509901,32537.3604425973,27787.8052003502,31810.1222811395,27376.5900112403,27436.669248667,29358.5823742526,34410.4104879968,28222.6588014705,27908.226263779,34512.8935435072,34446.6676718498,29761.3692533164,30891.4331827441,30417.8081698519,30358.7483306074,32514.1979810383,23272.3533516183,27607.4282548817,34095.8025512271,26608.9799689809,32838.9094096708,32476.3261396787,30231.9724269281,27103.0717130431,28451.3149113466,31510.6965051705,30985.6100419024,26575.4545235415,32746.5049455494,35643.9022730808,32248.8782596385,25651.0193126613,30602.5943673006,26905.2757386719,32583.9384073911,31358.7361028241,33163.7429053592,30404.8806892266,31019.9014559717,35062.7129132811,27095.8045872007,32579.4566128543,33030.6326620654,28369.8614890266,28328.6099501583,32240.7750872161,31512.7877678312,31532.9577308812,29947.6861131647,31588.0515054342,31230.2722696179,29831.0884742999,27649.3808768223,26815.9520597168,28749.7733755374,30690.2917803398,29490.0587562275,30701.741153449,33818.3007050092,31953.2226196924,28412.1981846762,33499.6019667228,29968.6787365099,34670.443530756,28245.006658433,35617.570867046
"9",22264.1850660675,22264.1848877739,18836.9606348963,17053.0638289906,16797.0168244179,18838.5374789919,18591.827724571,17639.3993390608,16793.7027350738,17957.256172853,18135.529340422,17770.2016169623,16180.9130887064,15309.6908142562,16933.2305450254,17482.9147339071,17676.3417551162,16699.7890280917,16576.1212369174,18223.084852789,18483.7995484789,18076.2330411947,17714.867146713,18116.0958294811,18236.4675962625,19153.5877518955,17050.8051399046,16047.0444905469,16143.7684979757,15991.7184447659,18512.7601108995,18601.8982126464,18794.3219731889,15424.8998451133,16329.6416979552,16898.0774334828,17175.7071880391,15632.2393423139,15773.6963714717,16570.5887258579,16899.0906049472,17263.1066842754,18101.7405215141,18601.1950935279,17277.8010268462,16278.0817105695,16379.9977260218,17505.8108543462,16993.3285908205,17526.9823114893,17642.1563846124,15839.4469355549,16357.3895085461,15624.9182548794,15906.947466456,15375.6299925822,15923.0469329745,16344.2663355843,16746.8151647358,15028.7192995573,16350.0656782426,17721.902578627,14627.4221943602,16144.0857043472,15988.4863297629,15650.8154964163,15557.9543596899,15540.7246939125,17108.6474038713,16745.2075211218,15755.5041175668,17370.3077804211,16143.6623378288,17520.936130572,15687.0837052911,14342.0964405163,16418.7680933461,15475.8046025173,15326.3134514138,15222.4995467685,16342.8585597047,17103.1991854924,16078.4990937163,15285.8549731716,16447.659947481,15077.104952092,15941.6250703869,14829.839267009,14195.9420133835,14988.6925462871,17210.8016030959,15505.2061010886,14475.6747353974,17044.6336845012,17942.228798785,16062.316632778,15848.4853107505,15862.9401793931,15761.7286093085,16592.9043276254,13315.9353038297,13683.3129132333,16882.3039154807,14848.9422661717,16161.1523144583,16959.4472353117,15982.3279010478,14463.3611596202,14566.4925396862,15965.3579525172,16176.9354429688,14370.4105158037,16149.1067154541,18171.6452959956,17207.3326437618,14156.1289530933,15180.8328862426,14496.306775369,16132.3990433254,16486.7384678673,16963.6915592517,16161.4476662572,15997.4109601096,17673.4989089855,15147.2842596104,16122.0868527282,17134.0477998423,15341.2527842597,14672.5455991644,16221.5286226431,16484.8284611838,16357.5150037212,15754.7273549829,16167.4790683991,16271.9922904997,15665.2961216136,14628.702916002,14012.4762425393,14662.6336959814,15690.6085108096,15480.4239984418,15766.1793808553,17153.7097949393,16856.4479730472,15198.407109868,16690.5504742,16064.1351878826,17345.6113990073,15548.1616582407,17461.9912225463
"10",17113.3000064946,17113.2998612848,16214.2310646071,13279.3073881194,12968.7872820887,13422.2043062847,14861.5949214271,13799.6133015904,13235.1014183695,13075.9895363364,14156.1171804393,13752.5730812825,13202.7032382115,11886.1927256848,12143.92799979,13527.4953466261,13451.0282716741,13387.991399399,12571.1108633457,13245.1084310248,14396.7778971456,14020.5796461179,13746.2278189787,13667.0611306456,14065.2118093164,14237.765353509,14375.0671489669,12307.4974137667,12371.6394445098,12384.6588598099,12914.2486654501,14807.8990231895,14133.5169974533,13694.2866864659,11318.5466183037,13221.3605173912,12963.0147280539,12898.0179261811,11680.6631673156,12520.8155350816,12914.1132206323,13116.6283403676,13553.5635147211,14196.7478541283,13993.0736694502,12717.7908236213,12452.3050939216,12944.0763244947,13537.0809556707,13001.3420796163,13700.8978746221,13028.3878022806,11950.9905917004,12643.4548505539,11816.7704011937,12260.5333229376,11775.5026819659,12545.3531667106,12675.8704128184,12504.5394926483,11496.6118819791,13379.1010802316,12912.1781258245,10937.4301384111,12989.3104342752,11905.4189205839,12058.3033513282,11911.968546858,12370.7440051018,13383.9592405318,12395.0710650841,12414.1550806448,13425.2300241088,12341.2134047689,13461.5059897192,11112.7989767384,11531.7464824786,12831.8702442584,11461.0437042628,11888.2720420065,11915.4636219761,13033.9787843883,12924.7001694111,11912.0579894885,11985.7906211829,12559.8387208862,11406.1972543072,12319.3720450781,10844.2554667045,11148.3198028875,12261.0754318514,13189.6461632425,11111.4835426779,11807.3746801401,13882.3740342352,13259.2856810221,11905.1908166351,12302.6172914685,12120.1513977793,12331.1955115675,12072.7539072606,9556.70235893209,11762.547757154,12954.7377297194,11107.6413108369,13186.3886723249,12715.6401605096,11704.6567953366,10896.6960797741,11690.0373567283,12572.419637441,11902.0625166753,11151.3550929383,13475.7558595014,13921.6377875481,12132.6281145372,10622.3387560233,11930.698357371,11239.1078347596,12982.85611308,12666.3991658579,12985.8766319367,12141.7340354121,12801.4146123698,13252.2084251442,11219.833882458,13152.4626900953,12706.804589325,11230.8448660325,11704.5030402558,12859.8925154129,12557.7561453931,12421.5725328156,12086.6451504957,12598.14164874,12309.9118129228,11655.8232891922,10909.2095125143,10882.8958894973,11703.4914787347,12155.8457856547,11865.5332622444,12589.4134889564,13358.2946651191,12352.17813446,11791.2602979957,13102.6409671865,12365.1741756342,13269.2904813952,11896.9764620251
