"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150"
"1",40344814.1809491,28307716.3982901,32330846.7684248,33112792.9406674,31966359.3319638,36632985.8625156,38961853.1155586,38506279.1755157,31397658.836298,33402355.9953583,39115982.3416546,26566192.3083575,26093333.9529414,33729891.7621817,21070696.1043739,38382795.256408,33358712.8284792,28305559.3762387,38474082.4943671,37534148.5574049,39862667.3738141,36320316.4614318,35756560.6655353,37963051.1357223,37014002.6015706,37168131.3743058,31932023.7819848,39313579.9814554,39237823.0156687,36932447.4279191,39693725.9695237,27425130.2540077,37999297.481297,28572123.0823049,26958070.7673984,18918162.4570106,15749881.4658685,32433929.5612506,37030298.6976564,32291140.8816199,23564885.7953126,35964360.5569354,24320348.3298969,26333317.3718499,20323268.3469205,23369306.9588069,33143871.213029,29820049.9881761,26099136.7807566,33479412.5263183,20293888.1373139,37525014.0299081,13749747.2037977,31629614.9473391,20106892.7137312,15425558.5762569,36975439.4786366,36354505.1101752,29505163.9016656,32123743.4088139,32634683.9862585,13038314.5398607,17928963.5663303,22694830.2367753,35247448.6148092,34738025.0230415,28074366.936165,38623316.435752,25725528.8995945,39081674.6978701,30717494.7442949,31119125.0993728,38698852.4549072,12812006.2570851,27704353.711676,33164808.3917815,21127080.0213768,21431194.8011376,28008337.8510163,29041070.2951002,12126774.5532132,32949510.1683183,30768920.2429803,22086061.9056907,27665322.1382504,20785611.5308177,25786516.3602174,25163891.1191076,29699658.1952445,27188740.646807,18127280.5426696,18980737.0279362,23082765.4461424,15643759.925832,24673056.6728599,25886149.431253,30199693.5388739,27767605.2296038,21544331.815161,11484868.0054234,10357958.9481257,33895127.7616052,11646857.8330751,29922171.60575,15205050.7593329,19908160.9065255,12977916.2570372,35659749.6459996,23397173.268063,19512378.1214828,10295797.9354541,28313495.2947284,21577941.0777942,38129174.5499378,35143212.1113813,25270475.0827864,22801626.9506468,31483945.9767237,23507105.8820996,27219684.4345156,25961258.3331884,19318034.4227166,27494179.9777836,38093441.4011447,35316182.8545898,29974437.9520294,18485753.014027,21892971.9548757,35138027.5929219,32401473.2590146,24664913.4569321,35530025.1396813,24119506.1015817,34483867.3587424,25305889.501537,18281548.9471071,38393429.3285018,34392731.6742972,35915283.8500908,37705888.3148172,27625084.2620877,14491551.2113214,29557969.6623156,19390387.8759152,38163687.5814611,32663321.2282791,39119216.1421627,31196626.7078737,39423818.7091456,35112688.004849
"2",40344814.1809491,21609040.4880464,38061682.6258327,10935096.319774,28970363.3400611,31071461.0096928,36128745.2440236,34659283.3741785,37586059.8547372,30080392.7307119,20345523.7297038,23160785.8973972,32091033.4186056,38151577.8077398,39039921.3526417,26574130.7414035,28452923.7204809,19208692.998474,19368672.1729553,30422551.274938,36007791.4644521,38117984.1177397,31082355.6852324,26934873.7717545,38454222.735907,36836562.3446552,34787685.4618343,37761228.0121855,31182405.437161,31654289.6381507,26436410.9465589,35402946.4461085,28739509.0262029,29980373.4633382,39061527.787936,35885314.5910738,18717588.019964,14666614.7283221,19540062.2407325,27543014.9671265,23306699.5609629,26169752.2433788,16419649.6098867,22318635.7032844,38119116.180143,8678216.24236114,37061969.1828711,14502527.9545521,33238149.8266011,38972622.2502059,16029137.8324069,27173264.2514347,36133968.4180673,25841281.7127833,20436013.9387829,38494989.6517592,17939520.0872671,11605744.5763594,37570018.6873721,30619989.815165,24790840.2788521,34198617.9899747,18257077.3623498,15359283.7485303,13353868.717993,19404308.7248293,31021911.7119091,37906591.5482272,30990226.8443726,39188324.3850641,39703763.252471,15715716.0008724,30676359.239856,38375385.1550389,18401826.3657739,22295482.798243,24835258.0474469,22404068.6754293,23359170.0702328,35583911.4925072,34589662.9531386,26148625.473514,33295160.9114525,31243989.3707525,31100369.5949719,30638393.2119155,19330825.728577,24471065.0004085,24982056.2144933,38292270.3788701,17014097.9378876,36702492.0969104,35165403.3011157,29747861.7395891,8195943.38264694,37870626.1577474,28453723.9047528,33690148.4002699,31131116.8243188,22578579.9090356,36413921.2138752,37173231.0434145,36975174.2089418,36860870.4954239,18286835.5654955,32356558.6552414,39076727.1194494,16880523.4040247,37286665.5803012,26070886.9729613,30445108.6826644,38605727.7008273,27543674.8681466,15770175.2004967,38081858.3549915,32999385.3497813,21776846.6382422,38165914.495853,37027441.2663779,19854227.6005503,35843290.4191524,33470363.8699861,30110942.2699681,27258148.0558717,26325208.1240874,11442850.1353469,25741241.6301458,30816709.7396469,32650912.6574306,18399804.6932513,34065228.3390504,33042824.4510601,28890158.3613217,31025514.6197423,29439606.2436118,36400350.5350901,25090908.5814803,20304914.5522862,38372187.7398596,30798894.425107,20685223.4794959,28977965.9019019,36226645.5299653,25763284.1649829,35456339.6059563,22985213.8389465,36172293.5378217,28146019.6216286,35947130.919433,12511265.8363712
"3",40344814.1809491,36228293.5930943,39542503.1441711,39870167.9681245,40408439.4408545,25541328.821804,39477146.2553667,26120443.281573,34001644.5045937,30369353.6050032,28707389.8307465,15898453.8317314,17051155.4812291,36712257.8704321,16941050.7016495,25711307.0118907,36623634.7916119,31562122.0618782,31807284.8539057,39176002.3404866,25586349.0941941,37821922.9439438,38548348.2050952,38770833.2174345,28768430.4750931,32169913.0681469,23571287.5159081,13431551.1615541,37174029.137699,37194064.2197017,38847416.3084782,37809643.5817775,29298612.1836438,30234514.8461876,39412941.9972972,38396052.1867045,38603431.8246872,39061823.4964564,27322544.8263867,34697662.1623435,31442065.0345901,38675539.0190758,39987393.9166901,30187111.651763,39484230.444983,37623202.6795776,31582946.3945512,39753488.6290541,38612799.9438125,19373372.828783,34837704.8275332,26034073.5527157,27892877.381438,15987394.2747684,33073269.3076881,23183144.472081,24487146.1516828,28938014.6892719,22076478.9613986,33284925.0054535,33121581.5477027,25446519.5278333,31513723.3288339,27353731.12005,38791090.8995251,27250578.6029126,37195935.3574253,38116186.3825523,27446642.3685104,9154467.71068141,26632108.3576854,33034261.3006729,35943796.1102932,26480265.4556841,30369437.9891678,34181413.7720525,39420459.4880608,18704660.8864959,30269535.979153,26032178.9807015,32616612.2212736,38948701.6490489,16285519.8126441,27905282.2291797,35333625.2759935,29129251.2745213,12845249.9965418,22535054.7479732,34878527.7161136,28610591.1680364,37211563.7676308,27221461.1416254,32345832.91607,19654077.123549,34862667.4326307,31336940.2263509,16025716.0089775,31081110.5768493,26102317.112574,17546023.9355071,30904335.348267,38361219.9808647,36804255.9270204,38199604.3414961,34226612.3953436,26364089.0495811,27033353.1555933,23545395.5970486,25668240.7316501,35726866.3429611,21140401.5934532,33316478.7546382,35619240.1845964,30488204.3465182,18002599.1277174,31328134.5782754,26311491.9889233,19814403.8346364,33735332.0577754,30685695.2697723,32487800.1297297,36466368.871492,25497979.0317914,19008782.1823353,28473514.4154346,36384170.1435011,38428951.620027,25731576.8721263,24265058.7084448,20474872.343708,36478918.3240691,39333587.4135957,38162349.0439233,35444938.980585,39533222.3670474,36879981.155512,23214469.2698976,34834636.891758,26009158.540868,39206647.8858773,32483326.4795111,37277742.312203,38949119.7466211,31930426.5965594,26731569.8789237,36207973.6065508,38681398.1336399,39988225.7975658,28216785.7639859,26684228.2006284
"4",40344814.1809491,39613119.1265476,14719917.5667284,36756445.2864976,36520101.0102131,37874467.0500737,25489451.1117084,34211834.2951432,38245415.8147838,38387175.2998785,32332095.0687499,24065004.0135278,37859318.6538729,31226954.8773225,38908272.5347432,32902009.4429246,22266231.0712664,38203649.8349794,39169844.3465469,22776897.9514892,38562286.9191567,17730492.2091782,37784767.2866812,39448190.8769798,38431960.989422,18145080.0679001,20075900.1957211,13051822.7860383,21334387.527344,36255115.1856505,29235300.9500892,37070134.2785974,23117308.7905229,19614318.7031752,27190256.0207078,19761507.618739,12134634.649733,29866243.8782654,30945829.2984891,36124710.1852389,37956264.508988,35004318.9449148,34811894.5416465,32981125.1584028,26044300.5905873,28309566.6876186,24896887.7336356,34398405.6236115,33414767.6192611,29821345.6634955,24540252.6181699,9380045.10816845,32245123.8981427,22769106.1983482,36498258.8672278,30475742.0620213,38756618.1248823,32642533.114846,22071589.1170447,29657434.9840465,33874132.6625938,36822639.995356,37757068.5349264,27879214.5452318,19432728.4307849,21199759.925317,36107410.658074,32417714.2887212,29730904.4232807,21337464.6970119,37199299.9397017,27788796.59749,38902196.5690777,24389202.2795961,11300638.4112755,33076292.066776,31019066.1173071,27730134.4490401,30673215.4706074,33251827.1933404,21397531.5530255,16324200.8100679,15802784.1177725,37702556.8330905,27193549.173237,31393310.7993499,16354683.2365242,31971352.9598307,21812340.0059879,23505625.701627,24122641.2502377,24202163.8878091,22666170.8540538,28252311.2654869,35126415.9115535,19697933.0049321,21791555.4165797,18101144.4838945,20435795.3690249,19284505.2346658,17857594.2068237,15343386.9319359,29781368.5155452,38261213.554444,38915270.4490447,16542672.8585775,17080848.1909471,29159516.1957159,37098249.7285657,30799859.5264883,23551644.4068461,14804380.5892654,38141915.9533905,33042990.1615073,19540768.9408954,32119764.9161217,23112800.0469469,16413933.8082722,28053096.8645189,37750599.7691261,19630325.441627,32255920.4638604,38885179.949552,30400141.7230145,14880590.6672836,26753115.1911687,13392621.4756304,29167728.9873749,17991059.7484365,33152787.8400157,33094242.6814366,14350328.4001869,36388438.2603809,33892411.3675112,27889134.6498997,29312719.7087368,12385273.7281193,14162201.8387467,28855537.8036652,16762205.8208932,18360650.513556,26632487.1484442,36059251.4171473,23117329.8881451,36648943.9807302,13936763.8192336,29081620.3627885,19458835.0315261,31383864.9746695,20388011.1417473
"5",40344814.1809491,40257931.8514358,36553281.0018131,40274011.3510772,40374525.5024445,37800364.7713259,37669647.0348055,29888114.8817971,27363539.0633278,37577321.2242211,36269789.2945618,33281312.0679275,24921014.4488386,22498064.4002896,35752175.6039158,33318767.7774139,15082475.9925051,29744881.9662556,36372331.0895098,39253509.778502,21624823.2667448,38452504.1372911,37968377.2788409,27442786.4645516,36383855.8773879,25788212.7169538,26158462.5896222,39058610.3341239,30928087.6533351,38150710.248801,39851902.6726301,39064472.5375448,18928802.3426402,35156612.0052986,16636634.2279481,23307394.7807514,24470462.2735144,22799513.973516,21513510.1747788,38178580.951305,33142621.7692544,39116122.9630379,34817472.8655541,16572096.915569,29409791.1198458,38580987.7188169,30039249.2382227,32437098.0803366,34463047.7054098,17263639.5697342,38204842.8570549,22439967.4055657,37882556.9340143,18721158.5707826,27726236.166341,17325022.7788772,37939212.5208115,28668096.7696257,34269739.0533386,36457669.6356972,34862219.222901,26561941.3070225,18579502.7771658,29341219.1383898,30655281.7594311,35751126.5403796,15586854.753147,32010256.3755075,20181991.2792133,16559125.0824367,22343760.0032424,30535146.6410546,27431776.3522645,15295824.554971,22202364.2843825,28224892.0922532,18258845.6578342,25608156.9798414,24520087.3882589,38025320.0843473,23902834.7824942,27325433.2591871,17409569.5776125,27764242.3851733,31106646.365337,34735037.4838341,17449964.2809148,18776864.4224664,22173504.7202463,36306421.0336031,16185031.0180927,38261357.9163115,35058350.3638016,37293411.2370009,31123080.612459,24244322.4896519,19734502.9299719,25693209.7065227,35876072.2953904,22060830.0278417,29567703.6849621,38934138.0938483,30985825.5887915,21175851.2950085,27328053.568184,30532578.120509,31361425.5482187,13784288.6813314,27530190.0107198,37245601.6906126,35677439.268748,35189117.288635,33619725.4696646,27805227.6450423,24900322.4507712,31502150.688221,38522924.7009711,30922662.2115052,17829071.9840017,38560995.2521192,32317221.3987245,22285363.6211058,30059902.7264544,29689766.3135522,24620625.028221,25902596.6220839,27020120.6430631,35973837.7643236,34331899.597452,32918746.9175249,23189925.0481641,26874218.8662581,25948760.503136,19598634.1708667,38187409.4631456,15765083.664508,7106318.99066527,34898714.6478309,25771451.8648129,34484723.2625961,32937786.5285557,36917794.8733053,14077659.1293025,27333099.7536418,26459131.9442526,33718971.9806622,27897248.1755995,16235041.3896018,28900651.6195814,24568376.8527703
"6",40344814.1809491,32751116.520141,38873882.4977088,40155240.7747865,38839767.7873911,39608345.6504697,30599266.9075487,29513214.0999998,37830651.2165764,36040828.8563804,30833391.0448234,34174111.564733,39668291.6827639,34450329.8542037,39324601.668512,27683636.8252089,36031045.6042089,39333479.6596195,39196293.9675518,39334650.277873,40012494.1571636,33391877.6397047,32440009.7239186,39292029.2560789,39030975.5105918,35200443.8435827,34763094.2240157,32031760.8228315,31390369.7241244,38899440.1550031,35682321.8221136,34088362.6594151,20136356.1000937,30962864.962002,39012999.7521103,37444269.1609333,39562366.4912951,26541330.8457199,33367465.4515042,25129630.072929,38989672.2765028,30022020.2403334,38679192.0370622,31148636.3998079,37003980.6192396,22194582.7859953,38491342.3627664,31776812.9630157,36249581.6710767,39534298.9673458,27919256.1343641,36993681.6209123,31714183.9211824,39308673.8055739,31805294.1204211,32810974.856685,35086348.2715176,32835322.0540631,30478198.2794702,34504230.6997487,24431921.9490294,14519382.3070962,38343070.0705697,39338426.5150801,37105585.2179548,32362790.5903076,18274772.6957252,36065502.2294367,36333239.9455491,34618712.1696454,32081658.1604571,22655141.9506784,34864175.5842495,31256431.7602675,37396830.932796,36038519.2639108,39274330.1705292,36670175.3698597,23063114.0140497,34504230.9910936,36759950.994042,30848976.5891347,18579389.5129367,38297056.2244028,38852458.8700854,26838337.5147712,38342569.8643639,37422529.407912,28316783.7726569,37656906.1138857,25963787.3246258,14514350.2154932,32969716.8699084,39202766.2194478,24586849.6457505,18910682.961611,37882787.9084711,20548381.6215992,23681206.0253895,33819653.1898426,31680149.4235881,36920052.3749978,20914716.968336,16148429.6247057,33411912.775222,23241915.6864118,25692262.6921548,31224917.2186747,20824542.4260921,25071125.5881426,13155647.5845511,28747953.2577256,25342046.5554714,38470380.6181748,11568151.1825113,14363652.8815585,37346027.3016221,35963946.3985524,31458056.6930409,38555957.322966,24651142.9917133,39013736.7965634,37639391.9971256,26561418.0648959,35124410.1562269,38969726.3927281,26228612.4352139,26129779.2789887,38477190.4996052,39231483.5090345,23261489.5075717,17241787.9948087,15836705.148638,38206235.7743413,33850768.0134091,17560618.5469074,24525543.9303528,34981985.0848527,20986065.5733684,8797938.25880688,37623227.4802538,26735564.0034934,15491563.720548,32739193.6099799,23452809.3169416,18845383.9760909,17546000.1749877,11144982.7113264,37117838.1761273,15929149.343029
"7",40344814.1809491,33512403.8088235,39890985.8863455,36290075.5476145,29680702.5770878,39280156.8981669,32739866.0007449,30395247.2516683,20012409.9001098,35617127.8257959,26067699.1594655,32568702.7266795,29199784.0492104,28811906.7089121,35103958.7432028,34683024.6900651,39267089.9901334,25846744.6075422,29223596.9675373,30934682.8060581,17102232.2159791,34573573.3227762,30816076.1662824,30947066.2917462,33214145.0187665,19865242.975237,37359673.0762448,28667326.961355,29106399.9007356,37890786.9984587,37088556.7123942,21225799.7229746,37240881.6293628,39561965.0596608,37208876.0238129,38239963.9557901,29589921.9882932,38664296.5884503,23119456.0605108,33511656.3385575,39354230.1730294,33000102.2802489,36942713.9973509,38034022.4041852,23748416.5255736,32780436.9403966,34633754.4654799,19077165.9737833,38785455.5841912,37468948.6730687,32502520.3355682,37744995.572745,27066115.5911279,36467402.0169197,29857872.3387722,37424879.656419,27814061.3110422,39153313.6922468,25724919.6375473,32686532.5267072,29484978.5067048,36841013.3587743,39660646.8547642,32358231.0091987,20013820.5912142,36667210.1188943,34031854.0686554,19064595.5501996,31319635.8152802,38837478.3928964,38116381.259795,22177418.2683462,24095977.0871307,29628129.5882442,24326669.889731,38208056.775215,24811529.5905812,28159956.1082053,15939213.1404795,17214466.1747494,38158505.7317631,34112592.2146235,39343394.6722807,20776731.2999929,9709520.95117346,35390872.632515,39012945.6534525,23621355.243874,26828616.4930105,34178267.7129869,30856408.3172857,25382255.0172536,35223420.4663209,37250742.6459966,21304878.1528622,27231512.2470102,23732275.2114528,38040318.7773393,33844805.0674897,26214259.9787403,19996584.309793,24051140.6327516,29185929.4937555,31440154.1734319,38964814.2171797,28652969.2901099,27214933.8305358,15820827.8341345,28477598.5071097,19104260.7728933,18882551.4483573,36045881.7704573,39167847.3044444,18907417.9543849,29292527.0944777,38435771.6753155,25970338.7754293,23231596.741576,34101905.4858802,30983840.7171694,37697661.0061495,36953790.995362,29770753.419014,21592645.1322075,33646265.3159385,38726518.0436553,39819872.7488108,19715786.7905144,29025966.576847,38302711.2176197,33129653.326343,37079366.5554411,35330391.0809266,26399047.2261011,17487982.5533347,17717325.7725008,29416048.4402974,17902082.6506262,23218579.5084807,25248818.3013259,32634252.1549111,33501154.3578252,29088167.0629397,17887248.3877185,33274017.5462502,32259813.1336002,31726427.36474,15589053.7008633,38310453.6916087,27641413.1979486
"8",40344814.1809491,31482952.3712596,12211528.5755347,25096971.3065977,37916913.6851495,31557357.0938261,21137975.501323,31482084.8582609,31561699.7250042,27851542.9101061,32105871.4489367,37440482.5346419,35688778.4570137,28178959.2890949,37161632.3185196,29628078.4854679,39071829.8318015,36324825.4420052,39762823.8980142,37032218.8232352,38699790.4483995,32125322.879098,24397064.8344434,21126942.4314787,36078404.792734,32713599.8460694,39095731.3421411,30103441.4432602,24125069.9531304,38269297.7575514,38915644.5747373,39478048.7465986,11591977.5460465,27841218.230748,37043845.0692967,36013704.0981008,30448119.2442773,31993670.0827698,38814803.5786111,39510142.6382542,24104866.4619485,31011558.6335796,35753772.1571644,36056164.2501447,37408306.9337427,39776218.9840425,33253800.7469003,39121304.1956933,33005957.2674355,25228120.4911092,6352121.25713852,30031644.1464716,30392869.2556077,37812615.4175592,20666507.54355,28487588.9487416,14676005.3436941,28586855.0410045,23195312.6764006,20128248.373378,35621139.6333087,19717350.4517291,31887253.2294915,25614535.9919369,29575170.8376833,36428042.9590025,30664775.1004322,25818374.8633633,38906162.6134525,39633562.8814959,23746414.7454566,37319346.2961375,39723083.8099512,38584314.9921402,39556382.1845109,29827943.2565325,32912081.7759998,38106165.4316077,31103355.3411629,14452080.4310014,37777766.0540654,16828007.1901536,37481271.6843325,34584761.9742884,25011173.6325576,38360452.8554265,39673351.6389786,20598765.17917,26671305.4640363,35731410.6685062,26230817.0948954,19219667.9574743,32790654.5649351,38982526.5082867,38651969.6807221,38404016.2864762,39966661.9333197,32831248.3509495,37844330.9333172,17210731.8451726,22539621.2582316,37038172.0389173,9697626.79027648,36212160.3756119,39259650.1112979,38712110.9382588,30249146.2052079,33829906.5688983,28024421.0575268,25605500.3273169,38411032.3244284,26259635.1361033,32134582.5240255,32967938.1122023,14522853.803843,15445270.7530925,32587882.4807921,34907166.0843279,37213767.3480619,31199442.4720853,29396943.3025786,21988495.8518069,36677265.8629619,12432375.5133611,38023108.9164027,23223865.2170287,11889006.8271922,20442640.2484226,25657534.8482029,23844384.5530015,37951131.1810564,16944917.0673956,19021511.2312395,22301952.6010914,21207368.0533489,34184115.1565011,30931333.1327707,21544994.3482215,36940037.9533016,27082172.1743672,20716399.9463089,37490422.5642753,34572748.2340506,18519608.0535433,32222568.6635954,30984309.5745456,31577198.986115,34322925.2367689,22009010.4280185,38191360.8413057
"9",40344814.1809491,23688542.9254245,21120674.4367168,19237257.8560782,31740488.3263966,23766114.7716618,38182852.6254168,24692396.4612169,37660557.1430502,31982854.5429292,38704836.9569353,26298544.7358969,20979336.5041563,37032074.6016604,35774648.0461378,34414873.9586815,24606488.4785747,28734326.4854857,35253114.8661433,16927767.5318409,35000175.6737365,36905963.2021512,25396559.6278154,31971644.5656948,36962081.2728351,32722409.7603425,26955575.2254082,34218361.259656,25511327.6628987,20784196.4160754,28611531.433236,37138789.3607527,15447330.8391641,33516748.7847344,16890352.6672915,26851648.4378986,38737754.1364368,20992104.1257357,38576798.4452315,12879185.1526603,33087418.5346269,24832388.5909906,38757265.9337054,32342030.4117708,21362632.3422535,35704036.8506248,28251987.5398482,29349280.4274056,23148907.7789822,38458752.2459108,39515435.5737836,38824897.6924302,15678632.1302524,28867702.9429337,29724694.609873,38856571.9627391,30368381.9609645,29451388.0807477,20949556.0574709,38759113.7444963,38635279.5569888,22196517.9192752,38904005.4041527,38942438.6876583,24663912.2396521,26007060.9543838,24452458.1271644,20612505.0716945,22198608.4682143,32599743.0204175,36551294.953967,34939475.0524458,25731301.2257249,32008193.0014276,23757203.4840992,27431146.5271139,23526483.5593347,38750938.3965151,28919237.9071106,39236504.6655478,32913574.0932712,27348220.235763,38844857.1171384,34228630.7086645,22424438.5742011,17514336.3104769,27005417.7315265,35328202.3825211,32242220.9546119,33011905.2677304,39236819.6091349,23632139.3817066,34199705.6951821,38867631.3617634,34117870.209706,38579771.1103814,33379767.2502822,18666494.214995,35121788.7779253,17129818.7085016,37347530.9768674,32296718.6697025,28086891.6594478,23967751.7765646,20532516.6730122,36459021.4147782,20042216.8345968,29979834.6572694,29285203.1833614,31426345.4016949,23679046.0756342,36980533.0910927,38703986.7304056,39054902.9362924,24445690.8039692,33560761.265803,10796757.978937,38081655.5699506,36403842.1465529,22729092.7447852,11796587.6644284,22441171.9496167,38344040.9288459,29900361.1708004,37121575.3657112,39594767.0143411,28291326.0883866,38697230.5278378,25780874.2899661,33232096.6022883,29306451.9919327,30384571.1541399,36803411.6370318,31719460.1903847,20728538.4954761,34555208.3628305,39235743.0541689,39113332.1920148,20946378.1892039,34990791.6893408,37856126.3518494,35322769.2268205,29150618.0326863,39377684.4123664,39457738.9766508,27282517.8804237,39181408.3083113,34419942.2433845,38704899.747296,36376382.3183337
"10",40344814.1809491,38433995.0723915,40330026.7599754,27060047.6278807,38234416.3834408,27852497.5756203,18728665.0801979,23962181.0641452,38864284.560226,24778423.7058787,37150668.8567802,33617995.2840251,16033315.3751417,26536444.8359438,15874946.6997253,37920877.8361659,22256003.9300871,26097676.3018084,28798249.7705508,37510289.3988194,33022343.4031077,14132423.7605348,36603217.4850085,35358237.1892574,26683923.1971121,25057316.0219996,19393919.5345574,27222668.967856,20307835.5979457,32508311.1355264,14534784.674544,33954154.7242218,38948525.252867,36728789.1289209,23998141.3853739,39015725.5028746,26896424.2474699,35558812.5155137,32347038.9941431,26619697.587507,28717768.7645407,36531210.5519523,35556897.1742759,39031550.7714071,21475802.8424792,32561813.0559333,31025330.1137632,32126685.3095167,25553886.2940689,37682099.9465921,38922108.5399449,38582798.0206454,24469982.4194477,36630975.3512024,24850339.4393279,31866112.6098325,31847778.2820236,36672537.2570677,17098847.7755555,20329012.8726707,33945311.4406814,18740157.6465749,37218448.5273732,22410368.2908389,36925053.0881874,11491372.5370754,27059946.6250133,36625789.3177332,33503854.1381866,12010721.5826357,36998587.7219285,25543574.9686387,33221766.9504303,20105291.7673515,27102082.2462456,27126611.2075727,14776939.8310499,24917900.6469189,38490891.8413907,35393758.1296022,38997591.0233322,33933398.8156331,28610623.040003,30441179.9398913,14648072.4048048,34052618.2420553,23387913.5515032,20334525.0037502,28734552.9633279,25754796.5385768,31143803.0546002,36354686.0522653,38152004.8903231,35761562.3690258,28091413.7406121,29086653.1998529,35349110.4835932,39591517.779377,39198485.8102608,36347636.9596029,25487954.422309,23245966.3179149,17498041.0010125,35251919.1471415,37114943.9052863,31678440.7618376,26660969.9720824,39143584.7737537,37520266.9556619,39802020.998437,36980947.5684934,28215276.3735489,39149024.6942925,27440368.1307492,29790221.9654578,33632329.8098843,15674704.6171416,36067417.7461708,14227885.8438242,32639086.1301472,36303994.9357335,27803489.7500327,32662921.7161487,22375081.8780767,32766197.4049996,38031570.5251904,39422731.6833107,20153571.5981866,38927385.6001087,23478414.1907385,21017748.5468735,31570991.3006686,36329226.2629794,20343639.8967746,27740131.1626939,21628306.6441944,24443288.0213816,18977309.7543316,30570602.6980083,22023718.9248923,27173018.5611055,37979054.4009222,36016131.1250929,32896952.4053405,21772622.6024129,33137791.2806065,33026861.1828562,36769846.4644818,32760340.4469956,18723379.5084992
