"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150"
"1",1285307.93626493,1285307.90586908,1281818.76972294,1252711.8075654,1219402.33715321,1182779.5432374,1151296.28743337,1136717.50165393,1137536.61622822,1145812.05079207,1142523.09258752,1137157.21408948,1135580.04930248,1112641.33391897,1083089.32163033,1057783.44077155,1018129.2345704,1012118.10028976,1008610.23406228,1008838.74855006,1025276.43808501,1046397.12894601,1077520.39045916,1101614.47361258,1119890.83521314,1134263.11215537,1143781.09833765,1150770.80607646,1146429.4655392,1151294.57071285,1158140.94211069,1166438.98105499,1175984.30013394,1161358.73488527,1153978.39741468,1125927.34645704,1090395.78971507,1030391.31146757,960316.155020195,923824.421917785,919859.716703814,932465.327477183,936341.614570426,950902.056696262,942090.692473559,930460.818851931,900684.530608896,874436.936661708,868958.429976822,871813.80040354,878526.651106463,893530.008992459,887345.991035779,901369.297111757,875663.467350323,872656.084141795,844381.369845298,812486.375194412,818537.089756832,843458.85752695,875068.638827351,907289.319550986,927955.839251525,901434.381037116,861332.599671865,823432.369037084,822973.543144108,844847.739508268,872222.513373722,913729.120914052,931404.27196337,964514.206213765,979880.416289474,994968.489237898,1010407.98989922,976987.705530234,954164.523229448,935141.054068611,908232.462359335,882007.971823913,865668.841490921,855415.750055009,823099.88114011,823369.944735131,827497.736075389,828651.113024333,833043.654603839,821810.035299907,815658.79933767,809338.028194136,817236.795148336,823561.783982875,811076.775426224,789122.44370489,765986.234381509,734590.628094875,722797.544663476,723749.873002894,745132.744335299,768149.488134152,775164.883434579,747782.399002902,703659.11364988,693936.065168131,668181.162862781,680750.362484932,670596.666196583,665494.999162344,645852.251710181,668213.89127186,684355.460565517,694676.356231192,676659.448036221,677267.308986706,677726.818384269,723106.267331544,777013.227498784,815823.150716763,833220.121155332,847350.466677845,845322.788319368,846949.456468524,842260.855311161,825262.713210242,821256.988303425,844808.82750435,881156.773792405,910000.015539804,904152.850914498,885366.067179607,883662.430419673,890906.92845685,896942.620197647,915998.445148397,915544.179680235,928308.092969479,921152.251917552,901019.290454527,908869.822001328,923580.243739201,956393.426385013,992004.868741042,1001350.74529771,970046.078792004,941136.620390214,898918.643379172,900620.658370267,912960.574543104,950986.249500752,979116.091606141
"2",1285307.93626493,1285307.90586908,1279877.07134569,1237525.90901685,1203093.1158657,1117508.4938266,1058802.95445113,1013694.18787042,1004358.82842041,1012628.33574174,1034150.40578144,1039861.2218778,1015241.29956131,979875.835274181,959040.277910059,966189.38936197,992255.350250668,1002362.5609254,1000009.52927634,964035.771409497,918805.3096254,894336.75290105,899748.004295889,929987.036689642,955744.474914694,969288.305397736,992332.628074002,1014830.75303013,1038961.61038666,1063532.34463477,1070999.60423668,1068248.56009104,1048937.03638731,1040968.85705542,1025208.28817933,1016718.11751563,1026790.39466385,1036718.01701098,1012567.03062901,959345.981425999,898541.488753218,856239.997899339,826542.644497906,813950.817069027,788734.454686927,774485.853132627,787347.371695315,767643.873521039,788332.746440867,772251.441225512,793298.739544304,825499.808261439,830141.893846164,842221.223768969,859772.004510271,866644.410226047,863140.860515203,879992.763573193,861444.387949852,826422.699941925,825761.761978926,830992.066749368,843075.095888908,865158.116667519,854383.461776227,821620.288409545,768509.132297646,727608.257044323,724324.179056412,760158.838978842,808017.121992361,873954.328052777,932124.038555584,938666.911503043,946113.533018735,953751.180447174,933093.097337148,908637.148784901,878942.51806443,849027.586378517,828395.072930259,840458.879905323,866592.281189159,886647.560662443,911930.160689549,929031.936326446,943823.41215708,950338.550929234,930172.480987519,906176.122185486,882437.729833761,888533.6440609,873814.374258414,893610.495674408,914147.987899048,927417.041222591,895362.190675095,894987.964694539,887191.856990234,903908.446402994,918596.761498243,918968.727278526,935688.329291983,958864.047255797,993468.440573329,1023373.05979082,1011739.75781099,1006276.46998043,1005197.88547094,979009.131419935,980598.96038932,964707.852002621,963632.295359448,976979.625647666,976200.024314689,950990.422088291,950215.578455572,948167.126855238,939894.404782012,956796.358075886,974486.818512894,968166.961567717,977404.779937805,982363.283942538,986205.702881327,979381.080255759,959872.785747921,906415.018974359,868899.08601392,851014.699902319,856081.244470264,848978.65468343,865301.683141401,882329.648696882,899502.265753366,917149.255563414,929586.994569237,949690.439815623,946794.463331588,930472.809111084,936418.107175496,936613.916093269,924847.136734442,919721.499498207,927016.909418266,927390.237175064,942876.955889833,938115.204209694,951141.077600616,951872.022496815
"3",1285307.93626493,1285307.90586908,1284114.65208716,1274722.3168304,1268223.32057975,1263149.73405004,1258679.27255574,1227860.71839517,1208936.24789571,1166597.16151721,1138815.70454652,1106827.02496234,1073741.18324776,1013193.41114324,948831.161569575,918414.03747563,875803.694689296,860492.604435146,870136.060903594,888865.568591789,916452.248767339,953548.380454103,968263.921628891,995427.759167325,1022751.40413733,1054038.97630256,1063390.07216676,1062949.54253913,1031336.5424612,973634.116835272,952623.192059521,954294.901637174,985731.514988533,1022288.91022337,1039423.18387287,1044831.96580093,1057953.93588019,1076690.65769152,1102224.77481552,1124611.7423911,1120092.65980279,1114093.03430973,1098927.98513562,1101851.54817081,1113118.88558926,1114313.50651381,1126549.7663687,1133206.13035465,1132269.58196965,1141287.30287638,1145218.2850974,1114738.78972161,1093832.64831242,1055178.46573507,1020854.53408218,966794.650306488,940910.302378336,907913.930092083,887134.239470166,875928.726710663,861138.021868238,869758.60912477,884694.174026641,894396.993105538,908084.703492338,913415.462789037,937783.000446517,947918.039633828,975939.226245502,1003046.49929837,1005631.68543575,959485.789763102,921369.665726358,900727.050253531,908819.110216887,916495.840727722,930341.067954064,948155.962762406,974488.159510154,966920.395905803,963822.817146949,945445.888959601,944168.304559886,958236.130968558,940915.306622796,932938.694353911,931938.607623962,928233.862172475,894660.805741302,865392.574841587,857817.406972722,861057.186996647,891636.241525517,910474.969833279,929392.285441214,917398.921953805,923865.283909306,923865.860515409,901825.993031815,894304.590765124,876469.984249816,850531.985150107,847625.364622496,871262.20902502,912537.650842424,962553.051692478,999824.30962467,1008711.87600402,997809.648588581,968408.457137636,941352.71445713,934478.704753184,915969.529813637,921954.140033025,936203.893923424,947372.736808172,932125.195716226,925209.954685816,906766.248767112,882384.455521326,881826.133015567,887458.232490655,907868.624665822,936042.032267665,942652.406118862,925114.236171499,910686.163593333,916933.820702941,942410.051933715,952845.828899179,947042.871078621,920631.629723288,920538.14321141,943118.342728602,983011.590024742,1022089.67771094,1060966.7778873,1085022.74329496,1076166.5030305,1069331.87993751,1044433.53944609,1045015.18359057,1043776.4092828,1059872.71443326,1080013.18956386,1086722.54121922,1076731.70147508,1074089.95400315,1081401.56155663,1099120.24114039
"4",1285307.93626493,1285307.90586908,1285095.78781214,1276039.94600559,1217167.92897158,1179029.80961418,1146388.99144309,1135139.41145044,1111469.53796228,1100606.22873237,1098937.6990232,1107126.83843518,1107651.62542184,1088394.32852068,1081293.27984002,1067848.37556894,1075767.31955612,1075453.73278412,1055986.82364235,1054801.60877564,1058541.15313508,1046149.9373489,1049224.75725717,1015317.41572997,1013610.97311529,1023543.86996629,1045693.37121322,1027920.12294314,986592.984961523,913578.733123035,855279.44542945,840486.081116016,846647.510828953,880632.046903498,889155.293864953,879332.174643754,864698.547302707,833051.405390534,788957.146409706,773981.292268482,779864.404850153,818294.596351086,872987.441514702,926495.036553579,970678.20350267,996946.170105734,997949.076750858,987419.160530352,965052.906176933,960621.468132463,963635.1281463,967248.644405602,952653.157670166,900874.200506206,874453.00490163,845397.906788932,858999.533206615,878405.155729991,920585.0593264,949780.23369806,952477.616737983,952420.617561705,956316.693731254,975590.777215786,1002896.03176169,1010129.6651589,985924.436655207,947842.512846381,934480.667198342,933250.745121796,938716.721472107,929082.445214821,938496.684223415,938782.567685677,962510.880467481,957755.798302715,920263.562945191,901817.401294358,889099.726789051,889946.447320691,900945.084829975,916062.965369439,905902.496811112,871597.180288345,826752.093055252,821978.116498575,823079.744826933,842792.99866218,835124.931720402,842072.455660511,828846.157965828,819617.999405827,808964.441724476,799392.960816387,789744.281608357,794540.321448726,817553.747686045,819895.910077141,814275.949968915,788386.282793087,761012.379275048,731963.993571914,703902.472430883,676984.19635714,684111.860711184,728215.365854777,792142.322309394,815779.000675147,813507.428353187,811589.164741765,830988.571836544,855499.192679645,865172.675187034,846778.943558956,856204.927406699,866840.226950878,867574.537576127,878743.373005316,866697.457586056,839025.926010896,826996.308267553,840670.914717106,840500.37183607,861617.820129321,894354.354008313,916703.977253141,903090.471814462,884935.834768879,836756.582163431,813483.353681206,783376.197704824,793211.423537532,811491.716437887,807963.976618509,833493.629697947,857505.916281184,880196.146645353,892903.015517113,861303.125210685,814824.939938274,783770.185820851,747352.614208193,724015.266459829,721553.716442266,749023.517801153,771675.28181306,813562.527775308,811497.718525665,818135.620038332,801161.469690394
"5",1285307.93626493,1285307.90586908,1285282.69517089,1283990.32352524,1275436.58190216,1271006.39567377,1267377.77071877,1261727.11661531,1252320.96616396,1223186.21866626,1182778.44575231,1156957.75388144,1139983.36199717,1126866.71222511,1096141.1592729,1053834.1354924,1031284.62982299,1013907.21133751,975234.007955105,954995.675870859,952796.87212238,972368.793392063,972978.609206488,995988.248084961,1015237.57291535,1021360.10990076,1033303.48239643,1020945.90233307,1004833.37359049,1006269.41307972,1007337.40252334,1029570.93631204,1058918.56802318,1086239.15711576,1071260.43181451,1059869.66216114,1006897.6038625,959757.759500277,913336.393751796,874651.99038243,845656.902025539,856398.351386428,880977.446736755,928749.044289566,965500.409741636,959552.164288117,953784.583355471,958796.256197958,964463.896796041,978499.712609257,989307.597234777,968469.319189721,969799.609406188,949891.189805317,958680.295573786,935635.838472999,920391.775761147,884023.941488605,885879.421561206,888504.438345317,914023.638890601,946589.810760291,976400.265342931,982171.204102658,958129.612332613,938507.112452839,925956.320600016,931887.289505186,910736.08636496,906539.236727162,875961.934601332,837866.513887106,806577.451347454,798771.786874647,798998.884267807,782754.369714722,770910.774668784,765723.075290151,752167.745523789,752455.052121592,756797.22511121,790908.389564155,809376.182762738,827487.640726124,816477.241171178,814451.120502606,822465.871786207,846219.702176332,842047.256888166,824254.80407847,801982.510404092,807101.281033006,796749.277631423,828776.724528762,864005.389937898,912493.378044845,944825.629774733,949954.305009321,926838.927032101,902112.690413299,898174.461447975,885732.80917409,891354.884865456,914908.11802898,932614.389599464,929728.756743554,922912.251401235,917567.293861027,915051.184864869,884297.726783469,870537.821505402,878773.738348322,905878.649516416,943561.809786292,975330.605325607,985212.910264714,975306.897377379,969878.115407603,981364.578946349,986567.685990831,968216.811007254,972978.778026884,970563.184999341,958394.536118498,951848.208227363,942526.637217486,926726.265782129,910703.519308675,899822.491608367,911694.986569227,932398.355460071,954810.947702358,953593.093526459,943946.096425147,922437.103401954,892809.11156857,893566.191684715,860813.920965302,809954.951375093,793877.783059627,784370.831744968,812544.6619792,849392.510421087,892954.387864972,887648.26838518,882693.509213349,869546.098577834,876856.052998093,879474.596652524,861543.634269316
"6",1285307.93626493,1285307.90586908,1283106.74706677,1265783.46728408,1254013.91572847,1245720.99518858,1242335.91390634,1240967.36100829,1220557.29862762,1190540.73200913,1169929.06769805,1153921.61300147,1136965.14007181,1126747.58201312,1128243.06142956,1129062.0755391,1138440.15607401,1126814.54652761,1123825.35068879,1126840.27328777,1139722.41031968,1158465.16625535,1176895.628833,1178626.88487498,1169893.97039974,1167727.49928467,1169577.16890832,1169429.5565252,1164989.20811935,1150167.25183088,1131500.64368767,1126554.31820028,1124222.23510023,1119603.51754865,1084573.39977285,1058401.27463961,1050578.85337145,1060600.47615857,1083464.12819799,1082871.02083389,1079043.53826233,1053759.70063054,1051350.09101234,1043302.41941393,1055856.66090743,1058533.68688887,1067245.15266236,1048142.97048031,1049662.26917453,1043871.405285,1054371.29365713,1071825.46276542,1072617.65149239,1080833.16881962,1077665.37457479,1088759.31724685,1088361.80327711,1088276.79867185,1087355.6823681,1082119.72880806,1072917.53815527,1066214.54899768,1037273.69635064,985788.805392409,970401.27804442,977743.68579081,1005350.26330443,1024190.92979001,1008003.328955,1005326.83094244,1006788.9415256,1019896.01805531,1027830.88272351,1013121.69086491,1008350.92134589,1001379.20931326,1015596.3165885,1035474.99471357,1064859.15894799,1085115.11505174,1074398.76470265,1069313.397725,1065576.59267175,1056063.71947561,1023985.29756311,1018888.63548661,1023232.37309221,1022971.15502506,1041201.2046748,1057006.23639707,1059547.40664773,1067704.19466336,1048071.51726074,1000531.70926369,973832.575448394,969323.887866794,958131.946521662,936947.361755928,936546.658076089,911978.414873879,895231.117637736,895442.556115274,906232.750701311,931634.270015031,926111.314337914,899890.910487892,886918.286510604,864796.45021913,856670.164734866,858634.907568995,847675.859442765,836064.141048307,799691.329029851,787621.051028855,781721.348151578,809246.236771841,794863.106827352,773593.614547147,782097.215520378,810133.886988805,852494.76662653,904597.085807681,928442.529820972,964235.804693138,992406.775777252,1003992.39743746,1020052.22315625,1036337.24887473,1031461.40625872,1018778.04664773,1022912.56999159,1035703.01349749,1023763.12885373,983680.865919863,925309.06120406,906499.144516534,902751.416305944,888663.949345541,878862.324040594,880106.837431782,861489.178826956,821102.141732836,820186.076336663,812576.459792681,798724.944487294,806566.758740876,801691.602011652,788051.891019555,759137.530574283,718453.33003715
"7",1285307.93626493,1285307.90586908,1283327.41609343,1267992.91250883,1258212.45947759,1240376.3077572,1212844.62140501,1197566.9225149,1174419.70756609,1146299.44837016,1095949.12338041,1066449.16135946,1029985.99042519,1014636.56433595,999534.744377207,989884.491340593,993631.321931218,1005507.802963,1030143.22390042,1030852.21434655,1025928.88002109,1010199.50656247,970553.139772065,957066.846705154,946825.418167621,950834.001711931,958413.093760389,944739.700224674,953336.865697979,949954.760640009,954624.774052359,974436.97349232,996345.770807287,992789.284586025,1005789.19114687,1025252.94191832,1052261.33462663,1080030.92965372,1088373.65513409,1098178.11817847,1074730.32781244,1064344.18966997,1065310.12799684,1068652.62142667,1082593.17416715,1095007.39600545,1080710.27925615,1070036.2927635,1056205.40507304,1022470.21899342,1019992.84711939,1025265.77619262,1037337.92829816,1055545.35563181,1053585.02017787,1059350.45656858,1051929.08833952,1057896.44135015,1050159.23314261,1058738.96057818,1044905.59706972,1038929.92294518,1026354.93184765,1032322.32586567,1050538.49302071,1059160.74467107,1039997.1246721,1034431.96826142,1024186.94616809,995622.59129238,983085.513948367,989501.962063308,1008262.73762043,1001922.60058789,984678.558558504,963326.160876817,938328.434436811,943266.297175624,936223.405427474,931651.211940971,893830.009447281,852221.660486255,849539.61131707,867376.139507631,911206.208850869,917016.42728305,884397.217850527,875554.452773326,885616.494973618,891994.095556112,900833.437608223,914267.139619336,923218.375504759,924803.206210535,941871.780061983,962990.562514351,957580.483023494,947901.514302578,926176.145204702,933402.95589159,945119.143135234,948623.360902802,929271.538615953,903249.741765367,886504.684210098,888537.584665122,917150.985336848,935777.940932851,941333.786286172,911632.712049208,888734.712424761,849209.442349975,816925.532818751,822611.066269656,851965.93818853,861278.086454868,878787.390854038,903873.19879779,912055.141422592,910572.248386865,918471.397744393,926883.588092833,954173.583563331,985015.610602128,1000886.78099303,989557.711062327,986156.21986692,997855.160642445,1022397.83816814,1014108.12814529,1006649.70245248,1007666.6379316,1013196.24472508,1033581.03345846,1050201.0710601,1042464.87609161,999802.213400868,941787.249912104,899981.322358563,852421.55341433,823624.977888941,806971.462307046,817552.504718472,843439.761700214,866231.055614244,863943.417275268,874131.780453992,884904.577996237,899808.366096959,886680.024365575
"8",1285307.93626493,1285307.90586908,1282739.15318658,1254865.62581488,1177994.54003435,1105319.73040199,1060697.0446666,1032223.54795005,1001806.27795492,986959.914192788,975200.886649695,965869.383695923,968984.903580946,987427.442202761,1008229.46690258,1016554.69405012,1031629.86194385,1032997.72030754,1050341.34930647,1066919.07952424,1093620.96763774,1115402.56574486,1135234.58396982,1134669.44449265,1106071.18511269,1058361.82873139,1031996.27649002,1017400.37316848,1030263.00783562,1033297.03171114,1022880.65307909,1028232.50202978,1043503.22704587,1065396.12369884,1033338.93713969,1006721.00943375,991304.371015368,994945.357122172,1002657.03939606,1013550.61310579,1034453.64211181,1056986.49785698,1053454.5872722,1049350.39212794,1046909.43050025,1052905.40883791,1069723.02980377,1094239.69079523,1108376.39108369,1124918.05485442,1123786.17794243,1094856.76673592,1016016.50562239,961676.008088459,924556.211784982,927746.636889918,918129.604699213,913883.129549176,876531.316022965,856134.855564494,830806.744670717,811948.827798502,820790.717641451,814062.833851122,829678.189810144,834888.375678978,851668.081723019,880796.199706625,904128.715602829,918180.195492817,947821.715694231,980428.31852272,989949.165484779,1012089.36057365,1036740.41299775,1067471.10826732,1098110.2071396,1105948.4900163,1106714.89033815,1107195.9576405,1093378.84437067,1047320.7906055,1024188.53485422,973246.152367366,966696.415036262,966463.476574036,966102.548198907,986883.390674153,1010343.18117698,1003699.38395034,992112.641887557,986212.903437716,968678.420697442,939529.120201573,931027.195345755,946073.952294457,980290.445631985,1023933.91185317,1067558.18771997,1091249.2998972,1105650.87733464,1069936.77594415,1027088.40414385,996876.696465212,935732.733445194,924686.545137342,935789.634460175,971459.897249341,997350.504742111,1018410.16154837,1016420.27434456,1001795.15473174,1003585.83162753,992360.426765158,993111.813672463,989236.715897251,949596.417446446,898250.246391185,872775.422521029,875676.691980102,906622.632391075,936042.041757898,953430.979771988,945257.168508637,947074.897904426,910951.132553206,912750.826056885,889843.579718738,848718.491468309,808888.491029271,781158.30884544,770539.442476658,795115.783539343,793811.942971111,785865.183152814,767809.611377268,752391.71639563,768742.88899634,792733.857272594,809352.041802631,842999.547743278,857556.286445612,860091.622925211,882506.696699667,903329.194488014,900638.196620711,908026.240993886,911915.586728598,924289.39518248,940994.794476794
"9",1285307.93626493,1285307.90586908,1280479.84218611,1237845.25058682,1170434.86365131,1086882.1342156,1028099.52479444,978857.841391528,972360.998085581,960437.041261897,976563.359345391,988340.889945021,1014235.78214596,1013910.83470987,994213.582631266,990999.189437785,995261.958554926,1008349.57684642,1002814.08212193,995122.002109916,989627.017557454,958050.814301603,955726.070002581,961904.298831908,961426.087626284,969506.926550108,985230.275997179,998104.730040369,998992.074269467,1003047.26824711,986665.85705449,956273.655850647,935071.668072794,932824.047008202,907098.119099312,904521.33856347,872446.613209983,860714.417329693,871942.903402534,872295.618740695,898090.980774431,877168.078264457,880483.037118615,870318.211133984,895231.959232575,915879.465466133,919582.276693246,934453.314267412,934523.869842046,936577.917095772,925771.168354948,942163.318529187,971920.528753574,1007242.49982543,996611.224668996,984366.046873823,966062.302214415,974266.557764707,980754.641836557,984430.587351898,965878.369989796,972419.898675595,987006.652244147,986413.18007281,1007575.80647633,1026321.11132029,1023094.39728356,1007327.34149295,975206.157661804,931372.750337298,890866.919698973,879487.267521891,895714.069121674,924362.36020016,939269.254916903,951699.943936846,940542.481821506,928001.213433903,908834.863459929,919819.245742525,928253.112389044,961280.538858093,983908.290375593,994897.471073276,1015433.68067075,1025612.2533688,1010040.00599406,968714.658272804,933632.626003306,922622.607934731,928136.845346448,949279.791539949,980840.630662365,984899.328178419,997717.053927391,1015745.90436147,1034744.30217803,1060689.75441531,1070142.79012402,1045482.06000622,1028188.85506296,981436.432513184,973162.442481069,966871.534029458,964496.495888584,948103.487439308,919821.215317444,914618.792141038,892057.393450891,890688.691413116,889962.41886253,898111.377074357,896574.742929305,918529.22034853,952415.153853323,993230.169313797,1005462.98222818,1010397.09144904,964115.542238021,955189.512253335,953089.221109169,941155.054686801,898596.211030384,860080.273491891,855956.702312962,865919.017369057,906445.417527447,953715.37891179,981415.802924163,1011920.12767159,1012490.08320618,1016847.4783322,1007697.62679385,1002065.38323882,1008764.33955356,1009900.5833369,991786.850860453,989365.300921591,1002508.19344178,1027008.72822887,1022529.18083356,1028774.39563817,1036489.44445975,1047792.63582141,1051383.5179185,1068899.72246932,1086086.08713042,1085221.15807434,1096620.63501392,1099897.35457044
"10",1285307.93626493,1285307.90586908,1284754.00336201,1280497.89247395,1274490.03288635,1242842.27354843,1220126.2578698,1174736.92814927,1110415.37158155,1049668.18430979,1021360.42982147,994138.263108534,1000259.84688525,1003267.52344554,975890.113871568,946657.262906742,896453.010773445,888441.586296763,869116.553628699,865689.382246304,867631.63561158,892175.987172337,914458.878884365,903625.45507919,915998.425927959,926892.906347709,932540.175871622,926351.580951444,899566.714004546,876746.965766049,846362.894501761,841518.372373222,815967.941316912,827294.147337036,858684.111851385,902775.477032141,927110.418493157,960870.655204863,968283.431279251,985601.384030814,993450.428600761,989812.635057889,982866.559960631,988575.76018707,1003873.69383,1028948.73802686,1022314.09036302,1019928.67706461,1008640.87358276,1003001.49468397,990038.704031057,999740.397038097,1020818.98409415,1048173.37456027,1050017.98372901,1056443.3039284,1035641.34986763,1023733.75688502,1014214.44750304,1016831.84306258,985214.125151558,947849.901047751,924999.551174474,892040.139309197,897208.871183292,888593.588433844,904556.502371591,874143.958999844,862930.561536744,869773.641753379,885627.376835437,870789.529924549,882332.059937238,877215.45477083,889736.399540417,879308.868161255,875279.218775163,863239.484534348,830304.105420656,813799.539530279,830053.224617773,866126.589172619,920519.524806067,963952.096866579,986117.702167265,988786.232553455,952498.430938626,936921.174222949,906000.235989279,877529.034664853,861756.457819735,850419.532896772,859668.103932635,888449.624016834,932160.751767669,973110.163168186,991804.552096456,997511.243109497,1006252.05648034,1028194.28401039,1058546.02351653,1082890.48842573,1076066.39549941,1042809.39622381,986586.509961563,962076.387687182,960918.333414266,970677.101743818,975570.087791193,997124.372720916,1021900.17613703,1057464.05816047,1085673.31451103,1091555.79610912,1100069.98520786,1083299.35780966,1067427.04616428,1049844.46672014,1004689.25231678,984519.662266753,932872.598809605,919400.808897507,921541.415222219,928497.940253631,942348.565070705,934175.885438015,939973.027970735,959111.512053041,990091.315873211,991092.910112901,1006472.56777537,986920.065145959,958697.075054815,943021.038854215,943626.548094158,928206.537581836,917789.577503513,891235.80315424,866684.437021028,834660.777325548,825930.076338451,812452.723826697,816324.422513828,846199.409313538,886971.975180909,924337.951126215,932299.929114805,943469.357915543,951970.757976757,973957.992936539
