"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"1",1,1285307.93626493,0,1285307.93626493,1285307.93626493,1285307.93626493,0,1285307.93626493,1285307.93626493
"2",2,1285307.90586908,0,1285307.90586908,1285307.90586908,1285307.90586908,0,1285307.90586908,1285307.90586908
"3",3,1283059.61380337,1872.97398271557,1280012.69478479,1285240.64101517,1283059.61380337,1872.97398271557,1280012.69478479,1285240.64101517
"4",4,1263197.5451612,16800.1822985256,1237597.76087009,1283204.5265387,1263197.5451612,16800.1822985256,1237597.76087009,1283204.5265387
"5",5,1231846.90962505,39576.7815729632,1172135.79083749,1275223.6083736,1231846.90962505,39576.7815729632,1172135.79083749,1275223.6083736
"6",6,1193461.54175138,69489.843721441,1091030.59335754,1269238.64680843,1193461.54175138,69489.843721441,1091030.59335754,1269238.64680843
"7",7,1164664.86392443,89441.2078963251,1035007.79646719,1265420.60863209,1164664.86392443,89441.2078963251,1035007.79646719,1265420.60863209
"8",8,1139949.15369993,100455.684441016,986696.019349279,1257056.17160373,1139949.15369993,100455.684441016,986696.019349279,1257056.17160373
"9",9,1119418.18504863,98939.0734203543,978986.186056182,1245174.14096828,1119418.18504863,98939.0734203543,978986.186056182,1245174.14096828
"10",10,1098273.53155934,90947.8323477702,966404.687671347,1215840.9841684,1098273.53155934,90947.8323477702,966404.687671347,1215840.9841684
"11",11,1083620.8214586,77261.2847611623,975507.443006227,1179887.3356901,1083620.8214586,77261.2847611623,975507.443006227,1179887.3356901
"12",12,1071664.93643566,71498.9077557084,970925.47260197,1156274.62218345,1071664.93643566,71498.9077557084,970925.47260197,1156274.62218345
"13",13,1062262.91826397,64371.1319949135,976021.765824415,1139304.26206396,1062262.91826397,64371.1319949135,976021.765824415,1139304.26206396
"14",14,1046696.15677894,59639.6246167472,981574.946833112,1126839.90792741,1046696.15677894,59639.6246167472,981574.946833112,1126839.90792741
"15",15,1027450.61694351,63809.7284509868,951128.212746184,1121020.13344431,1027450.61694351,63809.7284509868,951128.212746184,1121020.13344431
"16",16,1013722.70919448,63871.9242614184,924768.76319763,1115288.99304581,1013722.70919448,63871.9242614184,924768.76319763,1115288.99304581
"17",17,1004865.65381669,76917.8154188428,880449.79080823,1124338.76785748,1004865.65381669,76917.8154188428,880449.79080823,1124338.76785748
"18",18,1002644.54427133,78278.4157789334,866781.12535401,1115258.36343533,1002644.54427133,78278.4157789334,866781.12535401,1115258.36343533
"19",19,998621.721548598,79289.651580776,869345.942765551,1108561.68210334,998621.721548598,79289.651580776,869345.942765551,1108561.68210334
"20",20,995696.032471263,80379.2326518284,870904.024174038,1113358.00469098,995696.032471263,80379.2326518284,870904.024174038,1113358.00469098
"21",21,998840.293288275,85921.1411704585,878616.273571626,1129349.58571624,998840.293288275,85921.1411704585,878616.273571626,1129349.58571624
"22",22,1004709.50330788,88232.9098064269,892662.159461297,1148776.08114049,1004709.50330788,88232.9098064269,892662.159461297,1148776.08114049
"23",23,1012060.39843094,93387.3596564446,903057.951078296,1167521.89373879,1012060.39843094,93387.3596564446,903057.951078296,1167521.89373879
"24",24,1017422.78632684,91341.4950718062,909556.810941542,1168736.46078895,1017422.78632684,91341.4950718062,909556.810941542,1168736.46078895
"25",25,1022745.03475301,84050.8253790406,922934.499181883,1158643.26498275,1022745.03475301,84050.8253790406,922934.499181883,1158643.26498275
"26",26,1027581.75363485,78544.6980533109,932279.652804659,1160198.01218058,1027581.75363485,78544.6980533109,932279.652804659,1160198.01218058
"27",27,1035625.76432156,75670.1692813884,938361.582396595,1163773.05302992,1035625.76432156,75670.1692813884,938361.582396595,1163773.05302992
"28",28,1033344.30678321,77820.8757096911,930488.90778792,1165231.33767423,1033344.30678321,77820.8757096911,930488.90778792,1165231.33767423
"29",29,1025530.1846866,80297.6255348029,911664.998135569,1160813.26603882,1025530.1846866,80297.6255348029,911664.998135569,1160813.26603882
"30",30,1012152.24565808,91297.2885188997,885034.113421371,1151040.92396441,1012152.24565808,91297.2885188997,885034.113421371,1151040.92396441
"31",31,998641.540873505,103778.878092065,848369.118460491,1152146.87496551,998641.540873505,103778.878092065,848369.118460491,1152146.87496551
"32",32,998605.528215751,108137.463381947,840718.346648887,1157464.93191268,998605.528215751,108137.463381947,840718.346648887,1157464.93191268
"33",33,1003132.9772705,113470.338744582,822870.844457122,1164337.83550136,1003132.9772705,113470.338744582,822870.844457122,1164337.83550136
"34",34,1012939.48263621,106038.280013886,839295.17473949,1151963.81098453,1012939.48263621,106038.280013886,839295.17473949,1151963.81098453
"35",35,1006850.93541565,94099.732010988,865540.127804438,1138362.27294527,1006850.93541565,94099.732010988,865540.127804438,1138362.27294527
"36",36,1002435.13081658,80894.4948532195,884606.917681141,1111064.36749046,1002435.13081658,80894.4948532195,884606.917681141,1111064.36749046
"37",37,994043.786214091,79718.1960167468,866441.862131844,1083096.37260222,994043.786214091,79718.1960167468,866441.862131844,1083096.37260222
"38",38,989377.09865299,86634.9995900656,839275.583076845,1079279.36846223,989377.09865299,86634.9995900656,839275.583076845,1079279.36846223
"39",39,979212.265803616,101159.277249588,807628.941733092,1099108.2728872,979212.265803616,101159.277249588,807628.941733092,1099108.2728872
"40",40,970891.218327545,112799.142802394,796102.01572473,1118664.17694326,970891.218327545,112799.142802394,796102.01572473,1118664.17694326
"41",41,964378.408969729,112634.579994359,794667.716714615,1110856.60745619,964378.408969729,112634.579994359,794667.716714615,1110856.60745619
"42",42,961956.24089036,106916.013922902,826832.311699443,1102899.54426579,961956.24089036,106916.013922902,826832.311699443,1102899.54426579
