"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"1",1,40344814.1809491,0,40344814.1809491,40344814.1809491,40344814.1809491,0,40344814.1809491,40344814.1809491
"2",2,32588511.2155454,6461583.24360111,22076928.5364565,40112848.9883359,32588511.2155454,6461583.24360111,22076928.5364565,40112848.9883359
"3",3,31363532.9263251,11044737.8805236,12775916.0985533,40231242.5634087,31363532.9263251,11044737.8805236,12775916.0985533,40231242.5634087
"4",4,30878810.6979098,10029266.1858208,12803082.6654425,40247287.9714118,30878810.6979098,10029266.1858208,12803082.6654425,40247287.9714118
"5",5,35465207.7385003,4428139.2263321,29130189.6683921,40400808.8047122,35465207.7385003,4428139.2263321,29130189.6683921,40400808.8047122
"6",6,33098507.9505157,5927429.23975991,24165537.9329438,39534503.1812016,33098507.9505157,5927429.23975991,24165537.9329438,39534503.1812016
"7",7,31911546.8876694,7679153.49254429,19270759.9249511,39361205.2989099,31911546.8876694,7679153.49254429,19270759.9249511,39361205.2989099
"8",8,30343107.8743499,4629700.88829551,24126479.5284863,37640705.1202148,30343107.8743499,4629700.88829551,24126479.5284863,37640705.1202148
"9",9,33452392.0618707,6073917.35977934,21666413.9618338,38725039.0925015,33452392.0618707,6073917.35977934,21666413.9618338,38725039.0925015
"10",10,32608737.6696263,4413117.72933512,25469875.5268299,38204958.1328556,32608737.6696263,4413117.72933512,25469875.5268299,38204958.1328556
"11",11,32163324.7732358,5994706.44503523,21633013.2014002,39023474.6300928,32163324.7732358,5994706.44503523,21633013.2014002,39023474.6300928
"12",12,28707158.4964918,6606975.82696966,17532478.5465062,36705549.0664124,28707158.4964918,6606975.82696966,17532478.5465062,36705549.0664124
"13",13,27958536.2023774,8407108.98633896,16262329.3990114,39261272.7512634,27958536.2023774,8407108.98633896,16262329.3990114,39261272.7512634
"14",14,31732846.2007781,5154836.92832036,23406699.9983118,37899689.5863719,31732846.2007781,5154836.92832036,23406699.9983118,37899689.5863719
"15",15,31495190.3773422,9540725.35894079,16114820.1001582,39260548.5974412,31495190.3773422,9540725.35894079,16114820.1001582,39260548.5974412
"16",16,32121950.202563,4527396.57547411,25905442.3510311,38278863.8368535,32121950.202563,4527396.57547411,25905442.3510311,38278863.8368535
"17",17,29701643.6239149,8383916.34780041,16696519.778461,39223156.4545087,29701643.6239149,8383916.34780041,16696519.778461,39223156.4545087
"18",18,30336195.8734287,6228921.69919209,20702254.6105144,39079267.9490755,30336195.8734287,6228921.69919209,20702254.6105144,39079267.9490755
"19",19,33742629.4427082,6517055.8767959,21490327.1324143,39635354.6636602,33742629.4427082,6517055.8767959,21490327.1324143,39635354.6636602
"20",20,33090271.8740647,7804506.85164883,18243821.8762617,39316393.6655145,33090271.8740647,7804506.85164883,18243821.8762617,39316393.6655145
"21",21,32548095.4016748,8217864.31083987,18119815.2024014,39978783.13091,32548095.4016748,8217864.31083987,18119815.2024014,39978783.13091
"22",22,31957238.0673849,8737658.54481449,14941989.1614796,38377237.132892,31957238.0673849,8737658.54481449,14941989.1614796,38377237.132892
"23",23,33079333.6958853,5158219.70005674,24621951.1629521,38417854.746688,33079333.6958853,5158219.70005674,24621951.1629521,38417854.746688
"24",24,32925565.5200699,6311532.60350204,22433726.9830407,39413054.5122771,32925565.5200699,6311532.60350204,22433726.9830407,39413054.5122771
"25",25,35102200.247142,4242865.63460741,27152937.3346578,38901206.1362877,35102200.247142,4242865.63460741,27152937.3346578,38901206.1362877
"26",26,29566691.2019193,6897609.15454352,18532116.7220509,37093528.3426344,29566691.2019193,6897609.15454352,18532116.7220509,37093528.3426344
"27",27,29409335.2947438,7142058.20716701,19547365.1833192,38705118.2323145,29409335.2947438,7142058.20716701,19547365.1833192,38705118.2323145
"28",28,29486035.1730316,9542730.63557587,13137261.6705294,39256211.8108058,29486035.1730316,9542730.63557587,13137261.6705294,39256211.8108058
"29",29,29029773.5610043,6289988.74626751,20538809.7820603,38773469.3931255,29029773.5610043,6289988.74626751,20538809.7820603,38773469.3931255
"30",30,34853865.9182838,5513407.51607182,23229967.3910424,38757658.1155764,34853865.9182838,5513407.51607182,23229967.3910424,38757658.1155764
"31",31,32889759.6064305,8179974.03072104,17212650.5857473,39816312.9144312,32889759.6064305,8179974.03072104,17212650.5857473,39816312.9144312
"32",32,34265748.2311999,5745820.31338751,22620649.092457,39384994.0995615,34265748.2311999,5745820.31338751,22620649.092457,39384994.0995615
"33",33,26144860.1191841,9819621.94186727,12459432.036998,38734949.0042637,26144860.1191841,9819621.94186727,12459432.036998,38734949.0042637
"34",34,31216952.8266371,5541763.10770031,21465371.096879,38924500.4752443,31216952.8266371,5541763.10770031,21465371.096879,38924500.4752443
"35",35,30341364.5699173,9165030.01194999,16693720.8768004,39333873.8001909,30341364.5699173,9165030.01194999,16693720.8768004,39333873.8001909
"36",36,31383374.2789877,8226599.13941503,19107915.1183995,38876299.0067364,31383374.2789877,8226599.13941503,19107915.1183995,38876299.0067364
"37",37,27491058.4341539,9826072.36891323,12948065.1833635,39376828.711452,27491058.4341539,9826072.36891323,12948065.1833635,39376828.711452
"38",38,29257833.9796,7976074.50465068,16089849.8427401,38972379.942155,29257833.9796,7976074.50465068,16089849.8427401,38972379.942155
"39",39,30257780.7768044,7100135.29956577,19984088.0258929,38761252.4236007,30257780.7768044,7100135.29956577,19984088.0258929,38761252.4236007
"40",40,30648542.0937542,7920389.4155289,15635535.2597207,39210541.2586906,30648542.0937542,7920389.4155289,15635535.2597207,39210541.2586906
"41",41,31366649.2879756,6298466.57058016,23364791.4636916,39272204.6463109,31366649.2879756,6298466.57058016,23364791.4636916,39272204.6463109
"42",42,33032737.4024448,4956102.68995137,25133295.4127779,39016991.5756465,33032737.4024448,4956102.68995137,25133295.4127779,39016991.5756465
"43",43,33604660.0563233,7431639.48319564,18197306.821889,39710615.1205185,33604660.0563233,7431639.48319564,18197306.821889,39710615.1205185
"44",44,30500469.1038185,7061396.9952571,17865068.142805,38807106.8887822,30500469.1038185,7061396.9952571,17865068.142805,38807106.8887822
"45",45,29437984.5945768,7836057.75784638,20557125.2458704,39177079.735394,29437984.5945768,7836057.75784638,20557125.2458704,39177079.735394
"46",46,29957836.8904174,9640767.9342522,11719398.7146788,39507291.9493668,29957836.8904174,9640767.9342522,11719398.7146788,39507291.9493668
