"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150"
"1",26210.6229669995,26210.6215895854,26210.6203745605,26210.6193027804,26210.5671796955,26184.2467608786,25771.1869323732,24997.6098944613,24416.4952766849,23942.7853824797,23647.9079341323,23675.2735614272,23824.2163426605,23735.4422688581,23417.9094938301,23330.9599675049,23110.9173475938,22403.081765946,21879.8632138015,21375.3275847534,20992.0365507929,21162.1496094722,21093.4981100165,21112.987441098,21523.9007892151,22001.4684671273,22407.6269889036,22610.4906978414,22800.5354949447,23023.5529611186,23183.3392902858,23161.4569623939,23145.8964505752,23408.8198517238,23625.4981739381,23778.5089442753,23633.3531869894,23299.9198325491,23059.7673611421,22434.6570632901,21461.6548148964,20156.6156187887,19360.2594554324,19533.3904637306,19877.1440756208,19770.3976655541,19641.2971661091,19633.6107369138,19258.3936304275,18732.6143380208,18132.8799164707,18009.3031725823,18253.1012045244,18304.813445249,18381.5001056246,18353.5871572829,18314.249216868,18199.0268333472,17731.9997556139,17538.752408543,16883.9257462538,16718.3945191724,17470.1437974699,18074.7193478586,18398.1709360078,18717.9504237179,18398.7035139843,17401.8610629729,16752.584517506,16839.3007653775,17499.3557153839,17981.7446057022,18436.8295590971,18860.3312863181,19158.1765985016,19634.7879635527,19808.5463252761,20100.6015029053,19868.1885369326,19056.5151019655,18941.9176589294,18803.1042065607,18217.8822114203,17840.0122849534,17802.9356653282,17365.0374171841,16918.5473715914,17235.083051899,17318.0651853301,17166.1683483049,16995.8946026413,16743.5931846032,16679.9295461392,16782.1675602961,16974.2321666013,16774.0160221028,16206.7858712873,15784.500432816,15373.5577450603,15015.5606216373,15101.4430603151,15451.5402647435,15883.3140495426,15969.4282727421,15410.3006768027,14418.1498758016,14128.8024597718,14226.0615784624,14089.4113523811,14146.2995459056,13826.2205553768,13461.0222682275,13586.2471005733,14251.8553354959,14333.4861826637,13871.8654716575,13589.2125217641,13881.2939102078,14526.882505922,15677.183764622,16366.4993760576,16443.7852844912,16573.6487783879,16784.4925920991,16792.7214832712,16839.6803585189,16645.3469540386,16454.5160308713,16940.4796114091,17811.7546483566,18349.829221401,18190.5617627256,17618.5447462073,17588.6387755559,18070.3950825871,18254.7097775415,18387.6874199561,18572.2373407765,18629.3717442259,18732.0453034202,18300.1674326552,18181.3915282042,18789.4461512411,19370.1648384592,19965.9002973718,20220.5741905521,19597.579850076,18836.0149083256,18422.498075351,18328.9298221417
"2",26210.6229669995,26210.6215895854,26210.6203745605,26210.6193027804,26210.5386991942,26169.6146903709,25548.8625902447,24640.00927846,23561.208481929,22121.9836412517,21529.9842944114,21424.6780008315,21563.7170662778,21765.2892603463,21809.1604357542,21224.3458766777,20319.7441510723,19870.2430310978,20102.1398047373,20669.5264376841,20868.7622386174,20540.4255026203,19922.5350418179,18995.7914056895,18483.0547538635,18720.6476958858,19341.9347195458,19808.5091379437,19818.3728592768,19957.7467449134,20499.1319081047,20934.7479094973,21298.3775090368,21513.385021143,21427.5431374621,21156.8753829227,20958.9879767639,20922.7101885903,20725.0482477177,20848.9602438911,21236.047776191,20937.9498791631,19753.8323161929,18553.6153791465,17926.6880407459,17647.6951873653,17369.582036995,16927.2773677653,16362.1332832703,16515.9691102941,16507.8557900282,16209.0855145487,16282.0204248964,16194.3523258057,16924.4753714647,17246.7308384535,16941.8028954395,17252.9591031649,17659.4346635698,17492.0385241457,17566.4465141867,17698.1314805272,16882.1750196967,16549.8289911529,17121.633505347,17363.0361414777,17547.7395744451,17550.7799207745,16808.7265931524,15833.1839628906,15072.7138671522,15058.3665912835,15844.4306289672,16754.3439856504,17592.6697111382,18613.2240715069,18836.0607671621,18456.6859736243,18787.3119905242,18878.2898335858,18256.6252295014,17790.6369091613,17436.7702135949,17097.1831269734,17229.0033108439,17860.4650377285,18221.7153324086,18392.7890283857,18724.1044128297,18970.472169621,19121.467902334,18863.1460525621,18285.9210248387,17952.2334221366,18112.574334765,18203.6230636343,18092.0029341393,18646.8870082094,19002.0777930386,18417.7145874822,17840.9253321554,18178.8309183536,18463.7994946473,18785.0064803792,18744.3961705766,18761.0275157723,19347.4404143857,20004.6770659136,20542.5435650114,20422.6415831422,19948.9405824162,20170.7965667067,20085.5570721708,19721.62560689,19773.1019851679,19640.1452176394,19880.9011581642,20105.5929131166,19536.7940527264,19139.2257058753,19495.5249516124,19432.1849153076,19380.2789399305,19903.8006969213,19917.0048977275,19674.9383456988,19947.4251641633,20089.7993485817,19952.8489877497,19609.1100114581,18773.5642331885,17837.699522105,17702.8585249719,17966.0963301604,17905.5528739016,17754.1406730634,18168.9260146543,18486.621315886,18646.6634184266,18810.537131421,19102.1598211671,19272.2551662418,18847.6899113294,18739.796099428,19137.5575071175,18982.0832812856,18622.8941470222,18807.0278235148,19037.4216640835,19129.6399831884
"3",26210.6229669995,26210.6215895854,26210.6203745605,26210.6193027804,26210.6008553072,26201.6073298218,26064.5874165805,25868.103800464,25820.9978116917,25807.12811874,25363.5230077588,24739.5325821569,24267.0465298443,23616.0859377288,23171.4780614826,22602.8211158852,21586.4709927015,20186.4052747483,19510.1294073361,19183.7203465433,18504.9221751849,18510.5023431782,18923.6557758751,19194.4815951797,19630.1400230457,19927.3193410609,20044.2086473208,20606.5675303457,21214.8014000484,21444.280970421,21284.8429533458,20896.0748740259,19896.7189778313,19265.2635057932,19694.0566365002,20332.7466125252,20940.2652231466,21171.097142485,21031.6611022296,21172.195389196,21674.5338208757,22154.8505442976,22570.7067740934,22582.9150580475,22297.5467075786,22178.1549766887,22220.2526556245,22579.6242223148,22713.6933735861,22708.2767797871,22963.5264210311,22995.1515798711,23003.8202714161,23245.6177090664,22869.1131365985,22152.4457244734,21762.8946485285,21181.3119016312,20331.0863097052,19607.1273334629,19322.7979358682,18831.5192383858,18525.2657291418,18272.3401666911,18158.8122632623,18494.9501083884,18644.2769835851,18630.2466306127,18714.8461498777,19002.5985411884,19378.3553668275,19615.3609284445,20184.1693589881,20410.7162008099,19567.8567325189,18491.8723802395,18380.6406799737,18789.1667922892,19047.8913099477,19023.9293417257,19239.9213477127,19759.5293651319,19826.9882737447,19369.1460645836,19181.0785878587,19140.8818254848,19530.9965846617,19493.9807542388,18898.1662942194,18937.0465380642,19154.4241201425,18619.0474913787,17712.0359712791,17602.1818912988,17952.5473821904,18360.114492795,18749.2193985286,18858.1635932508,18714.7463742562,18545.5115574293,18821.1817073319,18554.0335204105,18090.4913155141,18044.3860133294,17647.3478594302,17336.0645357698,17836.8444429218,18682.9658760171,19472.734431422,20075.9819540053,20175.8347606786,19878.8606363285,19454.261626862,19006.4572253135,18974.4157111091,18962.26620966,18793.1465846213,19142.8279108774,19459.7927620356,19150.8735913765,18701.5030674745,18613.9135462947,18232.8879751764,18022.7228645564,18315.1232128988,18625.2084440669,19073.1466563179,19287.4360469856,18820.1177061632,18347.8872125724,18558.8714010835,19219.5107424664,19547.1691371693,19229.9566134268,18682.0775981196,18539.1619941785,19191.5908664593,19990.3290320613,20597.4514333501,21131.1873638384,21638.4393229925,21562.6353125871,21211.6488001109,21033.7351934279,20986.6321118536,21256.324506082,21464.2980194093,21854.2828552644,22068.6683084758,21803.4471162726
"4",26210.6229669995,26210.6215895854,26210.6203745605,26210.6193027804,26210.615246439,26208.9076560432,26128.8915301256,25248.9737610215,24070.4165713424,23806.7438315734,23765.0347305241,23418.4612573934,22875.6785256928,22827.1278496785,23034.234928653,23051.117146674,22558.5297800713,22143.2340890558,22123.7176521482,22165.7066528621,22282.3423530164,21864.7856902687,21499.6132928358,21800.1188089847,21734.8941812246,21433.834703056,21097.2975810141,20655.7764009783,21054.4995415405,21571.3424028528,21342.8961515217,20268.4766093325,19015.074069416,17903.3405901656,17720.4219032025,18099.9306592055,18497.5289268125,18695.0695190377,18211.4390785108,17744.3952351356,17372.8870648224,16559.0323295924,16029.470747158,16347.8654071605,17011.7365445013,17914.2749847796,18747.4476012625,19355.9419108185,19775.7621850574,19823.0642069569,19589.3658025548,19320.423100856,19249.1237063318,19543.0613596505,19708.3467018168,19481.579082997,18559.2886800463,17747.5558374863,17646.8769881954,17766.9056553706,18251.3702898237,18792.0835280121,19377.4674466438,19353.0455135506,19060.1333816664,19188.6886222469,19646.1081730009,20229.9477575864,20468.8259631981,19963.8380036801,19136.2396600422,18886.6916955658,19220.8307323897,19375.9221467817,19130.5240962682,19018.3512526897,19274.8487713933,19545.4952122039,19705.1066220927,18896.1364002246,18184.7262080536,18343.201901402,18470.9312641831,18538.0222438435,18767.4043785428,18708.9676714372,17976.4926508534,17028.9068460201,16820.8328349417,17284.1921494934,17522.6602511888,17388.6027338231,17121.6355365674,17130.1863916463,16862.9823505149,16644.8366507361,16491.5723031998,16329.5829488811,16321.7022616192,16751.5717576992,16986.1492162517,16621.5563692206,16146.657171611,15643.2586885725,15231.0908116985,14784.4979406475,14271.7551673977,14197.3605245494,15052.3335182528,16295.2407446034,16769.0475299238,16229.9961361326,15993.3644293547,16560.768177186,17293.2944103041,17469.9110552312,17007.15171466,16892.8879523151,17561.7924221332,17696.4153000687,17569.44550299,17592.4018412454,17106.8719551474,16707.541640958,17100.114587678,17411.4712090202,17393.9031481442,18000.7828932305,18620.1278733529,18355.5612511737,17710.5035001386,17124.137931143,16590.5618492352,16386.8488457525,16340.5199176715,16861.4716808759,16880.049777214,16785.3873185988,17441.062332051,17890.5085718182,18013.3275092133,17573.3516362282,16513.5260590475,15966.9708392042,15757.6071173346,15230.9815921306,15046.1907550186,15558.8408959554,16118.7716881753,16519.5154208823
"5",26210.6229669995,26210.6215895854,26210.6203745605,26210.6193027804,26210.6179879643,26210.4113086689,26199.2758048822,26070.9657000844,25912.9867227649,25907.4993289203,25852.7772257681,25671.0667845714,25221.1979352927,24410.1476632092,23850.300400448,23746.7116612867,23574.0478344869,23008.6521610405,22063.1805797867,21485.4971519166,21436.4817963655,20835.3475755941,19978.6015843224,19962.4093289003,20431.3056330854,20503.2578147162,20364.1537082622,20815.3043320058,20998.8750395204,20961.1373106138,20889.2276782874,20455.7629579204,20409.2510501593,20695.2491369334,20936.3548677047,21469.0136838109,22005.2751235567,21827.1639907084,21246.1160918532,20686.2964384471,19704.0075759143,19021.5551179783,18468.9954624861,17923.150606026,17924.0810616519,18525.6577099292,19172.7758447585,19804.7501572793,19643.2913719096,19081.9496391003,19283.7860702592,19694.3555935399,19838.889941605,20036.4080059779,19793.1721133714,19475.1663977365,19501.4488669539,19452.9773402445,19368.248951285,18831.6593462467,18308.5131125537,18109.8027524058,18489.1660350874,18775.4673637856,19286.5434605584,19812.7074106993,19932.4289963904,19404.7701973838,18857.9254645896,18836.7503832008,19089.738322293,18931.6530459804,18448.3943333695,18194.4592273866,17461.5871330813,16769.0078684327,16652.439548066,16846.2163248462,16574.2228097609,16013.9960729863,15908.1273003518,15829.9316080848,15612.0369320677,15668.0766144344,16147.8261919198,16718.7772003619,16794.7946812895,16593.801232305,16336.1354198909,16605.0596063568,17158.0512545051,17274.6131110264,16680.8733672926,16208.9386053222,16368.7763640183,16559.7813998825,16671.3370423919,17503.0918079941,18334.9203623314,18931.6316539805,18954.5423959145,18464.6577397218,17973.5745011405,18065.0382424178,18211.4607899222,18079.068289389,18483.3841468323,19038.3988952804,18942.0786241202,18559.0050783733,18513.5005164318,18651.0306401071,18287.8360092298,17659.7984739326,17894.4514408124,18599.7785582707,19227.0617867427,19689.471751212,19820.8786442207,19571.1962010267,19393.4914457747,19715.4715430381,20088.7694248148,19749.9786748821,19469.1045381267,19809.6094285917,19683.5677435097,19332.7691843937,19262.6668851367,19080.9615912555,18738.7081593101,18510.3242199897,18663.8183684064,19160.652746533,19539.4227585723,19488.4027913656,19109.2132085224,18807.1016880995,18352.1097573799,18223.6034970039,18136.9337686346,16983.8140046984,16295.8515591495,16580.9302954203,16949.0121270818,17571.6476681434,18213.0770495754,18223.6049781725,17667.5099275421,17559.229358106
"6",26210.6229669995,26210.6215895854,26210.6203745605,26210.6193027804,26210.5860715279,26193.9965621349,25941.2608828155,25580.5999208228,25513.1889981067,25520.4565050659,25490.5870152209,25191.5002808673,24511.0483724299,24057.0383814261,23950.5787189985,23687.7319369025,23339.8515354733,23315.9241045045,23413.0091142933,23453.633597578,23304.7944702688,22972.9199797636,23068.6118645835,23365.6521008927,23662.4274848275,23941.3976265916,23997.4832401844,23733.995392586,23623.5322440615,23803.5629434686,23880.3490210419,23756.5360696127,23502.8680591799,23144.2252825843,23016.3315026009,23127.6458244854,23065.5592035806,22480.3567599879,21696.7844649238,21637.8133946447,21993.0919895696,22360.1612962896,22362.1117573043,22004.2011826404,21641.1568402034,21438.2748615418,21539.6674967452,21613.5763249295,21766.7514873349,21796.8794726446,21572.7739644438,21277.2065223765,21413.8253223097,21520.4003227867,21851.897269133,21965.8092035056,21860.6665759314,21918.9292275771,22036.6940442428,22194.2689633165,22094.956870377,22060.6232722708,22056.9505160972,21901.4421062192,21750.5683663192,21423.1212607219,20437.2898114366,19827.3177391947,20307.1470270955,20900.3166038451,21166.1783876029,20746.9404307701,20286.6852966779,20561.1901194949,20898.3966000857,21027.2503550752,20728.7228106482,20411.5331415324,20491.8929787312,20700.4131183531,21100.7588818189,21547.9023422957,21963.7264325313,21811.7484789812,21419.7650892367,21527.001688899,21588.6694283675,21037.1323273148,20601.4396577607,20991.7675861742,21155.5890661256,21155.649631226,21525.3924660386,21621.9783757485,21575.3978295716,21462.8673152191,20569.228310262,19789.1021729378,20004.9127027535,20139.3974067607,19523.3648820621,19198.6507541977,19149.6482590234,18613.7470316536,18478.8410398452,18782.9941338452,19187.5716524943,19233.2301796208,18476.6003924942,18005.1292831023,17986.3400027491,17751.6611881388,17742.5008938155,17671.8236280096,17307.2739791791,16733.2156523286,16231.2718508019,16311.075808927,16738.9592291173,16811.0676279294,15919.8996283819,15792.6481857181,16673.7972318936,17457.4436613869,18154.8129607698,18622.2173554741,18930.0708296922,19653.0610379364,19986.8726664686,20057.3102285862,20499.7166497328,20700.3047667559,20354.7578240573,20341.3037302258,20864.6097009578,20922.2908214639,20061.4815199887,18892.5072769861,18465.762940945,18907.3763211322,18779.0383651209,18168.721882538,18125.2859550291,18124.6647964557,17248.8890160883,16745.4894855753,17110.7644671513,16855.4023306714,16601.320476673,16742.9275304907
"7",26210.6229669995,26210.6215895854,26210.6203745605,26210.6193027804,26210.5893082636,26195.6665527793,25970.1507117603,25665.7009247222,25492.8056785753,25032.7258197381,24606.551872973,24387.9269581469,23884.1431430199,22978.6379921117,22189.9212566027,21813.5143370385,21398.1685812373,21151.2218453218,20846.6001459941,20752.0777967229,20952.9807234112,21295.0253056508,21371.8464730629,20990.4378698359,20717.9380262776,20155.2849988962,19620.1708496763,19697.9498758355,19756.1498879404,19843.0006362816,19624.2610782149,19410.6966881518,19612.6989705516,19577.7974718719,19791.2851874846,20316.9427281021,20330.1429452752,20156.505901544,20657.6536123007,21255.5363005597,21717.5542788268,21883.5190470974,21906.9920925927,21763.1662299517,21357.5283385944,21513.9034768214,21794.9052207663,21945.1701411354,22210.8498690637,22071.4841350819,21614.6113554328,21521.0724101428,21119.3427072192,20733.153881683,21098.827446545,21376.2947416764,21550.4877721533,21567.9358009015,21439.2982987122,21455.6380422282,21474.8415882918,21486.518978817,21471.1459361609,21460.8372327588,21161.7794403451,21011.5894616433,21038.2365448308,21448.4726076971,21734.1871955251,21313.546168231,20867.4849212828,20993.0046229134,20652.5422447204,20085.9442006064,20260.2035525349,20796.9185710999,20790.4924965388,20142.1911411242,19689.9267599926,19402.1087239093,19389.0631588011,19531.302909081,19259.7045342898,18665.1966683337,17701.2408076672,17490.7020626205,18139.4157012968,18852.896320782,19065.3931890469,18150.4950068104,17538.9099716447,18135.6311642653,18539.3850384679,18372.0444685809,18478.1655189739,18800.1781841682,18836.7067847661,18925.3007104108,19429.2189833578,19529.7594325736,19106.1368822498,18774.8553504381,18828.0233904426,19337.2950257335,19455.7560873124,18991.5337775461,18377.6956855918,18133.6789709091,18273.4542695931,18776.4564590186,19244.2769554758,19188.6993259889,18638.4997480361,18014.6067782544,17621.5648020302,16985.7477745151,16920.3146673617,17699.3736829492,18036.8163906944,17825.5878563734,18211.6412701861,18622.4707431317,18434.8744357633,18392.6763201307,18723.7046580054,19184.3136044308,19830.8554197077,20166.7372437532,19885.8367304132,19608.5660678813,19996.5827547675,20656.3047363617,20691.7212157449,20154.206097586,20218.4433760229,20597.0171468472,20907.517288202,21243.9103276705,21177.1524588809,20402.9347660837,19267.2156149333,18552.8201145523,18081.3756837433,17436.6889542847,17111.5844777178,17216.9422956114,17694.9545330255,18061.213644472,17865.2912365615,17656.6840819267
"8",26210.6229669995,26210.6215895854,26210.6203745605,26210.6193027804,26210.5806797235,26191.1085101897,25838.4152678406,24516.6775188459,22857.6979555468,22218.3473711051,22111.7576981713,21543.1245308348,20885.1278472131,20688.6157419426,20500.9236402697,20337.0722560122,20535.7671898609,20920.0477836586,21004.2602276871,21010.1612983447,21125.4800851973,21264.630155547,21667.6564883565,22083.4499528312,22497.2583242326,22804.5828250136,22888.5573517395,22408.5905691217,21496.8831429448,20957.0729931126,21026.1217325006,21260.2860324556,21432.4468382432,21072.2750138973,20882.1212022094,21320.1273137666,21813.644229089,21401.5044196816,20341.3524352499,20198.2162741937,20566.7530909649,20756.6880995791,20742.8458964014,20982.9272865274,21502.6173965183,21555.7998867353,21152.7627998875,21129.7363889611,21384.2137660476,21715.1762152499,22138.6717008074,22427.6221278565,22586.8444100864,22712.5739807072,22290.0154748343,20936.6999312248,19600.3970970796,19352.370139517,19562.1002159054,19562.5099189749,19097.8225035907,18478.6782841128,17820.7180756519,17572.0665149552,17162.4019111842,17110.2704826696,17245.1877771237,17175.3129679252,17340.8883690982,17450.5510302883,17893.1456692662,18423.6057970166,18558.8613327457,18844.1369089394,19625.9646141549,19956.3610414728,19991.1443095138,20567.5763953355,21249.6539110661,21830.9792622237,22057.2529862315,21929.1700333133,22017.7818847076,22075.2093539247,21349.467086115,20622.5452112995,20237.8141318091,19825.1069572874,20115.3730603886,20131.3391914282,20150.7960461181,20694.7693367064,20727.984065075,20133.9116445302,19996.984842294,19995.5266835198,19443.6756409773,19028.5775904689,19417.8336729397,20147.6614795427,20838.0891492019,21475.8750263909,21878.1265382571,22036.2796460691,21658.8770567605,20630.4921126373,20200.0955420202,19661.4103222976,18967.4405852949,19433.343974733,20171.999454321,20575.8405555863,20659.3884424713,20622.1325193721,20295.3192816371,20240.7691523449,20354.9687032589,20212.1878320732,20241.7431155716,19742.7572464785,18547.1388832701,17948.6796612506,18279.5546312303,18897.387961347,19384.961199015,19497.0242264873,19250.1911812549,19107.5445893365,18827.8660731726,18421.3269402304,18502.2278249308,17760.479430857,16776.5600705354,16363.4501799339,16279.237671785,16604.1639657256,16836.5250897963,16298.0270954549,15851.6786440369,15605.9209693054,15792.3009152044,16412.313402961,16652.6414339633,16910.0301946606,17408.2947208098,17351.7259201851,17479.8433172586,18153.7384027121,18251.2038847934,18041.8587216584
"9",26210.6229669995,26210.6215895854,26210.6203745605,26210.6193027804,26210.5475405343,26174.0925314473,25584.7120819406,24222.7480741502,22726.2335934038,21690.7471170449,21102.9509830518,20798.3862280789,20721.9486065204,20602.4511353719,20814.4155655573,21055.8119279361,21112.8677915711,20519.5540442804,20179.5156682377,20506.9988768741,20810.2711497616,20702.1874018493,20304.9354710509,20230.1273166994,19920.8380634318,19481.7574657139,19796.8712830343,19945.4640881878,19814.8929675884,20057.8619507895,20396.0050660136,20373.3443016001,20279.182818432,20170.9655430971,19599.5844474774,19086.5975261467,19178.610882863,19035.2155273186,18574.641183289,18278.5420700363,17771.1752362368,17997.8120758646,18270.2513238972,18348.8722431492,18263.4322780708,17821.9713677754,17887.297584204,18181.0613605549,18772.9875709084,18792.5394175907,18722.8756149252,18963.3489234401,18975.1742398046,18802.8400428528,18883.8201941033,19625.1879653104,20382.6559291096,20298.2319864053,19607.0678059321,19432.3609047458,19696.215474691,20071.2490592918,20052.7806856216,19684.9157388805,19551.8129638127,20122.7523137562,20263.2970596194,20207.1055803133,20740.1965494981,20875.4838515305,20395.9959327314,19847.0182954304,19168.7731406798,18458.1247566905,18226.3000748114,18639.2314233739,19210.1955403037,19399.0091490634,19331.8203969803,19208.5452000694,18885.2039922533,18598.1404287082,18678.2648648701,19103.5476857292,19495.7860421889,20011.6697244971,20105.8057021077,20253.6139908821,20667.5061747881,20512.6812792308,19661.4274117004,18911.8067184426,18896.5538431086,19241.1516629666,19529.8878893999,19977.1965439218,20167.884951121,20043.6947836181,20419.8183725187,20894.0061580236,21275.9261971048,21568.6141958962,21171.2879697447,20611.5520079234,20173.4304422817,19764.3464822415,19995.6092108169,19995.772543286,19634.6325682691,19017.0864059384,18772.452362388,18725.4020389829,18411.2652041956,18437.5164833895,18567.0321091124,18553.4992482651,18657.6738277081,19343.8623623118,20118.4577676112,20374.2247719026,20191.7274715004,19613.3348542319,19036.317126023,19476.8096959909,19538.8924391385,18640.3935913381,17625.8255643829,17619.023389194,18158.6888753243,18650.8212293889,19413.7806685858,19908.9882104486,20172.9143253917,20360.5116269338,20255.0496003722,20255.3060056953,20179.459048974,20328.0529540336,20562.9889977713,20262.1609346639,19926.5522158205,20310.7461643706,20931.1726027885,20951.2808556852,20621.4864250852,20893.5368523739,21273.5723787689,21341.9549673855,21441.1837793065,21909.3830262306
"10",26210.6229669995,26210.6215895854,26210.6203745605,26210.6193027804,26210.6102332028,26206.4366650883,26143.5593727427,26035.5680994964,25594.408788049,24968.5568896071,24444.9401105937,23316.6652354449,22036.6411510706,21532.2109478324,21374.8769764623,21150.5278026335,21259.6827340303,20750.2048988667,19814.1210729057,19009.5895951046,18600.9010309282,18648.1810914393,18313.7259212004,18188.0599617073,18512.5938033442,19033.6918905803,18795.834218203,18440.4807861382,18914.1899935525,19167.4440288414,18933.0590817655,18406.9059074445,17909.4773253495,17570.4598686582,17391.2512930443,17181.8444290672,16948.3736132924,17637.3464569942,18534.7148473675,18894.0804463914,19090.369094058,19441.6998051464,19597.861720904,19902.486983245,19903.6620586669,19702.5404946711,19820.4528686758,20264.1636324026,20755.5435813071,20783.8495125298,20405.9425381805,20369.1514843852,20371.6016441389,20222.6539750091,20208.6447348863,20729.3168199279,21305.7657686916,21375.7913167902,21172.8285688285,21040.5566215551,20716.0873085265,20657.7233651451,20777.9046852127,20466.118059324,19487.7230561325,19022.6909714928,18785.2244449613,18593.9469735052,18686.9567901432,18686.5717175627,18421.2658470745,17696.8726719937,17859.7514152198,18410.729103916,18193.7468745815,17816.5641793085,18063.2076738169,18193.0300312873,18149.6176425743,17812.9690465033,17695.2228086983,17259.3120038231,16686.4992279054,16978.4090674446,17840.8102908569,18698.736847054,19423.7768912478,19689.271236829,19657.4203178152,19170.478144093,18648.1967832476,18561.8606512696,18079.9912010229,17709.2881775096,17649.1094802808,17727.7827955661,18202.357007988,18961.8565444832,19667.7153646139,19947.5384024942,19868.154534827,19982.0366464326,20500.0529092956,21177.6346243537,21675.4992146748,21615.1048709065,20951.3165800689,20007.7783571714,19475.8212004761,19807.509149844,20151.4965804155,20105.4175884348,20208.6441440993,20769.7709057115,21365.1386361035,21871.6631551432,21939.9752346211,21909.8425883455,21908.7698428039,21547.5785583237,21322.7913560112,20760.8560412726,20115.9113230115,19635.3913489059,19015.3353694805,19232.3518982959,19477.6479110437,19498.6552933527,19354.6946541124,19158.1151583885,19544.6074990674,20213.0759638943,20320.4364855656,20146.7367977301,20154.3941005842,19551.5775656743,19140.1907943294,19347.8798265664,19325.1988120143,18866.2277154681,18467.6149763771,17978.9942504057,17472.8243136204,17171.6155356314,17119.2939232815,16987.1934463935,17396.757033231,18221.5320839004,18832.7562428723,18876.3963126662
