"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"1",1,26210.6229669995,0,26210.6229669995,26210.6229669995,26210.6229669995,0,26210.6229669995,26210.6229669995
"2",2,26210.6215895854,0,26210.6215895854,26210.6215895854,26210.6215895854,0,26210.6215895854,26210.6215895854
"3",3,26210.6203745605,0,26210.6203745605,26210.6203745605,26210.6203745605,0,26210.6203745605,26210.6203745605
"4",4,26210.6193027804,0,26210.6193027804,26210.6193027804,26210.6193027804,0,26210.6193027804,26210.6193027804
"5",5,26210.5853801852,0.0274724635384851,26210.5406884958,26210.6173711211,26210.5853801852,0.0274724635384851,26210.5406884958,26210.6173711211
"6",6,26193.6088567423,14.1413336732864,26170.6222046131,26210.0729868281,26193.6088567423,14.1413336732864,26170.6222046131,26210.0729868281
"7",7,25919.0902591306,229.597755990655,25556.9287258763,26186.7396076508,25919.0902591306,229.597755990655,25556.9287258763,26186.7396076508
"8",8,25284.6956972529,664.330804446367,24288.8821992067,26063.0012399521,25284.6956972529,664.330804446367,24288.8821992067,26063.0012399521
"9",9,24596.6439878094,1237.12747460674,22755.813074886,25892.2892177734,24596.6439878094,1237.12747460674,22755.813074886,25892.2892177734
"10",10,24101.6974005526,1605.26069311846,21787.7753349914,25884.9158066298,24101.6974005526,1605.26069311846,21787.7753349914,25884.9158066298
"11",11,23791.6014872605,1695.8744925402,21199.0334781077,25771.2844283949,23791.6014872605,1695.8744925402,21199.0334781077,25771.2844283949
"12",12,23416.6615419753,1677.83350720437,20939.3018769482,25563.164321238,23416.6615419753,1677.83350720437,20939.3018769482,25563.164321238
"13",13,22979.0765520022,1596.79141025971,20758.6639356763,25061.4142836486,22979.0765520022,1596.79141025971,20758.6639356763,25061.4142836486
"14",14,22621.3047178506,1390.13096077002,20621.8381718503,24330.698074808,22621.3047178506,1390.13096077002,20621.8381718503,24330.698074808
"15",15,22411.3799478058,1251.8703059493,20571.4593234594,23928.0160973247,22411.3799478058,1251.8703059493,20571.4593234594,23928.0160973247
"16",16,22200.0614028551,1236.2006799981,20498.7886821951,23733.4412233002,22200.0614028551,1236.2006799981,20498.7886821951,23733.4412233002
"17",17,21879.6047938099,1178.95855549598,20368.3493347998,23521.3536672089,21879.6047938099,1178.95855549598,20368.3493347998,23521.3536672089
"18",18,21426.856899852,1207.04027157031,19941.3795359191,23246.7879172251,21426.856899852,1207.04027157031,19941.3795359191,23246.7879172251
"19",19,21093.6536886928,1248.60263138241,19578.5275320893,23122.9185353107,21093.6536886928,1248.60263138241,19578.5275320893,23122.9185353107
"20",20,20961.2239338384,1308.7385441353,19048.7690141783,23163.850035017,20961.2239338384,1308.7385441353,19048.7690141783,23163.850035017
"21",21,20887.8972573544,1455.77984647329,18526.5174177271,23074.7427438871,20887.8972573544,1455.77984647329,18526.5174177271,23074.7427438871
"22",22,20779.6154655384,1349.63360861397,18541.4800615369,22723.5897646273,20779.6154655384,1349.63360861397,18541.4800615369,22723.5897646273
"23",23,20614.4680023122,1408.29960832846,18450.9601385022,22753.3969049325,20614.4680023122,1408.29960832846,18450.9601385022,22753.3969049325
"24",24,20592.3515781819,1585.15694761549,18369.7995366032,23077.1566175789,20592.3515781819,1585.15694761549,18369.7995366032,23077.1566175789
"25",25,20711.4351082548,1675.92194095261,18489.7010399967,23400.2644236936,20711.4351082548,1675.92194095261,18489.7010399967,23400.2644236936
"26",26,20800.3242828642,1705.50096316757,18791.0826396921,23685.6142962365,20800.3242828642,1705.50096316757,18791.0826396921,23685.6142962365
"27",27,20835.4138587884,1717.50339816914,18918.7068310051,23747.9749152843,20835.4138587884,1717.50339816914,18918.7068310051,23747.9749152843
"28",28,20872.3128810984,1597.74353255207,18723.4113313201,23481.2068362685,20872.3128810984,1597.74353255207,18723.4113313201,23481.2068362685
"29",29,20949.2732571418,1456.54115808568,19103.6309697898,23438.3579755102,20949.2732571418,1456.54115808568,19103.6309697898,23438.3579755102
"30",30,21078.7002942413,1456.43362080919,19319.4442655154,23628.0606974398,21078.7002942413,1456.43362080919,19319.4442655154,23628.0606974398
"31",31,21105.9233961082,1488.60227052105,19088.5795309666,23723.5218316218,21105.9233961082,1488.60227052105,19088.5795309666,23723.5218316218
"32",32,20892.4288312435,1588.55345130915,18632.7588331037,23622.6432704885,20892.4288312435,1588.55345130915,18632.7588331037,23622.6432704885
"33",33,20650.1992068775,1745.57567069082,18158.2365927645,23422.5494472438,20650.1992068775,1745.57567069082,18158.2365927645,23422.5494472438
