"","t","meanAbun","meanSSB","meanCatch","cumCatch","meanSizeExt","meanSizeSSBExt","meanFecExt","totalFecExt","meanSizeSurv","meanSizeSSBSurv","meanFecSurv","totalFecSurv","name","isAllee","resDens","fishDens","resDensExt","fishDensExt","resDensExtSD","fishDensExtSD","resDensExtQ025","fishDensExtQ025","resDensExtQ975","fishDensExtQ975","catchExt","resDensSurv","fishDensSurv","resDensSurvSD","fishDensSurvSD","resDensSurvQ025","fishDensSurvQ025","resDensSurvQ975","fishDensSurvQ975","catchSurv","cumCatchSurv","cumCatchExt","propExtinct","ssbDensity","catchHa"
"1",-74,40344814.1809491,1285307.93626493,26210.6229669995,0,-1,-1,-1,-1,17.9164576336845,164.832577885363,50837.8809258224,410208971861.104,"Fert._0.775_NC",TRUE,NA,0.17137439150199,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.17137439150199,NA,0,NA,0.17137439150199,NA,0.17137439150199,26210.6229669995,0,0,0,0.17137439150199,34.9474972893326
"2",-73,32588511.2155454,1285307.90586908,26210.6215895854,0,-1,-1,-1,-1,20.2208950682869,164.832576827587,62937.663512521,410208950651.603,"Fert._0.775_NC",TRUE,NA,0.17137438744921,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.17137438744921,NA,0,NA,0.17137438744921,NA,0.17137438744921,26210.6215895854,0,0,0,0.17137438744921,34.9474954527805
"3",-72,31363532.9263251,1283059.61380337,26210.6203745605,0,-1,-1,-1,-1,20.3315262496743,165.035727251131,65394.3882056398,410199809536.894,"Fert._0.775_NC",TRUE,NA,0.171074615173783,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.171074615173783,NA,0.000236993562369548,NA,0.170650276179426,NA,0.171371026022785,26210.6203745605,0,0,0,0.171074615173783,34.9474938327474
"4",-71,30878810.6979098,1263197.5451612,26210.6193027804,0,-1,-1,-1,-1,20.1318501768865,166.514360958689,66368.9775150489,409879018580.206,"Fert._0.775_NC",TRUE,NA,0.168426339354827,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.168426339354827,NA,0.00212578235903343,NA,0.16500345453558,NA,0.171198709803366,26210.6193027804,0,0,0,0.168426339354827,34.9474924037071
"5",-70,35465207.7385003,1231846.90962505,26210.5853801852,0,-1,-1,-1,-1,18.2546340354606,168.030104966937,57518.5705674503,407981610799.243,"Fert._0.775_NC",TRUE,NA,0.164246254616673,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.164246254616673,NA,0.00500778042762714,NA,0.156057981820174,NA,0.170058210920288,26210.5853801852,0,0,0,0.164246254616673,34.9474471735803
"6",-69,33098507.9505157,1193461.54175138,26193.6088567423,0,-1,-1,-1,-1,18.849293353884,169.126892189202,60939.3405223273,403400249355.486,"Fert._0.775_NC",TRUE,NA,0.159128205566851,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.159128205566851,NA,0.00879277863121719,NA,0.144917617895414,NA,0.16946751942317,26193.6088567423,0,0,0,0.159128205566851,34.9248118089897
"7",-68,31911546.8876694,1164664.86392443,25919.0902591306,0,-1,-1,-1,-1,19.0409604639602,168.888541726645,62143.5565530832,396619403742.05,"Fert._0.775_NC",TRUE,NA,0.155288648523257,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.155288648523257,NA,0.0113172904042437,NA,0.137079936639259,NA,0.168983702762502,25919.0902591306,0,0,0,0.155288648523257,34.5587870121741
"8",-67,30343107.8743499,1139949.15369993,25284.6956972529,0,-1,-1,-1,-1,19.3802536508363,168.722055490357,64143.4983214722,389262617801.322,"Fert._0.775_NC",TRUE,NA,0.151993220493324,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.151993220493324,NA,0.0127109883723156,NA,0.130514378852204,NA,0.168230282215374,25284.6956972529,0,0,0,0.151993220493324,33.7129275963372
"9",-66,33452392.0618707,1119418.18504863,24596.6439878094,0,-1,-1,-1,-1,18.1120713071918,168.661442672338,57172.4078958163,382510760810.408,"Fert._0.775_NC",TRUE,NA,0.149255758006484,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.149255758006484,NA,0.0125190865883974,NA,0.129648133078078,NA,0.166976128821861,24596.6439878094,0,0,0,0.149255758006484,32.7955253170793
"10",-65,32608737.6696263,1098273.53155934,24101.6974005526,0,-1,-1,-1,-1,18.302588073523,168.785920333429,57676.8673504811,376153967407.535,"Fert._0.775_NC",TRUE,NA,0.146436470874579,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.146436470874579,NA,0.0115079285546912,NA,0.128058272168253,NA,0.163091495822168,24101.6974005526,0,0,0,0.146436470874579,32.1355965340702
"11",-64,32163324.7732358,1083620.8214586,23791.6014872605,0,-1,-1,-1,-1,18.3553307015044,168.216645207185,57485.5778193139,369785461835.942,"Fert._0.775_NC",TRUE,NA,0.14448277619448,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.14448277619448,NA,0.00977612464335885,NA,0.130026784886626,NA,0.157703792766975,23791.6014872605,0,0,0,0.14448277619448,31.7221353163474
"12",-63,28707158.4964918,1071664.93643566,23416.6615419753,0,-1,-1,-1,-1,19.480815350485,167.745774087192,63366.4132873217,363813933918.669,"Fert._0.775_NC",TRUE,NA,0.142888658191422,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.142888658191422,NA,0.0090469921157095,NA,0.12878258449279,NA,0.154261033850858,23416.6615419753,0,0,0,0.142888658191422,31.2222153893004
