"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150"
"1",6043575.95640991,3712194.81957478,4803022.62050553,5417530.88212486,5106169.16234211,4331668.1267753,5180324.26733491,5365170.52149191,5354617.17706424,5586198.38122671,5758830.91944514,4551343.20892156,5028140.55532481,5051307.88371692,5230926.82669222,4885843.52050382,4664521.20780374,5412399.2668905,4933880.53464026,4269397.94418413,5578689.84244277,3658801.42637488,4852687.65469046,4130395.83985631,5045330.09375362,4898303.72966475,4097544.80722586,3994610.49146933,5057053.42609282,5648632.37196821,5849124.54637833,4340981.57444039,4466188.51260635,4079121.76878514,4948979.24455342,4265500.16992567,4442498.29198939,4615313.14542909,5281452.55693718,5256999.67228671,5118760.36621835,4930865.12383808,5499605.15086045,4909101.41546096,5687068.62288909,4206450.06212011,4914273.58939701,4514922.09701267,4560364.19218177,5567585.19380142,4987643.31361004,4263407.18104747,5533861.33126326,5261557.29285991,4157948.76635969,4281317.54674713,3654079.17204591,5245701.78390703,5200546.32237834,5463685.76218298,4871563.63520891,4699654.3395479,3973393.22494844,4375033.5646974,4983030.27315784,4744045.34336169,5172529.42426432,3383654.46457218,4531666.4047749,4964768.47571532,3741663.09824461,3504703.56570654,4645720.42325471,5229037.08213888,4164712.72296331,3010628.12595965,4614909.50504825,4917899.32002099,4658611.13126538,4446392.26191463,4843690.87426694,5782271.7845957,3890390.92569558,3702314.04279757,3811771.84208668,4496932.37969032,5100407.59846878,3504786.3869808,4775088.7468606,4234994.96511559,4580954.00544806,5585455.88612248,3272486.89071237,3558195.31581131,4882847.03873901,4733640.42012567,4827667.2376764,4479176.16724395,3847329.70073918,5065782.36433086,5217241.90875453,5140991.70678616,4881587.37040793,4738483.29945988,4899215.11857141,5295023.73765918,4566396.23620732,5085996.01412447,5779905.36073053,4739983.99084675,5489005.70293226,5165888.2741581,5877570.18256018,5070526.53679882,4831666.71583356,4844419.71436193,4638716.82227272,3882074.62717848,4050847.56309157,4864649.89174448,4386099.71265867,4130634.16600384,5098351.46301636,4182208.07781996,4925859.75425708,4920745.17000156,5880040.2505367,4711299.8628198,3782333.70859915,5514573.3387552,4389801.40778608,5272618.28636863,5183732.83307525,5396253.30589414,5279129.67346653,5412165.42089372,5026684.76532573,4556334.71937377,5097473.9949774,4407521.36838751,4043336.03360754,5045741.08539401,5201366.35347111,5461023.09137626,5230817.34594244,5507572.13139399,5195162.68327292,5274603.90817278,4703703.44886166,4614934.78184231
"2",1040294.45609276,639033.798301729,826734.010200016,932519.962535151,878942.54176535,745634.91298896,891684.502304247,923515.398238285,921702.621510633,961560.518217963,991277.29383024,783456.491890052,865495.995340163,869492.649129588,900407.827653938,841018.043443724,802918.927786118,931634.056073057,849289.354943874,734914.068603832,960247.128575044,629835.081578939,835280.964070853,710988.44325536,868446.361555813,843159.001526635,705335.244128575,687603.375673421,870461.460942419,972300.432139378,1006819.19991762,747252.304307586,768772.741321472,702156.011287558,851862.146377487,734243.504755962,764693.884118609,794440.978587774,909095.48873419,904899.768607461,881106.532463818,848764.661885106,946648.481589567,845026.243489143,978912.931880894,724094.555041785,845891.329627555,777171.550169005,784984.963881628,958341.526025516,858545.633710833,733884.025278198,952531.449308159,905689.095151085,715738.595773724,736950.517767254,628997.127551588,902923.6552337,895182.727284214,940471.530018369,838564.811542327,808965.51401114,683963.303631651,753076.665104,857728.512282974,816607.940848267,890350.917483574,582470.865986047,780023.738012363,854588.463848771,644084.71869647,603277.186424907,799656.251098921,900074.702321761,716902.128136901,518248.668226328,794343.701743805,846523.296244643,801902.3501384,765371.720118479,833747.796567947,995297.349420119,669698.564231878,637291.377436769,656126.819283518,774053.879384944,877933.025688451,603317.826167362,821922.203909752,728989.790200885,788523.299537423,961417.701686233,563345.516261318,612474.693300816,840469.828043767,814815.174395352,830995.500770232,771017.534442082,662261.869467037,871960.963391416,898052.758467573,884932.059857895,840283.758881204,815648.671710809,843309.904686112,911436.776385401,786038.304793892,875453.955699637,994894.762724349,815924.404209835,944820.473696048,889222.356402992,1011705.68520989,872816.921205412,831690.404275957,833880.720868835,798476.856985598,668245.015949455,697278.314323891,837347.431863637,754998.598497612,711020.401688031,877572.025292552,719910.76581427,847884.986762144,847019.141871691,1012126.05527955,810989.441608484,651079.73141185,949202.396046575,755648.328514213,907570.61806777,892289.432364482,928865.211116388,908710.855525437,931605.743107299,865262.151272794,784301.377620152,877429.268343289,758690.061926926,695995.687083,868515.407905709,895319.982185447,940013.266074471,900396.940772089,948025.526036179,894261.218998873,907928.008219824,809670.244308651,794380.929632454
"3",7341.35047478401,7328.54056347286,4515.33191907262,5837.78138385205,6579.15977490178,6198.39306604978,5266.49731183892,6293.74265314945,6517.20872608926,6505.71969254223,6786.70576814581,6988.82566451777,5531.30156786498,6107.99139100523,6136.99339568188,6352.29996758655,5933.79500923995,5670.27204198159,6572.00771214262,5989.71240307639,5193.3864023267,6766.08700865831,4451.03912369776,5890.76616175266,5022.36872757035,6127.93683283122,5945.74706136117,4976.87070681112,4858.23559195623,6146.23582180264,6862.69952605718,7096.85662858371,5273.83597386493,5423.11400576734,4959.83644629825,6007.94842968238,5182.43021490254,5397.41290549414,5610.04795246674,6415.43691861495,6385.10819084447,6216.91111296456,5992.82534151044,6677.32462221093,5967.53794639719,6900.15243391523,5113.61687347781,5967.35142895343,5484.68910158157,5545.17360673643,6759.96029539479,6054.69171938953,5185.89583437984,6720.68491946657,6385.34034295105,5051.48913472672,5197.22492278474,4447.48768360573,6371.89503517057,6318.73766169189,6633.68327234663,5916.7203173701,5704.84979936322,4828.8316599304,5317.85209079384,6051.75384096525,5765.11797304466,6273.42946520042,4116.55604129289,5507.158403,6024.16336141372,4543.83208105428,4263.55970195563,5646.52930874921,6346.0523679932,5052.68652951728,3665.9341801154,5607.56171824847,5972.52548175104,5657.81758742627,5403.37664309365,5888.96349263806,7013.53939956912,4724.76601337335,4497.93634254699,4634.06179072518,5465.90203436436,6186.88224209157,4264.37122169384,5797.50502278683,5146.30274231556,5570.16973604795,6772.14629519291,3976.77902181932,4329.54684314345,5930.55064063376,5750.64101280609,5862.42726226775,5437.54582089206,4680.18570069876,6154.42086439236,6337.15352681278,6243.52339254947,5929.05464787064,5756.89034407549,5953.42861597331,6428.05332038194,5549.82201044037,6181.95590857618,7015.34603906199,5761.94603062195,6665.9181796501,6279.10192109408,7135.26258000972,6158.03997898836,5869.27057602668,5883.56168946618,5630.65987570283,4716.62416881397,4925.18252347267,5906.63652478603,5326.55057401956,5022.94806025094,6188.11784712269,5084.36588837856,5983.59169663396,5982.67811174136,7136.27560535272,5717.88267154651,4604.05585768236,6692.57099544108,5337.30175117273,6404.35149574588,6298.03559781351,6554.38054375269,6413.480871881,6572.23510081737,6103.51169085497,5537.71816679949,6188.29494065329,5351.97495535087,4917.09449678705,6130.098973794,6319.71456602515,6632.43739336055,6355.58385436635,6688.53051874625,6311.18873238902,6404.11537936886,5713.27128500306
"4",53167.6389032688,53167.6384937429,32657.6888897594,42253.9727471744,47660.055854838,44920.9271171631,38107.3660850363,45573.2491350363,47199.4398563042,47106.6062662344,49143.9041233892,50662.6207571022,40039.9495807232,44234.4466861281,44438.2775271661,46018.4471855554,42982.6399822532,41035.5781467163,47614.9054861066,43405.2454820794,37559.5469662314,49077.8034307963,32187.9496174319,42690.8906363894,36336.6949615264,44385.6512165185,43092.2488758307,36047.6952133135,35142.1135710602,44488.7796450689,49693.1446040011,51456.9669993198,38189.3308118,39290.7553816803,35885.6033728382,43538.0180063998,37525.2575592192,39082.3413189364,40602.659551231,46462.920856466,46247.8284966542,45031.6894673386,43378.7055713683,48382.0963631374,43187.2588358404,50031.2751156916,37005.8047265544,43232.7059440552,39719.5052860146,40119.2580345926,48980.1242833666,43878.2213717982,37506.8464493474,48683.4315811772,46287.9340192148,36579.1045446682,37664.3751912752,32146.3519115725,46148.3688644644,45751.1877542022,48066.1126486665,42857.0247601317,41344.6556086747,34955.4833534248,38488.819003458,43837.5888554501,41735.1829833415,45504.6925625085,29767.3715482524,39866.7464120421,43676.9402092172,32916.8860550322,30832.2214596818,40870.1233267602,46001.8054450029,36638.6079976729,26485.6902009738,40599.048511941,43264.6198625922,40983.5865463798,39116.6143855042,42611.775956976,50868.806834308,34225.3294345434,32570.6740064676,33533.6034537721,39561.1973902561,44870.202061766,30833.0070764169,42008.2202958476,37256.8856429585,40300.3818514602,49137.3396812082,28789.410069048,31302.78681981,42956.2087329739,41643.6431455433,42470.8226502594,39405.0325992781,33846.4505768169,44565.5648920531,45898.0569340725,45227.2644329144,42945.1934146328,41686.2475427067,43100.2537981681,46582.3230423447,40172.3567005558,44743.4213870183,50847.9987685504,41699.4873246407,48288.8414202594,45446.2993722841,51707.1926417502,44607.3861687489,42506.0215494218,42618.203975447,40808.5664880326,34152.120158335,35636.8410994784,42796.142937282,38586.2090508333,36338.7720203833,44852.0981726272,36792.5150775355,43334.6323439402,43289.668815695,51728.9123807894,41447.1475352149,33274.6685563179,48513.7283925826,38618.8013861645,46385.1933237422,45603.2749226833,47472.8857828453,46442.5184302497,47612.8740512839,44221.6757265658,40083.8308697751,44844.396650517,38774.6723815456,35570.7816767111,44389.2631963608,45758.3934555982,48042.6882660216,46017.5012370689,48452.197175005,45703.8370448274,46402.6953025581,41380.2939056091
"5",110422.456381499,110422.455530993,67828.6477732753,87754.8610600575,98983.1756105022,93295.4486292918,79145.093378084,94648.8648387721,98027.0434238451,97834.4712615624,102065.394231377,105219.646275377,83159.3375624056,91868.7820814638,92292.6502676923,95574.2773218503,89269.9115301822,85225.963948436,98889.2460325204,90147.7677180588,78007.2120896557,101926.834897817,66852.5713414971,88662.1621392482,75467.571730839,92182.2957732486,89497.3207268166,74867.4487801802,72985.843750279,92396.305739444,103205.670767199,106869.369876733,79316.1927489144,81601.7774467484,74530.314520024,90421.9222775473,77936.0198317061,81168.8664700076,84326.3799605849,96496.8165877224,96050.9149964783,93525.2829458825,90092.3034363136,100482.81656928,89695.1696930251,103907.7042639,76858.1262694474,89788.0197008935,82492.8580737249,83322.5670716536,101724.325478397,91130.1989115167,77897.8305655295,101107.820487084,96134.5026728701,75971.4774284095,78223.9938250389,66764.647011986,95842.4356682287,95019.4795575836,99826.9203772538,89009.3172340198,85867.8201857721,72598.9747487987,79935.9296534387,91044.4031899603,86678.9755632603,94506.9792138541,61825.1818868667,82796.8263859888,90710.9634498705,68365.6547105838,64034.9021086251,84880.7215210541,95539.2363468565,76095.0120353082,55008.7931868866,84317.1846996525,89854.7803980075,85118.0289457561,81240.5083233675,88498.7945306239,105646.961384065,71083.9181681612,67645.3901045985,69644.9202498108,82162.7879938264,93189.0154733903,64038.1430857672,87244.2517337805,77378.475488302,83698.382347702,102050.845180957,59794.7004743296,65011.5876945263,89213.0393479894,86488.7525624105,88206.4115828821,81839.6778630999,70295.5422108636,92555.5941834162,95324.2753617512,93931.3939676814,89192.0382613785,86577.2292757269,89513.5813947502,96745.120024983,83433.7631746916,92925.8074119269,105604.035481753,86605.7889177974,100288.92431137,94386.5942295454,107388.451354098,92644.8509070271,88279.9095503762,88512.6002106886,84754.4709653034,70930.5270640079,74013.0083665393,88881.2080583081,80139.2390504372,75471.3325590391,93150.9845385601,76414.4820369138,89999.6654927951,89907.1688575528,107433.267201611,86081.8637022863,69108.3752697334,100754.821453632,80207.6946627358,96335.1296845057,94712.3351278191,98594.9232226762,96455.3711160902,98885.7552881224,91843.2797931113,83249.6002969575,93135.4947393617,80530.9039430538,73876.4426027595,92189.6937875487,95034.207060525,99778.2750245132,95572.7981490032,100628.752942965,94921.4546946705,96372.4306873286,85942.3090271872
"6",114555.524153947,114555.523271513,70402.4747558729,91023.1007588099,102678.842900318,96792.137510227,82119.0987636696,98178.7827553654,101693.378611693,101496.534403155,105882.181128032,109155.38121589,86290.099926444,95300.229703938,95746.778637286,99148.8850574157,92616.4328711406,88419.2625364962,102579.393820417,93529.1516471124,80936.9740608782,105722.243382831,69383.6815636535,91962.8133073301,78303.1444556994,95618.8952008378,92849.3781201093,77681.7381685955,75719.220890789,95838.6991688075,107059.728845499,110866.43469958,82307.6250007109,84654.2177912924,77325.7695110109,93793.3088817175,80863.4024397012,84204.3249376942,87480.0856781705,100098.644782676,99646.4291569177,97027.9733661639,93467.244895646,104235.302541385,93061.2956083851,107785.238851905,79757.1405098492,93138.1141589255,85586.5323804144,86440.614246402,105516.69258608,94549.8786739582,80824.3962131449,104873.157122153,99736.8693277242,78831.640379925,81150.0326913775,69273.0447127645,99405.8656331427,98576.6985008784,103559.447955622,92349.7963041644,89084.4007939485,75327.2367716051,82921.8646267156,94443.0233223423,89926.925104064,98037.8993169505,64166.1505813293,85878.629652361,94099.7307544706,70942.9301578822,66435.2628408274,88040.6291423195,99106.4670264169,78959.2085542908,57085.0897999701,87449.03903195,93213.4559823087,88307.8579554504,84284.4961419991,91805.2992663328,109587.182435699,73772.9852049631,70180.1555340914,72250.0568229633,85227.8135282018,96667.9754906957,66459.0384391679,90490.6829446548,80282.8350988013,86825.980980909,105855.47462441,62067.5433700955,67440.6525322848,92532.3447868709,89728.2332019389,91506.5290937175,84908.1397761382,72936.1691508479,96001.6057542512,98889.9486383177,97448.3535833087,92534.357555953,89819.9299698335,92861.6235216412,100360.303744572,86567.6024551537,96396.1759432347,109546.325932736,89863.0329007223,104031.444356233,97924.3008652367,111397.264792018,96124.6356231128,91587.7796070327,91825.3993542384,87929.887064135,73596.7962337425,76780.7495517579,92195.7685295897,83146.0082779055,78300.0322475843,96623.0485186455,79288.4097972647,93357.1434273032,93272.4345350106,111440.0377568,89321.432822094,71709.0312028613,104500.007322805,83226.7353594529,99927.6505784442,98258.7148505262,102282.098182225,100067.416278543,102585.010206256,95286.7282238384,86372.6659531058,96613.3881431826,83555.5092939972,76647.0796969866,95625.2558795977,98588.9606226819,103509.03414131,99153.5079800349,104391.088234477,98479.0200855418,99978.4181357007,89167.6723865321
"7",78888.3123627576,78888.3117544903,48700.3691968681,62580.822145565,70652.0308092721,66684.7130713887,56623.4618419397,67531.1946627149,70013.5557231353,69896.2650493816,72893.7947121104,75153.3836641198,59536.2805993021,65583.6470681229,65933.5608716644,68261.787888949,63812.2795177113,60910.3435521537,70571.081155952,64453.2921578879,55799.1118484108,72682.9189446225,47960.3151480172,63218.3185740141,53990.7340869066,65762.1406532756,63954.182563583,53570.1411311523,52153.4333080329,65899.71904074,73671.0578563662,76329.0907625209,56821.8642951068,58285.1678773248,53286.3352003313,64509.1691129196,55750.220525709,57970.5082104688,60226.7405368985,68870.3605866648,68623.4941881067,66830.9395500101,64383.4963812417,71728.1620463488,64141.5723026806,74153.2585317315,55062.9072596118,64073.1186578626,58976.2317367223,59522.8184314615,72569.6011861516,65165.6925682116,55727.1709181252,72101.8286287855,68708.941824557,54390.326038994,55872.1926827738,47763.3002336566,68306.774498685,67888.761113815,71291.3018279453,63651.7522265342,61363.7706182754,51941.7574784941,57066.3480604386,64981.0684944733,61950.2402661654,67473.4493468686,44355.0335830087,59032.7518279983,64761.0077658273,48968.9583562365,45772.5922170161,60522.2576178232,68194.8405322608,54474.5021600306,39419.3496485723,60071.5598978943,64162.8385349174,60837.1728791202,58062.098230503,63184.3032662751,75379.1470108384,50980.3783591726,48346.9330135446,49744.5503113527,58627.8301429202,66513.6972134562,45915.9596612344,62197.3971902779,55337.011415165,59760.1102537972,72803.1560991482,42958.821528945,46416.0974576051,63598.2983048405,61805.0187905872,63006.9035252743,58504.3056499607,50286.3311694386,65997.3223913075,68086.1023805029,67114.6385642992,63747.7503859059,61867.5975331196,63933.8500882807,69075.8197041189,59682.6213368418,66334.3655156597,75373.8811388541,61981.1063671869,71570.92570181,67465.4725377164,76646.8646066354,66271.3723323494,63093.9731601007,63234.0895513977,60571.8760854326,50752.934722584,52859.0546011797,63414.2665632075,57302.9749782531,53944.9581290411,66448.7132929239,54687.3541717163,64220.6026770638,64232.2545132562,76653.1746007325,61620.1757275822,49469.0401122514,71801.6963049605,57418.9698702517,68732.354615964,67673.8712893418,70416.3903433446,68922.0685426186,70632.4194523301,65654.9463762671,59524.2383248104,66481.9342859397,57604.7373100735,52816.820017885,65758.3442582272,67878.4388573264,71256.9097326599,68303.2783566916,71862.7359991966,67846.4780711867,68842.4076812118,61458.4089414849
"8",42892.0845274178,42892.0841945043,27301.0719105055,33640.8706548863,38197.1810710216,36366.7246954195,31059.7443312507,36417.8097034996,38001.6014249371,38006.7689345566,39551.139296924,40800.4806050494,32796.1831295115,35490.0936107555,35840.3202350444,37051.01563668,34816.8683097883,33195.4231076904,38106.1519348323,35212.4465105541,30572.7358325671,39056.3492927729,26753.5223383173,33951.1200638835,29609.8645946017,35432.5836811718,34824.1438161239,29408.8927671443,28392.4843781591,35455.3406422958,39846.7342139524,41429.8852171418,31426.3894270176,31645.8891913226,29108.6547907632,34767.2280304459,30552.8249872507,31456.5201788393,32684.7052816659,37210.2830135445,37319.6477136817,36385.1758978286,35072.003248805,38798.4523659282,35082.4676550209,40043.1992696059,30460.3117648943,34587.3237295284,32206.6089796753,32346.9199515896,39101.2742827436,35635.5534201663,30554.700623219,38754.1075805381,37453.5196428877,29961.6618861837,30334.5786642681,26190.4627582613,36577.4217196919,36927.4512130582,38668.7225298789,34816.7267826497,33424.5298084409,28497.2523904224,30885.6835292894,35116.1540118637,33767.0313696156,36534.6123307996,24747.1130607437,31691.5791948901,35058.1814640506,27056.1651577978,24970.4648134562,32503.8670429982,36872.192243509,29993.5534982998,21839.6673389068,32095.4285397072,34778.83869317,33169.0177637542,31643.6007633793,34213.5756530655,40653.0468581728,28385.6788638575,26352.9221787881,27007.8271380032,31634.6450067329,35951.0429191166,25527.6269092746,33369.0766414216,30277.574431889,32369.9363136637,39229.2122477546,24172.8390494695,25136.0013948619,34111.5439243493,33656.3898199248,34224.0964198692,31932.0925603203,27563.8865927053,35453.389056584,36965.4013872474,36517.5551683731,34751.5666912769,33688.2958728201,34704.5537221017,37417.3486872875,32706.8324850608,35883.1556926677,40736.4861079244,34066.332396483,38649.3881237851,36795.3724389279,41422.3645624382,36316.8324624462,34388.8727339458,34376.2892344156,33005.878874495,27861.5990797118,28680.2927820674,34191.6832373794,31324.7825876601,29420.3446038385,35787.2489915157,30057.0051420977,34654.8616072025,34925.279337429,41338.4458885627,33915.5257241238,27224.3433020834,38428.0387939299,31615.7769576023,37058.8458876357,36826.0547598981,38210.8836909117,37514.6828088867,38356.3780105367,35832.9888606496,32529.6311874383,35955.7864101127,31563.4282931807,28845.3228047768,35399.6575467062,36851.0286430395,38651.2474740547,37218.1299418456,38974.616319389,36998.760686168,37402.04610313,33616.7101589641
"9",22264.1850660675,22264.1848877739,16226.8883869124,16500.77109319,19285.1538375438,19151.449958509,16805.263830872,18155.4353268433,19562.5167494964,19737.6120359793,20325.8005298107,21026.2307752181,18088.2801795168,18001.8359301116,18583.2760336226,19073.8593441164,18376.7752011121,17426.1039524301,19120.561409516,18699.6518898708,16455.4979960931,19118.866020503,15579.6013142627,16570.8671223337,16006.3461018046,17585.5816466118,18205.7820379819,15971.4692446531,14828.724886203,17467.2156218354,20161.6171469818,21328.3054446602,17642.3403584903,16316.465758259,15450.8150485728,17279.8927976381,16461.6533869886,16172.3461278077,16813.3889219899,18727.5328011498,19393.1079529607,19008.5065508879,18370.6761072829,19637.8580623498,18730.9557453843,20099.574159303,17116.4947892625,17329.5857194503,17069.6036644163,16750.4694952093,19408.3878030603,19008.6517997563,16498.8410762863,18996.2351287276,19681.0140563738,16525.4468159271,15637.3410585806,14147.817963133,17583.1773984893,19207.6048085684,19839.9419940275,18594.5020479188,17501.5068967515,15432.5794159918,15677.9785696906,17691.7449783558,17738.2015731984,18586.4312756243,14422.7788305314,15438.4198262516,17815.7158408797,15122.5037773107,13170.6942611166,15865.927489267,18624.8782744877,16507.1995307783,12354.1841980659,15245.6290338022,17785.3497216336,17445.7480891293,16612.549575669,17409.1318194354,20274.3263495915,16402.1886868984,13845.3206282663,13922.5990904601,15816.6026536994,18129.0467004118,14657.4964803702,16201.3042388505,16192.2769140189,16497.475230488,19477.1369319183,14586.675719879,12795.9882136107,16538.418668025,17601.4744969014,17681.9782390491,16882.3829095593,14864.8807284001,17328.7489337978,19054.0181805327,19022.5311387106,18267.3839897174,17612.9594441358,17872.5557827258,19073.3706988472,17619.6423825709,18168.0332259022,20533.3431686067,18599.7374247924,19401.6901616898,19384.2893521284,20873.8566457416,19562.580718294,18061.1447890351,17832.654703543,17313.8759292272,15129.4217803887,14738.5436929813,17030.4598568476,16681.6799667456,15496.6871763983,17723.0504785126,16409.4093988178,17332.9445758376,18133.1868885244,20611.9128286338,18634.9874856012,14950.7629841731,18419.8600564577,17402.3309507736,18458.1282177564,19193.6656557284,19646.9291422128,19576.1413702139,19792.5393398023,18939.8450578334,17300.086113399,18186.6928424739,16992.0026123558,15294.1078358139,17491.298025428,18991.0187175803,19833.9033374217,19521.9048191542,19986.7543877326,19480.5123038677,19344.4622812389,17952.9280040048
"10",17113.3000064946,17113.2998612848,15529.5270255799,11255.6666249248,14016.5366161342,15128.25209328,13933.1502767313,12843.2847636588,14793.3529272314,15184.8854251505,15319.741906351,15935.1425558474,15486.498960265,13213.2701454473,14253.0664541329,14425.5329912829,14577.5052282495,13685.0980789317,13716.6365278861,14999.9953825972,13520.242337354,12979.7387926005,14490.988087213,11173.9569173413,13248.9123877883,12318.3092878042,14185.5609465531,13326.4989864516,11533.9207462557,12033.2236451428,14720.3231461788,16130.3971266552,15537.8996519464,12379.1403778722,12383.5824093986,12142.0664176986,13548.3594368444,12199.52702939,12696.7767036812,13521.2626944103,14937.7646567683,14792.1115461943,14367.0795747188,14349.0931724228,15171.0876305031,14430.1170859477,15096.9699976612,12393.946488167,13643.3091901775,12816.068211078,13597.5363955785,15370.1950117344,13632.017818551,12936.4682402117,15483.3496522036,14149.5331086658,11859.0868508663,11696.9393061205,11429.1179056691,14821.2780703288,14904.9497761171,15068.6696540901,13678.5474634596,12814.6336542574,11525.0427888827,12801.0827708371,13947.0738518079,13724.8705052137,13431.0161660615,10363.5046743537,13124.8426217682,13227.046805629,10435.6833481957,10699.5277397911,13549.857760717,14083.0347660723,11010.3795325804,9616.36528868842,13271.5829141071,13749.2449577867,13047.7291794023,12860.8012421449,14352.737556067,15086.9637300889,10890.895269413,10558.2618609813,11258.9169095741,13142.8218449814,13357.8501506551,10789.3350650084,13152.8533950854,12227.7425948191,13653.6062968801,14243.5080343128,9463.60318283688,10975.0745690617,13723.4580514384,13468.0858017996,13433.409668672,12254.6817207685,11722.8371190393,14445.8545537763,14721.4163362189,14381.3731934166,13726.0719253685,13527.1059410219,14141.5463168803,14498.1752159791,13284.3567249606,14872.4918380271,15659.3372165511,13932.1494217433,15322.4851281191,15111.8749236847,16094.067514156,14196.7357636371,13690.5657551261,13577.9512864579,12621.4845296495,11108.3060235918,12023.2097834161,13448.8540741515,12246.9748689257,12354.241432246,13813.1483357153,12348.9154749635,13943.8873318947,14585.5171546954,15855.0329821268,12711.1871475981,11888.2028221799,14849.0340944604,13031.5542505778,14868.6998863631,14823.0091568299,15200.4693153205,15039.179838443,15063.3265296126,13914.7917387155,13270.1665983168,13964.8694602126,12234.0487360504,12130.7476167178,14392.2120992385,14904.6479800728,15306.9943373379,15000.153839801,15382.9397468652,14765.2572334785,14547.9082716419
