"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"1",1,1285307.93626493,0,1285307.93626493,1285307.93626493,1285307.93626493,0,1285307.93626493,1285307.93626493
"2",2,1285307.90586908,0,1285307.90586908,1285307.90586908,1285307.90586908,0,1285307.90586908,1285307.90586908
"3",3,1281347.40165142,3699.18438501208,1277707.30238465,1285315.47755865,1281347.40165142,3699.18438501208,1277707.30238465,1285315.47755865
"4",4,1248600.11527638,32265.9944935017,1217414.6886125,1284826.15920527,1248600.11527638,32265.9944935017,1217414.6886125,1284826.15920527
"5",5,1214128.6847024,50546.1094536152,1165069.66653404,1280594.34146648,1214128.6847024,50546.1094536152,1165069.66653404,1280594.34146648
"6",6,1183094.35844367,70644.421112021,1106807.4546528,1276155.00526254,1183094.35844367,70644.421112021,1106807.4546528,1276155.00526254
"7",7,1158097.99340649,79668.3087843126,1063961.854653,1257176.51367551,1158097.99340649,79668.3087843126,1063961.854653,1257176.51367551
"8",8,1132365.32143219,93729.6753441825,1004713.09411198,1228671.40978748,1132365.32143219,93729.6753441825,1004713.09411198,1228671.40978748
"9",9,1116691.79579281,93123.0522367356,986665.501134999,1202204.26457893,1116691.79579281,93123.0522367356,986665.501134999,1202204.26457893
"10",10,1108124.27245407,95997.2575550179,972035.555576692,1192644.51754352,1108124.27245407,95997.2575550179,972035.555576692,1192644.51754352
"11",11,1107306.77637017,86752.6275523324,989821.391056127,1186303.68120023,1107306.77637017,86752.6275523324,989821.391056127,1186303.68120023
"12",12,1114650.21277125,75402.5009823758,1018440.77093122,1188461.26264061,1114650.21277125,75402.5009823758,1018440.77093122,1188461.26264061
"13",13,1125681.6285577,63948.284429329,1049456.17321622,1194419.21560495,1125681.6285577,63948.284429329,1049456.17321622,1194419.21560495
"14",14,1123607.18564086,63304.9317532761,1053875.78716816,1200118.39087147,1123607.18564086,63304.9317532761,1053875.78716816,1200118.39087147
"15",15,1118547.00988317,68878.5201451737,1043577.06984125,1203776.65968218,1118547.00988317,68878.5201451737,1043577.06984125,1203776.65968218
"16",16,1109806.13613735,77893.7377575774,1012553.46903107,1199046.43685409,1109806.13613735,77893.7377575774,1012553.46903107,1199046.43685409
"17",17,1104077.50276148,88024.0526954649,995012.731158243,1198787.08095647,1104077.50276148,88024.0526954649,995012.731158243,1198787.08095647
"18",18,1096403.84267838,93419.6970508605,977370.613200101,1185133.37106219,1096403.84267838,93419.6970508605,977370.613200101,1185133.37106219
"19",19,1087119.07383729,96601.6757416089,969675.819846629,1163886.9171402,1087119.07383729,96601.6757416089,969675.819846629,1163886.9171402
"20",20,1084421.8588389,97835.2337228087,969142.271987022,1159821.20330382,1084421.8588389,97835.2337228087,969142.271987022,1159821.20330382
"21",21,1078831.77526081,93812.9022604893,972688.853927939,1161365.53007846,1078831.77526081,93812.9022604893,972688.853927939,1161365.53007846
"22",22,1068397.16394911,99594.6806800278,960523.630078371,1167773.06347173,1068397.16394911,99594.6806800278,960523.630078371,1167773.06347173
"23",23,1066208.47165391,96089.3882475151,967272.165234599,1178510.25373635,1066208.47165391,96089.3882475151,967272.165234599,1178510.25373635
"24",24,1046784.73856546,111772.210993032,927076.502361248,1181541.43776226,1046784.73856546,111772.210993032,927076.502361248,1181541.43776226
"25",25,1034895.56763048,109573.257641921,913905.702189579,1163563.49730321,1034895.56763048,109573.257641921,913905.702189579,1163563.49730321
"26",26,1015811.79456519,102066.842281862,916779.222287962,1145472.31049345,1015811.79456519,102066.842281862,916779.222287962,1145472.31049345
"27",27,1009724.4016625,85485.8235116876,913537.158299699,1116851.87576889,1009724.4016625,85485.8235116876,913537.158299699,1116851.87576889
"28",28,1006456.13769553,77656.3462602267,911934.139898802,1101327.10796544,1006456.13769553,77656.3462602267,911934.139898802,1101327.10796544
"29",29,998068.418784577,78682.9954937651,884816.130161745,1077286.57835785,998068.418784577,78682.9954937651,884816.130161745,1077286.57835785
"30",30,985868.791418786,76153.9409906976,880569.112156834,1055017.80404087,985868.791418786,76153.9409906976,880569.112156834,1055017.80404087
"31",31,983327.962053673,76495.9252965607,889302.818501283,1056787.11618401,983327.962053673,76495.9252965607,889302.818501283,1056787.11618401
"32",32,995965.718729648,78193.8217302742,905033.46885553,1080624.23154327,995965.718729648,78193.8217302742,905033.46885553,1080624.23154327
"33",33,1020316.81313357,78219.7422967698,918459.643707958,1104490.36564462,1020316.81313357,78219.7422967698,918459.643707958,1104490.36564462
"34",34,1032156.226277,85337.1037028339,906568.637900596,1107260.99352694,1032156.226277,85337.1037028339,906568.637900596,1107260.99352694
"35",35,1033956.63556755,68896.9844484556,927289.79938496,1080818.67469276,1033956.63556755,68896.9844484556,927289.79938496,1080818.67469276
"36",36,1020947.44871238,46472.5259655961,950876.758261016,1062601.73161505,1020947.44871238,46472.5259655961,950876.758261016,1062601.73161505
"37",37,1011704.92648354,29155.6801602803,989658.489138322,1056931.31112511,1011704.92648354,29155.6801602803,989658.489138322,1056931.31112511
"38",38,998523.469185912,33335.934923363,959177.633230129,1033475.97562048,998523.469185912,33335.934923363,959177.633230129,1033475.97562048
"39",39,989591.463194434,27388.5661529692,956059.409036492,1026075.46861197,989591.463194434,27388.5661529692,956059.409036492,1026075.46861197
"40",40,984343.191890935,33654.2894466215,943848.752601589,1014572.68935561,984343.191890935,33654.2894466215,943848.752601589,1014572.68935561
"41",41,990404.104229529,53136.3741467933,939290.10665403,1050788.48959869,990404.104229529,53136.3741467933,939290.10665403,1050788.48959869
