"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"1",1,40344814.1809491,0,40344814.1809491,40344814.1809491,40344814.1809491,0,40344814.1809491,40344814.1809491
"2",2,26681541.0960184,12761836.5539327,14123542.6164535,40371027.9912452,26681541.0960184,12761836.5539327,14123542.6164535,40371027.9912452
"3",3,32255331.4979887,5842966.56368947,25450360.2682513,39364126.9788732,32255331.4979887,5842966.56368947,25450360.2682513,39364126.9788732
"4",4,35920390.1674347,5080467.06822516,28817885.8479069,40197084.1505693,35920390.1674347,5080467.06822516,28817885.8479069,40197084.1505693
"5",5,34267992.6486529,4510586.3038121,29314501.6437821,39856112.4678184,34267992.6486529,4510586.3038121,29314501.6437821,39856112.4678184
"6",6,29658631.1876051,9528516.72144133,15023833.7584869,37417400.1629412,29658631.1876051,9528516.72144133,15023833.7584869,37417400.1629412
"7",7,34330508.390155,2273457.89220697,32600992.0011773,37758144.5542682,34330508.390155,2273457.89220697,32600992.0011773,37758144.5542682
"8",8,35586396.5290909,4410018.21321392,29546051.0998057,39802843.5812736,35586396.5290909,4410018.21321392,29546051.0998057,39802843.5812736
"9",9,35628722.9713038,4412593.57233213,28974520.3539206,39135601.7754429,35628722.9713038,4412593.57233213,28974520.3539206,39135601.7754429
"10",10,37023066.4629824,1848254.22648946,34199649.5694168,38406799.1478571,37023066.4629824,1848254.22648946,34199649.5694168,38406799.1478571
"11",11,38137819.9681662,831657.594114864,37115864.3555558,39007226.402105,38137819.9681662,831657.594114864,37115864.3555558,39007226.402105
"12",12,31168617.8811971,8519885.07765735,20154240.929221,38963399.218986,31168617.8811971,8519885.07765735,20154240.929221,38963399.218986
"13",13,33592874.0123856,7764295.4083698,22377956.0553444,39742195.5163373,33592874.0123856,7764295.4083698,22377956.0553444,39742195.5163373
"14",14,33766653.5112593,1204473.18277532,32532967.8269955,35478434.5153835,33766653.5112593,1204473.18277532,32532967.8269955,35478434.5153835
"15",15,34818828.2896346,6554201.50154883,24704540.622054,39071548.6184179,34818828.2896346,6554201.50154883,24704540.622054,39071548.6184179
"16",16,32851427.7391093,5190882.94500216,25128699.5290236,37791866.7190905,32851427.7391093,5190882.94500216,25128699.5290236,37791866.7190905
"17",17,31449464.8695165,5336592.52892331,24899871.4660226,38464936.7020721,31449464.8695165,5336592.52892331,24899871.4660226,38464936.7020721
"18",18,35715509.3808496,3373791.22688593,32031894.1304369,39905531.6624338,35715509.3808496,3373791.22688593,32031894.1304369,39905531.6624338
"19",19,33120593.6450019,5702072.03999216,27709388.674734,39289342.333041,33120593.6450019,5702072.03999216,27709388.674734,39289342.333041
"20",20,29126526.8044219,9114097.88016857,16423535.1797193,39028304.8543259,29126526.8044219,9114097.88016857,16423535.1797193,39028304.8543259
"21",21,36537874.9060202,3704799.55983009,31633343.999698,40010392.0078309,36537874.9060202,3704799.55983009,31633343.999698,40010392.0078309
"22",22,25640201.0076732,11021078.4867335,12961379.0981061,37110764.2991918,25640201.0076732,11021078.4867335,12961379.0981061,37110764.2991918
"23",23,32077468.2464792,4003629.91318152,27048885.0828175,37185691.4043192,32077468.2464792,4003629.91318152,27048885.0828175,37185691.4043192
"24",24,28063634.1627049,9565463.37089583,16013972.2107066,37639275.0456332,28063634.1627049,9565463.37089583,16013972.2107066,37639275.0456332
"25",25,33218366.5537301,4148588.36160234,28649586.1110479,38172917.6790875,33218366.5537301,4148588.36160234,28649586.1110479,38172917.6790875
"26",26,32597271.8695687,5389198.88086045,24248555.1295677,36475553.3389519,32597271.8695687,5389198.88086045,24248555.1295677,36475553.3389519
"27",27,27927883.8208956,9699489.99517338,13371631.994251,36974573.4747429,27927883.8208956,9699489.99517338,13371631.994251,36974573.4747429
"28",28,27063092.5623594,9179295.70927495,15551539.3575739,37591154.9018387,27063092.5623594,9179295.70927495,15551539.3575739,37591154.9018387
"29",29,33158373.3073507,5371262.03968263,24863949.4197329,37146875.1261419,33158373.3073507,5371262.03968263,24863949.4197329,37146875.1261419
"30",30,36929243.3365443,3605477.88956843,31483666.9392072,39725363.5007712,36929243.3365443,3605477.88956843,31483666.9392072,39725363.5007712
"31",31,38411080.7389044,1081042.50362684,37101245.343228,39703789.6050455,38411080.7389044,1081042.50362684,37101245.343228,39703789.6050455
"32",32,29777269.1959278,9510094.10143681,15717203.5975436,39146685.1327085,29777269.1959278,9510094.10143681,15717203.5975436,39146685.1327085
