"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"1",1,26210.6229669995,0,26210.6229669995,26210.6229669995,26210.6229669995,0,26210.6229669995,26210.6229669995
"2",2,26210.6215895854,0,26210.6215895854,26210.6215895854,26210.6215895854,0,26210.6215895854,26210.6215895854
"3",3,26210.6203745605,0,26210.6203745605,26210.6203745605,26210.6203745605,0,26210.6203745605,26210.6203745605
"4",4,26210.6193027804,0,26210.6193027804,26210.6193027804,26210.6193027804,0,26210.6193027804,26210.6193027804
"5",5,26210.5602657489,0.0542590068419349,26210.5068733925,26210.6184688108,26210.5602657489,0.0542590068419349,26210.5068733925,26210.6184688108
"6",6,26180.688433023,27.9242485872226,26153.2178663132,26210.6668463714,26180.688433023,27.9242485872226,26153.2178663132,26210.6668463714
"7",7,25714.0409829596,448.409071440475,25276.9315029721,26207.4010694957,25714.0409829596,448.409071440475,25276.9315029721,26207.4010694957
"8",8,24877.3291856503,1014.51130716413,23941.132302455,26145.9395001593,24877.3291856503,1014.51130716413,23941.132302455,26145.9395001593
"9",9,24390.9053513059,1220.76834711509,23082.2118818799,26047.3477206519,24390.9053513059,1220.76834711509,23082.2118818799,26047.3477206519
"10",10,24106.9838296259,1344.65490624213,22501.0897011839,25802.5632129472,24106.9838296259,1344.65490624213,22501.0897011839,25802.5632129472
"11",11,23680.920659934,1545.05932863993,21600.0675907561,25243.1645907045,23680.920659934,1545.05932863993,21600.0675907561,25243.1645907045
"12",12,23251.808342992,1699.08724095927,20838.9160857579,24731.3966582403,23251.808342992,1699.08724095927,20838.9160857579,24731.3966582403
"13",13,23094.6414943348,1623.93842711532,20818.5242645981,24534.1505679618,23094.6414943348,1623.93842711532,20818.5242645981,24534.1505679618
"14",14,23063.6963478148,1582.98618157807,20928.8390643917,24580.2975682411,23063.6963478148,1582.98618157807,20928.8390643917,24580.2975682411
"15",15,23108.234569076,1412.11236200334,21363.2134346752,24574.3928483152,23108.234569076,1412.11236200334,21363.2134346752,24574.3928483152
"16",16,23240.431553372,1233.64517845866,21784.9192258635,24580.455445846,23240.431553372,1233.64517845866,21784.9192258635,24580.455445846
"17",17,23198.7269761533,1224.76766080889,21783.4655335461,24643.1461358408,23198.7269761533,1224.76766080889,21783.4655335461,24643.1461358408
"18",18,22940.2758668057,1427.82676309277,21492.2081200767,24680.288342923,22940.2758668057,1427.82676309277,21492.2081200767,24680.288342923
"19",19,22770.5831795662,1532.07142081924,20940.4064015619,24568.5271377203,22770.5831795662,1532.07142081924,20940.4064015619,24568.5271377203
"20",20,22676.7792250747,1572.49501628872,20843.7358254239,24434.4405328107,22676.7792250747,1572.49501628872,20843.7358254239,24434.4405328107
"21",21,22577.186178601,1710.18548467609,20624.5838391333,24294.4709300054,22577.186178601,1710.18548467609,20624.5838391333,24294.4709300054
"22",22,22375.1247512347,1792.02808794103,20259.6408291307,23883.4386828486,22375.1247512347,1792.02808794103,20259.6408291307,23883.4386828486
"23",23,22255.2155469278,1838.64092746907,20176.3707301748,23717.081750699,22255.2155469278,1838.64092746907,20176.3707301748,23717.081750699
"24",24,22236.9635103536,1768.12538515858,20220.0292465077,23665.9438278283,22236.9635103536,1768.12538515858,20220.0292465077,23665.9438278283
"25",25,22026.2934400699,1810.17376953854,19933.8121391116,23723.0660145277,22026.2934400699,1810.17376953854,19933.8121391116,23723.0660145277
"26",26,21863.9839011606,1910.03585902122,19807.8209422088,23938.0051549512,21863.9839011606,1910.03585902122,19807.8209422088,23938.0051549512
"27",27,21675.4521170506,2026.12510803892,19459.996646277,24047.4888096364,21675.4521170506,2026.12510803892,19459.996646277,24047.4888096364
"28",28,21285.3923677803,2218.09434794429,18777.5809738573,23737.7449209886,21285.3923677803,2218.09434794429,18777.5809738573,23737.7449209886
"29",29,21022.6909171018,1967.15422142263,18953.7028478406,23265.3351983207,21022.6909171018,1967.15422142263,18953.7028478406,23265.3351983207
"30",30,20832.715374631,1681.19274951179,18870.3617326457,22917.2143416797,20832.715374631,1681.19274951179,18870.3617326457,22917.2143416797
"31",31,20839.9508417254,1525.67819546601,18928.9502681064,22613.2006592396,20839.9508417254,1525.67819546601,18928.9502681064,22613.2006592396
"32",32,20709.9864838378,1597.88304893391,18556.1265516962,22354.9575617388,20709.9864838378,1597.88304893391,18556.1265516962,22354.9575617388
"33",33,20370.964277443,1666.06599549477,18034.7144322594,21870.6532775377,20370.964277443,1666.06599549477,18034.7144322594,21870.6532775377
