"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7.5",131788699.850704,125499338.733819,128637949.572943,127583061.323258,129680801.516306,129690793.375325,129924321.943912,126367291.954691,129753432.134086,126290615.011416,128839195.914056,129141545.153066,127007244.020563,132845785.240886,136378015.45416,123073673.350492,126970779.121537,133159116.773542,130518095.962456,127916340.575429
"12.5",22685098.1210193,21602489.365826,22142735.9622003,21961166.9916339,22322253.6090221,22323969.5542379,22364169.5276122,21751892.0978658,22334752.9359107,21738696.2259119,22177384.2728455,22229420.5106303,21862052.9239495,22867044.5266361,23475056.3580313,21184943.0260629,21855765.663727,22920982.0877287,22466369.0659664,22018530.7033472
"17.5",160704.080374818,152644.380215597,155858.154990742,155282.894677392,157696.176343168,157460.710428621,157879.543943582,153697.018017023,157613.385188327,153772.28679353,156558.49941649,156438.59373305,154749.848415586,161234.450721646,165588.824308266,149009.861488926,154053.297398402,161807.654585105,158094.422709743,155413.561900362
"22.5",1163873.76199986,1105489.85594984,1128745.01470584,1124602.10109257,1142075.16434126,1140361.72564347,1143399.44611826,1113113.23506351,1141469.9286396,1113663.9057356,1133832.05328493,1132947.65265022,1120747.12860133,1167690.02516388,1199227.42121027,1079145.26616904,1115681.07711051,1171847.63412297,1144938.98697812,1125539.37271947
"27.5",2417218.35241942,2295962.0555761,2344260.55575865,2335656.48953072,2371945.77698324,2368387.30298819,2374695.97358576,2311795.0193561,2370688.27363293,2312939.18122705,2354825.44373362,2352989.07414655,2327649.79816887,2425144.53429837,2490643.46287467,2241248.15364116,2317127.78281559,2433779.53739301,2377893.61057733,2337602.29255635
"32.5",2507692.1361071,2381893.28440699,2432005.65282617,2423082.59632318,2460729.50119996,2457039.37361569,2463580.49254565,2398321.02946712,2459418.51933141,2399514.2142115,2442962.84385747,2441063.0491914,2414771.12585063,2515918.62359461,2583865.96410694,2325137.50749995,2403849.3441232,2524879.05782096,2466900.42227796,2425091.19024993
"37.5",1726903.84628771,1640248.08476104,1674795.60871897,1668669.78791388,1694591.00930371,1692059.38649914,1696540.99757956,1651574.43830405,1693648.32316912,1652434.6772514,1682321.73249532,1681046.47639132,1662914.44122183,1732591.58667362,1779363.49205074,1601200.99527949,1655356.28736875,1738776.0137679,1698843.47238536,1669990.53990848
"42.5",938888.399334484,891679.640913013,910605.982236211,907347.08993087,921424.758121386,920084.421052385,922434.646987233,897888.558720454,920761.709116363,898501.782050349,914624.350874315,914055.637629601,904098.329416045,942066.130623711,967421.509416216,870591.399248585,899849.652860744,945480.914119378,923747.705300446,907829.479898497
"47.5",487252.048987442,462513.552815303,472694.293707174,471182.042785688,478449.745332206,477844.298153578,478848.161709625,465863.179455604,477729.376137473,466545.256156272,474596.07875492,474612.450805062,469196.904629893,489114.70150535,502089.040488586,451921.992292311,466643.419577324,491017.879003539,479682.646760953,470843.209647195
