"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"7.5",75084767.3281124,86488957.9759845,23421394.9112207,19056961.2858574,30428256.3707398,90868946.7483323,91912886.6088239,12946036.9565116,52401082.0749681,98400504.3958259,41562742.0366628,71814538.7372373,60309917.4420942,81999159.6956673,64152529.2490854,11775763.3517636,76689327.8131369,99715312.8591017,59365247.0326049,48981705.9048842
"12.5",12924506.6291869,14887545.3745572,4031581.87004245,3280325.43077547,5237699.47813362,15641480.189863,15821181.4070051,2228439.49531099,9019932.14370262,16937908.0601678,7154298.99555261,12361603.5895379,10381291.8339075,14114705.3278627,11042728.9207712,2026992.04740629,13200715.6570852,17164213.3785541,10218690.3319623,8431344.2680288
"17.5",90902.4108998079,105347.507255805,28697.8602459538,23610.0389675837,37871.3258382848,110506.112718725,112115.34089076,16270.8845577774,64579.3527644258,119888.243984616,51098.5122878695,87480.1384653634,73806.3445134253,99839.3441228532,78448.5002569898,14500.9442915838,93622.9012423686,120510.916001805,73079.8551858757,60245.8018444543
"22.5",658324.760287817,762958.712381107,207844.226738205,171004.168883722,274302.22819421,800313.140001499,811978.742381071,117855.204023752,467728.043547964,868268.218786636,370086.528315594,633558.042716859,534539.40811148,723065.658266627,568158.038647273,105025.446904657,678052.510446395,872745.692401027,529291.870202828,436337.606735376
"27.5",1367257.62616599,1584568.38512035,431666.814336588,355154.737400578,569691.888210906,1662149.59222512,1686377.594327,244771.224291523,971412.417391432,1803283.38909182,768623.353021559,1315820.59628492,1110171.64756348,1501716.55692876,1179992.76846479,218125.279915832,1408229.37590641,1812583.02168304,1099273.14428448,906218.186931029
"32.5",1418438.9231614,1643874.45827373,447832.337819474,368457.209081704,591026.382677668,1724369.50667205,1749504.63870536,253944.11083022,1007777.98968735,1870782.07334424,797398.662664854,1365080.52907741,1151737.04210392,1557934.15070409,1224164.94991815,226298.755235827,1460940.54633916,1880435.95988504,1140430.21596269,940140.186477132
"37.5",976837.223946997,1132026.24400014,308450.692583367,253794.006962759,407077.933752117,1187521.17732809,1204832.18695738,174947.508693746,694040.563879796,1288324.03539271,549163.791487315,940116.410470878,793215.603389901,1072922.29476073,843051.86729148,155896.776497464,1006082.92767557,1295010.55576179,785426.726194337,647440.97376851
"42.5",531239.447787089,615403.596327244,167904.072105689,138204.826795857,221592.867854191,645811.519078721,655230.342782926,95383.0110100992,377495.198501305,700529.206610939,298725.927098018,511365.743863012,431560.995847922,583564.954668852,458502.595249884,84976.5459324691,547054.080045013,704309.628304579,427316.822981461,352079.355724309
"47.5",276069.675538287,319224.344107484,87648.2682461503,72277.0490822768,115678.063558692,335595.685434882,340501.612804169,50168.1055912484,196300.330734797,363774.545309412,155416.094150274,265982.86261358,224723.637256659,303439.108519753,238321.650837018,44645.2854673869,284062.638494903,366099.134258512,222497.283291746,182909.202650258
