"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7.5",24527960.6755626,25945399.1238681,11028381.006219,13561360.9445003,17380682.8430086,29649682.6143112,25440037.4349392,6885463.63303289,31672389.2236074,38306061.49101,26733582.431055,21413490.2341462,29152690.6823171,41908644.8553731,27983592.5878233,8214599.20036017,41506421.0984068,34929176.5939168,20591386.0318418,20372242.3145831
"12.5",4222456.98269657,4466468.84759888,1898522.62782537,2334575.7941833,2992078.41251062,5104157.58311948,4379477.12875482,1185333.96992203,5452371.14027111,6594336.65422383,4602154.2581121,3686300.45697205,5018598.44932282,7214507.67482765,4817338.81377135,1414133.46537484,7145268.65522438,6013004.60211356,3544799.20553249,3507064.85792467
"17.5",39554.0926537938,41913.9568155527,17828.2934107568,22088.5524844224,28751.7613874921,47936.0123854456,41352.0893358865,11562.1422699101,51520.8288659921,61650.9999217742,43214.777075964,34333.047490604,47017.6083651262,67053.3999496282,45092.0888590262,13280.3513448801,66551.9441277936,55952.370623882,34034.9324674562,33276.5628792745
"22.5",238566.200010118,252800.958292655,107530.348198739,133229.254360014,173428.075445619,289123.357729786,249417.386416989,69745.3228276262,310751.419660326,371838.726494417,260647.339431737,207071.957209704,283581.724729554,404414.33829611,271967.279414312,80099.7265827235,401392.840319936,337462.90266706,205295.120463809,200712.675966448
"27.5",451148.308747858,478066.585654564,203349.634146085,251948.328181651,327967.7877788,546755.921713247,471669.265895473,131895.783758024,587655.667859555,703176.376437985,492905.018875966,391590.54626663,536277.044025872,764780.055968109,514311.803132338,151476.319576171,759064.741724234,638170.245765005,388230.935823175,379563.407500573
"32.5",443997.943028246,470481.783229217,200135.238246675,247963.190151724,322779.526707099,538089.001653845,464198.129297534,129820.90988086,578333.891026233,692019.75518192,485087.705984017,385388.316478117,527783.858502556,752651.978321704,506153.752246535,149086.425149748,747013.835378663,628057.021708685,382087.021970927,373540.267883424
"37.5",296560.762175264,314209.584022567,133721.344853675,165664.656527268,215645.933453822,359400.783605521,310076.396649323,86792.6947346937,386247.181709426,462161.254526606,323979.241664687,257435.277823927,352557.462558934,502685.08552706,338042.364890298,99636.3910589683,498849.389565853,419506.613273967,255256.609996173,249461.56893275
"42.5",160506.850286378,169926.255101556,72518.9135449751,89799.219039789,116879.833788528,194496.446007283,167897.902306108,47239.3511987581,208913.84810177,249933.856532873,175259.223060785,139402.294210317,190922.719339964,271950.038191366,182845.819726013,54111.1232636119,269646.096359563,227070.616736592,138309.261553706,134890.674526048
"47.5",89410.5461553525,94371.0872856401,40710.5030911193,50318.6909682782,65467.3400653908,108298.806601473,93692.0817567988,26886.654231829,116086.892446866,138792.718093994,97439.9046823242,77808.2221888152,106589.037748523,151237.420282061,101612.564575065,30542.7576541982,149461.651033457,126537.584670809,77385.2178335708,74871.3797543642
"52.5",76155.9206412622,80031.4662173023,35057.8940521431,43220.4454762166,56200.1636794024,92188.4542734564,80003.7337553532,23598.009696166,98526.1451415021,117689.024117043,82765.3993767353,66461.9183025049,91074.7344995317,128509.167020811,86254.3481973035,26503.184286792,126396.828719985,107836.579194708,66327.3337627012,63443.081602849
