"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7.5",125326468.921728,118888632.697094,121158327.459128,114907909.912373,120143827.314265,123414063.984764,123029026.805235,119560125.609177,121758939.548495,120976614.73705,120266808.680724,121639344.660697,119066987.114601,127566561.146999,130086510.882565,110641339.653626,118275764.349114,127617486.598649,122695791.936338,120994166.458669
"12.5",21572737.3539612,20464573.6658662,20855252.4174642,19779364.295763,20680634.5544518,21243541.5855204,21177267.5599592,20580159.3634755,20958643.0206235,20823985.2318097,20701799.9788569,20938049.5670854,20495278.102088,21958316.3024728,22392084.3266621,19044938.1275836,20359073.0849799,21967084.6709341,21119901.9102213,20827000.1454038
"17.5",152712.216553585,144623.144130666,146822.086949266,139880.040690891,146234.321768995,149818.551689403,149556.247950672,145444.902340367,147917.833595914,147313.614006214,146157.195864304,147317.109701625,145081.738902421,154610.470252099,157880.321069686,133966.27926357,143495.067229746,154825.196338354,148829.206302294,146942.365840695
"22.5",1105990.29244934,1047398.63541582,1063305.50371232,1013051.12819059,1059070.00193522,1085014.9914639,1083122.08214659,1053350.19808908,1071253.1719416,1066888.69065606,1058503.96448762,1066887.62564125,1050727.85238962,1119710.78898513,1143398.61078927,970198.328632908,1039216.23495443,1121270.9211054,1077846.09542261,1064187.08628157
"27.5",2297001.66177864,2175313.91567275,2208351.02011003,2103979.29438231,2199554.68186235,2253439.19147741,2249507.59018242,2187674.95895642,2224856.89819967,2215792.96426025,2198378.45347264,2215790.59905116,2182228.68596542,2325497.79683621,2374694.06349327,2014979.07919616,2158320.05453906,2328738.27565286,2238550.32267292,2210181.25323483
"32.5",2382975.13778723,2256728.98256471,2291009.65890894,2182734.53001671,2281887.41122169,2337789.43439079,2333707.27250621,2269557.78007442,2308127.98169487,2298731.65388481,2280659.03590526,2298727.25555449,2263907.74546868,2412542.95048597,2463576.28842502,2090398.32213545,2239098.4005751,2415908.2944705,2322343.54610997,2292899.48892005
"37.5",1641013.84868988,1554051.88644386,1577702.75926038,1503159.25651328,1571441.49250276,1609942.22060142,1607109.88575922,1562918.03607563,1589457.87148456,1583029.83097741,1570545.05150991,1583014.70439384,1559027.71867242,1661407.23002849,1696524.27541814,1439542.65347233,1541906.6121326,1663747.00702984,1599307.10436406,1578948.76536501
"42.5",892174.293724225,844805.971210181,857829.603708489,817374.66836018,854503.584403043,875451.659881504,873831.829954453,849745.941836872,864095.010468085,860761.22475118,853825.51872385,860707.348902618,847632.880106958,903381.550886922,922373.375372298,782674.384229447,838187.315801191,904737.640316934,869675.495471042,858297.919988808
"47.5",462966.053064061,438162.02796671,445333.498966713,424521.450663064,443802.697445409,454713.740211513,453673.326404493,441024.641914723,448270.949790699,446943.344752349,442974.129878118,446801.284108037,439933.208401301,469081.561238531,478685.924030747,406230.698673244,434688.553746537,469995.269384132,451731.014228391,445053.74119408
"52.5",355650.851952021,336263.50293344,342387.660002909,326668.628926122,341501.959845487,349944.27211754,348848.022856298,338907.445211164,344177.448691172,343756.007147252,340156.279450927,343477.244627309,338077.049013598,360795.082869195,367800.035608904,312195.342297112,333537.716820154,361809.289967439,347674.667561926,341394.71772319
"57.5",429564.055868165,405968.096865135,413696.950818236,394855.100291972,412783.219263872,423012.153969895,421529.681097458,409400.048207492,415607.778023839,415420.049080586,410776.338611878,414992.607057195,408403.624273112,436018.471544495,444278.742707298,377148.287532379,402646.939256142,437410.91918381,420282.362686719,412077.62366478
"62.5",521992.051316958,493284.222568056,502742.043849436,479870.613900641,501660.400408541,514094.685787223,512268.859498089,497496.124670034,505017.869990057,504847.318465567,499150.438066348,504312.885952584,496294.853402423,529883.946202166,539885.055787819,458317.708327192,489250.670363204,531605.216936553,510778.948856934,500690.411181491
"67.5",552418.477862124,522028.227787393,532058.998428331,507851.410653271,530917.396407845,544072.572682708,542151.717882781,526483.156493177,534462.494820162,534283.741493897,528250.186858884,533721.457030661,525237.527472426,560788.523282503,571369.746113789,485054.001896057,517781.997147219,562608.613622346,540561.653319948,529859.142890425
"72.5",512993.436057693,484758.114437668,494110.692191825,471617.0412218,493051.097905305,505256.555025659,503507.458434618,488878.434695734,496341.779826606,496165.678242681,490564.745078218,495655.54154434,487783.639212083,520799.327526723,530627.46015962,450485.31297987,480870.601981979,522478.411704778,501991.04391269,492017.174680655
"77.5",433560.320884799,409668.549684055,417649.886736933,398611.135509637,416755.473977257,427048.839768691,425641.348772293,413116.72542815,419533.799717765,419364.34628377,414634.770092559,418957.642296539,412318.138792391,440225.309877307,448535.951311067,380830.630326613,406496.811285467,441621.799287318,424278.358711039,415777.060761463
"82.5",353826.198155249,334279.841881174,340924.566615341,325338.991873416,340196.62981546,348559.193887206,347531.168879019,337035.224384776,342459.408381108,342286.021079378,338433.107688086,341995.410168682,336600.472279205,359381.043436423,366171.027265573,310964.057543128,331886.118666961,360482.49691658,346279.829934228,339219.532551195
"87.5",301970.966624317,285223.174453084,291074.471842346,277705.849090262,290456.277691524,297541.333251056,296829.579951976,287492.605962686,292381.840983494,292185.840382948,288906.630443436,291993.265730291,287423.111740799,306870.628771805,312677.320484815,265626.521155013,283450.111748321,307759.263214542,295569.703827025,289375.854165516
"92.5",285588.351783868,269682.731296538,275402.233789187,262686.649893145,274821.736430993,281469.09348769,280965.642411198,271739.900098715,276639.345695173,276405.278036926,273312.012301938,276276.05898816,271994.492381479,290385.693870453,295893.282383243,251464.426317266,268290.156154189,291176.79027652,279574.132383032,273543.332419607
"97.5",294314.925871396,277880.179825436,283906.772441605,270742.753054497,283314.255820038,290127.059863763,289727.134223187,279924.083084731,285191.117588829,284917.150134165,281731.650879107,284810.362444715,280442.016688598,299375.264866711,305072.76271341,259341.600675182,276665.659001549,300165.104479662,288143.839295611,281806.020975824
"102.5",309311.620796541,292032.078700276,298421.599366367,284540.097714048,297808.326444591,304953.189824985,304577.891538706,294115.884953326,299798.253939226,299501.465792164,296145.814556569,299371.493738878,294837.605346655,314678.585924236,320701.737694916,272678.654412965,290894.659910337,315522.748631607,302833.760149608,296122.624297115
"107.5",315405.617866081,297817.528082444,304320.28523972,290115.943069192,303712.393867743,311003.606400475,310596.300638263,299867.180433767,305782.155737611,305495.170972148,302050.515914739,305286.056167748,300757.34307848,320866.159812893,327073.370230171,278137.236093928,296754.589281333,321793.087673488,308787.962131477,301960.05555372
"112.5",309211.363076495,292045.228568046,298346.040995394,284350.151826843,297780.808169587,304953.235151104,304462.421130606,293941.494714192,299886.273075096,299646.031595477,296224.618828438,299286.746213316,295008.535498365,314496.83119959,320697.970248104,272764.185023752,291102.847221045,315540.098596857,302689.878922502,296072.2056689
"117.5",297712.892545679,281308.17658763,287244.450896733,273666.636566834,286746.757164907,293692.888772434,293065.759480219,282967.647317506,288895.323775366,288728.080967416,285363.846530645,288141.940415744,284266.971319693,302681.251606308,308830.422518419,262735.917195266,280531.577813907,303896.626527721,291376.440803343,285137.853000672
"122.5",291170.137076928,275277.181868451,280918.924214347,267515.051864613,280487.958860701,287326.88555346,286522.622891574,276698.424167819,282749.708656788,282655.332395428,279275.615592981,281791.358198019,278297.446539577,295871.085126104,302109.565025181,257093.850588743,274677.563068392,297318.638174523,284895.067133242,278963.664797563
"127.5",292871.523510109,277022.202168612,282544.32617873,268946.14185439,282159.038429426,289065.553982338,288086.403902435,278266.522395311,284613.436438094,284553.816992439,281062.577627856,283430.222053394,280181.629800013,297434.956728882,303932.479460265,258707.880604847,276581.822821341,299127.67181796,286469.981393263,280669.990256666
"132.5",297164.054190662,281163.612123382,286666.652727518,272789.177663381,286299.382977031,293291.288552197,292202.112490898,282306.231138936,288981.345813333,288876.30784378,285251.470389945,287601.915375869,284463.709428963,301643.983996469,308418.506151388,262552.535855008,280863.12155963,303511.086222383,290568.205674774,284811.019796438
"137.5",297306.984027171,281313.412887236,286780.778200763,272855.669678069,286405.712785279,293328.183555903,292230.604654069,282413.751847923,289314.33584722,289055.728977745,285349.120897166,287791.360764182,284683.768172079,301645.413069276,308564.281811318,262658.50996928,281151.487069786,303562.489536246,290584.665666439,284912.667058461
"142.5",293435.094701199,277610.172723849,283017.354063998,269255.660182148,282610.613082124,289325.688197247,288295.45590919,278716.99615192,285754.391704501,285248.217710647,281495.848665646,284120.100892889,280995.999759839,297569.401007387,304507.937371691,259156.730163421,277596.947458131,299439.372119897,286649.424038021,281112.915833293
"147.5",291181.862676855,275407.185208531,280817.633897429,267144.375772038,280355.905305065,286908.364725708,285941.414134666,276575.011460747,283758.258285386,282979.571163063,279134.604212084,282006.408061044,278832.341202017,295153.455625677,302092.730653323,257057.574365352,275540.192814058,296965.3584108,284296.6219047,278840.981008633
"152.5",292871.29102201,276927.40179821,282431.889126921,268645.811362806,281899.574736562,288454.629499975,287466.752318204,278211.399718127,285540.510130625,284557.470602328,280532.716027754,283652.821741865,280451.947665157,296794.783541087,303722.861433065,258452.761807133,277178.707937971,298603.082399035,285839.243045879,280361.194805123
"157.5",292350.847157768,276378.54510195,281922.252678888,268125.737086171,281339.155866054,287952.887205095,286833.652899131,277797.084234128,285075.605909473,284026.364533053,279822.313408842,283074.708216397,279979.496880579,296277.916305376,303025.047905594,257941.229721269,276693.133585079,298119.571057958,285290.173503607,279812.279269754
"162.5",287786.721054065,272069.677223961,277489.977053462,263943.862617124,276940.640922462,283585.128994573,282231.913505578,273594.08568423,280584.193536882,279596.559875821,275290.483215876,278513.964092284,275652.648577544,291723.221105019,298155.537185183,253930.617342399,272370.060726044,293597.398055846,280837.937158674,275465.061292312
"167.5",277321.166533767,262286.859387621,267299.22867208,254442.14487533,266947.796001851,273470.122458549,271839.905811861,263820.865280133,270280.448304125,269440.016738647,265233.184968749,268220.404728825,265667.406093849,281206.66236793,287280.734406226,244806.701332595,262478.349020335,283043.595847355,270631.020028092,265564.0883077
"172.5",263164.598151595,249087.67030339,253450.582237951,241617.201039904,253463.305411008,259731.097006297,257835.160890838,250554.256120615,256344.009814373,255677.927100778,251790.662366271,254358.246453424,252109.616180651,266953.737957861,272705.550259369,232512.523339194,249108.715483439,268655.044420656,256800.275458153,252208.581468472
