"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7.5",132730891.042563,126493672.816798,129754252.907936,129338671.54892,131113362.654373,130593989.611491,130956966.741166,127283080.335626,130893840.545074,127058575.870932,130039867.743982,130236091.778945,128201833.622185,133513821.659034,137290762.533104,124807710.314092,128256584.632843,133955379.713427,131633706.868537,128903018.136227
"12.5",22847280.0682007,21773646.3295408,22334887.7352182,22263364.1858665,22568843.1944517,22479438.9307958,22541920.9004804,21909528.6027214,22531054.0650795,21870887.0836772,22384058.6155561,22417827.4355999,22067680.4132169,22982035.9751593,23632169.8996738,21483426.7179506,22077094.4426229,23058045.5454229,22658400.9292843,22188369.9728478
"17.5",161875.827898742,153850.962865766,157210.713995324,157416.655532451,159410.391112474,158567.632621139,159126.367722761,154795.188084658,159001.120798699,154705.826371354,158015.351941683,157776.163879433,156205.186670386,162097.161201225,166717.114006273,151114.44322769,155624.913657777,162831.528216634,159401.283786791,156625.81025201
"22.5",1172360.70628693,1114228.14561276,1138540.42398148,1140055.29372789,1154489.02091993,1148378.61553618,1152428.96265014,1121065.94773887,1151520.28935499,1120424.82232629,1144382.83917965,1142634.88709866,1131287.13985565,1173939.64488483,1207399.38124114,1094387.04062384,1127063.37914411,1179264.60901334,1154401.96484016,1134319.18768737
"27.5",2434844.67816104,2314110.39104138,2364604.37464671,2367750.80141269,2397727.75980336,2385037.35631076,2393449.12461859,2328311.7516568,2391561.62168334,2326980.75441836,2376738.11511424,2373108.26576984,2349540.05355285,2438124.1827694,2507615.59868282,2272903.41003261,2340767.37885346,2449183.61077125,2397546.97843988,2355836.8883581
"32.5",2525978.4196567,2400721.08067177,2453110.85222653,2456378.01715703,2487476.16305085,2474312.47620324,2483035.41540768,2415455.40148237,2481073.41413631,2414081.42357808,2465696.00876996,2461935.69764074,2437480.54825835,2529383.83308476,2601473.47649992,2357977.86169145,2428373.70247512,2540859.1327429,2487288.90805449,2444008.69794732
"37.5",1739497.95600911,1653214.88395567,1689329.13984955,1691597.53197376,1713007.96257286,1703953.48865609,1709937.6313771,1663370.39489915,1708562.55406259,1662466.75085379,1697978.7928166,1695422.87324365,1678552.11852125,1741862.7323793,1791489.57603889,1623817.98765665,1672244.54995004,1749777.11818432,1712880.83232407,1683020.50228026
"42.5",945740.865663251,898733.904627063,918506.069674008,919809.105412549,931430.423777018,926547.671229594,929714.937487785,904288.60040867,928876.913183317,903957.830279079,923144.500551172,921881.653674304,912596.494937786,947100.7619044,974017.27244106,882894.37628162,909030.543446653,951448.981597743,931368.177539566,914923.307718155
"47.5",490821.40781113,466185.569062811,476790.309105268,477640.892837302,483624.056559122,481190.085036943,482618.308539199,469151.546499536,481957.371530198,469381.217876578,479036.933936218,478698.422241779,473597.734852505,491712.673794452,505519.561122204,458323.081721831,471405.563215044,494082.495901851,483608.917063234,474548.817843409
"52.5",377136.645324915,357849.734009678,366509.126198046,367421.969191617,371947.823090373,370226.452832386,371003.435054989,360252.420646126,370159.361707854,361026.175702863,367996.54874842,368207.692757692,363869.261331042,378097.546705935,388465.129308822,352341.188275618,361676.811899639,380086.784155659,371961.630630969,364218.238140133
