"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7.5",132382228.598785,126131515.741733,129345958.502121,128686353.261094,130576326.110406,130262123.483566,130575788.874074,126953729.294304,130476674.837824,126784194.157865,129602985.203514,129835336.605001,127758398.362598,133270345.609768,136946256.698516,124172317.208517,127782564.941078,133661114.049635,131223532.331166,128542154.536359
"12.5",22787263.8399512,21711307.414848,22264607.1099768,22151079.157808,22476402.0407196,22422313.9951491,22476307.9365256,21852836.7539453,22459246.3645817,21823657.1275898,22308857.0421807,22348844.4873912,21991350.8700294,22940125.5669939,23572869.2006313,21374055.0629827,21995500.289529,23007392.5654439,22587796.9531937,22126253.6187271
"17.5",161441.715744718,153411.361502557,156715.876525207,156624.287618669,158768.392104601,158160.43755327,158666.330789757,154400.968160137,158493.141262962,154371.988399592,157485.315127906,157286.245546163,155664.986432519,161781.300671731,166290.705451074,150342.823488231,155044.93793067,162451.474140913,158921.627577198,156182.284530861
"22.5",1169216.4243558,1111044.46847613,1134956.74195361,1134316.79596081,1149839.8672598,1145429.48766654,1149097.37491205,1118211.11550257,1147841.35144996,1118007.07820564,1140544.21998572,1139086.69052505,1127374.84294668,1171651.45380177,1204310.97788244,1088798.81136019,1122862.93313315,1176511.43259995,1150928.80392985,1131106.90843626
"27.5",2428314.39580713,2307498.29090133,2357161.52304205,2355832.67350066,2388072.06650223,2378912.3957347,2386529.84315849,2322382.64385256,2383920.92471771,2321959.40347638,2368765.77890949,2365739.09783489,2341414.71329759,2433371.90785078,2501201.37220958,2261297.35738222,2332043.58560964,2443465.63000805,2390333.67850554,2349165.37836677
"32.5",2519203.62565878,2393861.42004421,2445389.4477355,2444013.86967929,2477459.19286323,2467958.32079929,2475857.20615222,2409304.59033423,2473146.61998047,2408872.09473341,2457425.14432304,2454290.54289123,2429051.14616409,2524453.78818216,2594819.12237092,2345937.30035793,2419323.39964723,2534927.36072424,2479805.81593713,2437087.31651658
"37.5",1734831.98084876,1648490.55002917,1684012.00503046,1683083.44202992,1706110.62655851,1699578.09195343,1704994.74095589,1659136.03093598,1703103.11331318,1658879.17097074,1692282.29755806,1690157.05385194,1672747.64927304,1738468.32983281,1786906.7906884,1615525.67691558,1666012.20137108,1745693.6551382,1707728.85997597,1678253.12160216
"42.5",943201.929869334,896163.557222119,915615.814260897,915181.609587349,927683.391987584,924170.147444005,927028.820365693,901991.531958769,925906.020881052,902006.51723126,920044.299121896,919014.794005934,909442.125358956,945257.685947963,971524.508320597,878383.472970783,905642.409022705,949234.186612921,928571.682030016,912327.506618922
"47.5",489498.47378635,464847.126036954,475291.814146044,475243.051118365,481686.802906587,479959.490823657,481227.425137272,467972.149870924,480408.859744483,468366.532908653,477420.247778232,477200.811136656,471964.276374029,490762.18668207,504222.947074917,455975.786861031,469647.955573145,492946.375720633,482168.988370117,473192.039999292
"52.5",376112.281333833,356814.632828283,365359.935580759,365585.07604377,370470.262148437,369285.785504619,369939.416462361,359365.133371522,368959.585283027,360243.54166153,366742.798963493,367042.4365676,362619.500611316,377376.192779818,387464.506237354,350528.321839887,360327.461102912,379233.617495478,370872.171913843,363161.420482024
