"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7.5",120994187.445944,114683714.162043,116364953.962161,103748852.813809,113551444.473689,119289164.886966,118666902.918898,114560792.602195,116192499.316602,117531871.250854,114056861.003043,116636320.723772,113638174.755794,123693005.561219,125705777.469263,100906635.502479,112455347.571743,123860413.171878,117252380.760175,116278795.796001
"12.5",20827768.155266,19741488.8554368,20030883.7699653,17859180.0529658,19546584.9109257,20534257.9506328,20427147.8083018,19720328.9535931,20001205.0930178,20231769.4328407,19633580.609709,20077594.1890303,19561515.9923152,21292321.2598971,21638802.6272417,17369910.9349809,19357893.8950185,21321141.1816885,20183648.6379716,20016058.1110292
"17.5",186031.959251274,176129.294973218,178039.989824107,159480.447829015,174588.26125809,182812.982335323,182162.97890967,175918.953549964,178216.70591394,180677.970081899,175008.889075255,178322.00358691,174808.143968372,189132.079823084,192563.773876982,154285.659461092,172280.998921166,189545.02726241,179670.877933977,178234.135141442
"22.5",1203674.8655611,1139597.40661961,1151944.4847678,1031878.91230558,1129631.21080952,1182833.42478538,1178634.83843842,1138235.97555869,1153098.10938262,1169032.48494989,1132344.46600684,1153766.04037615,1131055.88965965,1223709.1215416,1245920.86806545,998248.124267838,1114688.14208132,1226384.62744168,1162502.95733311,1153208.18860055
"27.5",2248954.48556815,2129231.24351889,2152301.57319722,1927970.62136532,2110611.79558926,2210015.18988778,2202170.13069204,2126688.30134106,2154456.24381828,2184229.05570408,2115680.05151297,2155704.74435983,2113272.92520161,2286387.33965357,2327887.33351289,1865133.93574675,2082690.6296938,2291386.81502446,2172029.70601013,2154661.42138741
"32.5",2151717.53679501,2037165.45616601,2059249.01711266,1844621.78390483,2019367.30549032,2114472.93151306,2106962.71316571,2034740.97184368,2061301.96677522,2089797.67039789,2024202.98067003,2062502.42203988,2021905.03212543,2187539.83271997,2227238.97419312,1784494.29066676,1992637.42082345,2192329.17181572,2078130.95122272,2061492.76499397
"37.5",1392450.66038025,1318289.15995268,1332643.18607495,1193776.55186739,1306866.96409327,1368413.61235079,1363527.89901134,1316770.23445119,1333921.380531,1352421.70426097,1309917.22082098,1334733.14048383,1308460.1419027,1415679.00718823,1441331.24844411,1154821.01051679,1289475.44242682,1418813.77524639,1344902.18862194,1334012.46066151
"42.5",728857.391788348,689929.867961495,697665.091802234,625069.176104505,684287.744565102,716505.22716971,713857.768092853,689311.01641201,698156.879632065,708051.063287739,685605.901706065,698704.691732444,684948.871230999,741179.682550112,754471.594359313,604520.155534577,674854.505980358,742945.25622272,704222.207352589,698090.477561299
"47.5",390660.389718169,369546.531453384,374200.411892556,335499.683117073,367293.150736005,384565.524393073,382940.337315832,369618.150611733,374058.213828329,379843.157272323,367362.207854866,374633.201020803,367251.958817933,397639.969435819,404454.429541808,324123.265886188,361481.876354535,398871.78899325,378036.14886365,373761.366636363
"52.5",345096.531736306,326141.624788291,330871.936428621,296940.553205452,325090.541632127,340353.217711138,338666.956349102,326695.93737997,330251.933185326,335948.857036457,324374.741177461,331102.677487712,324572.36032549,351719.308723748,357361.517361419,286450.127668833,319037.453620239,353155.078792659,334651.356956974,329670.735754919
"57.5",430845.398596313,407069.543539822,413202.493096261,370931.781624188,406101.000532805,425157.031494584,422963.119766793,407938.72896936,412248.62209063,419573.39141101,404924.104794138,413435.539913879,405279.35500178,439281.979583741,446189.174607933,357676.952764287,398211.286264978,441200.050468021,418062.106159297,411404.016953311
"62.5",499264.793538539,471695.813082219,478840.935056001,429866.345479308,470627.565780518,492706.94798294,490161.203721767,472722.213923224,477710.964423163,486224.180088991,469222.518814765,479103.796455972,469653.333885791,509070.734068484,517057.116978306,414494.001567353,461445.99241002,511307.505775343,484487.625646673,476705.555410568
"67.5",498441.282923735,470909.105834611,478067.482713495,429164.636201723,469869.706522313,491904.253804781,489386.086155547,471922.664886246,476935.836553149,485428.182756103,468454.260651149,478329.809945756,468898.888939954,508253.34632914,516226.933422689,413840.497838511,460715.747842574,510480.00685689,483696.20100864,475899.761471456
"72.5",439837.02586769,415524.084304682,421894.400426061,378718.334585314,414662.836774339,434087.067310991,431921.218267552,416388.805942653,420891.322486056,428364.898796303,413390.087305459,422126.781962496,413814.035825253,448543.85750115,455583.703800145,365252.461550137,406621.13077314,450491.218647775,426838.218670379,419904.22599823
"77.5",360985.559828437,340997.059588491,346328.371884044,310848.330724951,340397.798241105,356302.09174713,354632.657835662,341649.47630913,345496.648939834,351591.403791218,339307.68279376,346520.79231894,339716.533430346,368224.582174739,374009.771589712,299905.583758996,333867.25118868,369789.371775613,350341.329029358,344546.211542995
"82.5",297319.768472587,280803.341455301,285355.681358567,256063.117064363,280478.283561892,293518.697310791,292312.9330204,281250.110348095,284657.965368614,289616.743850226,279509.434801937,285516.720549633,279942.109427499,303427.81777557,308205.006508971,247222.347290806,275209.490453984,304664.976206514,288590.594030129,283654.537067137
"87.5",267036.089144849,252139.422338726,256421.302379379,230026.465995068,252049.631350515,263691.521346412,262811.157258529,252429.200492847,255781.360766062,260161.878389721,251095.383549779,256568.658456649,251600.824043639,272696.593536348,277004.302056125,222296.656439243,247453.178616456,273748.239519058,259240.772815768,254612.659711682
"92.5",267075.722017898,252127.437974771,256573.955662758,230096.356618018,252210.069544208,263794.820945042,263085.827817971,252313.826059783,255928.274365531,260247.238533234,251187.17273124,256722.631494568,251797.536471152,272885.236696293,277215.079219458,222557.035632989,247739.754130002,273893.588907711,259315.72921607,254522.90781298
"97.5",281270.729416297,265510.433371152,270283.651530954,242339.573642849,265694.717895813,277864.837304817,277211.478588321,265626.409521124,269615.495489617,274129.476191945,264587.269353765,270438.279152051,265302.906023318,287470.587545307,292060.900726283,234539.524647872,261087.566372031,288527.270458521,273114.414551909,267980.032239091
"102.5",292206.711470497,275855.468809626,280830.360541077,251748.756206042,276069.991854682,288713.169888628,288048.001999746,275901.693769443,280176.889629904,284859.446085377,274933.518993424,280983.849890444,275728.728785986,298661.859881226,303483.677331149,243758.750495481,271381.112070428,299806.708159262,283725.817457549,278385.54456114
