"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7.5",128825889.296856,122389800.533371,125161632.438144,121997410.299939,125300490.79498,126816129.640616,126713902.639073,123309127.575132,126118670.318932,123803055.114172,124963281.897559,125678935.166264,123346466.024133,130543659.438047,133539528.40124,117522774.742193,122951180.104719,130631418.570491,126966213.540913,124753581.92665
"12.5",22175001.2596359,21067142.3703781,21544252.9400116,20999601.1534688,21568164.2967126,21829048.4805131,21811454.661553,21225387.7126456,21708995.2089198,21310410.4767216,21510117.3604162,21633296.0548432,21231818.5864101,22470671.2672102,22986356.8477696,20229363.5749134,21163767.4112911,22485780.1187359,21854879.03797,21474020.4311917
"17.5",150781.258109193,142943.668568461,145616.272240719,142579.43150767,146367.336489308,147824.024285213,147870.906207801,144028.681646943,147100.440730176,144746.674043989,145808.084510598,146158.804164937,144305.797017067,152016.740666171,155646.679682922,136621.045452894,143220.844797547,152289.780789407,147774.362556991,145503.727223178
"22.5",1091802.25755942,1035040.10977606,1054372.84071207,1032405.9496783,1059831.38015661,1070368.37732544,1070713.52668905,1042896.97160739,1065132.07829983,1048100.7202819,1055776.21723918,1058299.14979674,1044911.529029,1100721.88818596,1127010.36872487,989236.827967097,1037034.15698202,1102704.78703297,1070001.08208112,1053570.35400458
"27.5",2267529.06083166,2149641.29031289,2189793.30230375,2144171.19658369,2201130.17864962,2223014.21278048,2223730.77984462,2165959.23525194,2212138.4714373,2176767.0744523,2192707.63685814,2197947.79288253,2170143.27088628,2286054.28632501,2340651.70777679,2054514.33551262,2153782.56911509,2290172.71778582,2222251.36454956,2188126.05809855
"32.5",2352325.20768288,2230025.27343605,2271684.93903117,2224359.61183986,2283448.44371054,2306151.90187838,2306891.93507373,2246957.0035043,2294861.33531512,2258173.33147834,2274704.5397379,2280145.20162825,2251298.34176922,2371547.39766197,2428182.9851243,2131346.17803701,2234320.22868954,2375822.53669946,2305360.21517045,2269947.92241527
"37.5",1619445.35859007,1535225.92087362,1563944.46088016,1531381.36388909,1572059.6318587,1587696.24939608,1588185.00091493,1546904.63761344,1579872.81658719,1554653.33773211,1566000.15804158,1569774.03366477,1549898.61672536,1632704.88870312,1671673.25980128,1467323.26375474,1538175.35527686,1635664.85383341,1587149.28129501,1562702.43015355
"42.5",878705.687517483,832922.732767804,848649.41545237,831047.842858362,853115.534290287,861624.622243916,861811.605646541,839343.215106794,857189.010041769,843649.110061393,849677.516761559,851831.968555981,840987.407398142,885998.863369699,907059.595350737,796201.377618429,834495.143611259,887668.230096854,861320.531282621,847801.12444638
"47.5",451620.667219094,427875.164921915,436319.035827529,427440.454142249,438771.878938825,443207.105543332,443107.342924048,431384.547309973,440449.876493447,433851.82973847,436628.743256001,438003.453866956,432278.929258064,455616.072628916,466231.638970498,409308.464390262,428613.38801835,456632.59967809,443032.503266163,435446.250886708
"52.5",340451.397745741,322228.2499336,329135.967104647,322695.056075547,331221.460885193,334657.814257982,334288.654535803,325188.325112527,331862.247469155,327430.375036294,329040.980240197,330478.918898227,325937.034207217,343834.460787662,351523.320734155,308692.834990981,322680.047330164,344838.798452772,334498.647366071,327821.720681528
"57.5",407702.65457424,385702.544766294,394272.987475752,386697.565143071,396899.945411643,401065.732585094,400463.53486879,389419.241306942,397325.48508026,392314.873443699,393979.262373358,395921.346628187,390358.434563273,411958.223761828,420994.182607609,369747.863663362,386187.682653666,413291.069263946,400859.841223369,392338.240652481
"62.5",494735.386792602,468004.346622552,478463.818430675,469295.572503585,481675.530453047,486739.036318071,485982.033842506,472544.79299467,482128.841193956,476102.868116934,478073.831876209,480471.678050603,473699.127650394,499940.740052736,510874.044603501,448698.33382078,468588.172717728,501581.187902005,486485.62120752,476043.93979067
