"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7.5",121252644.79587,114945737.397696,116220935.936748,104563841.449353,113846502.350136,119368287.168487,118682326.41611,114770948.764421,116383488.983033,117576621.145586,114221024.298574,116706229.387836,113975209.893003,123778858.951806,126017864.665103,100768187.555127,112579428.003807,123985122.064953,117556301.017755,116559390.133989
"12.5",20871499.519671,19785874.2299236,20005368.445936,17998816.413332,19596662.7538782,20547132.9725064,20429060.6822695,19755787.0902697,20033354.8376705,20238736.4054249,19661125.6200343,20088901.3665034,19618818.5769031,21306329.048671,21691738.5959993,17345451.0980626,19378550.296035,21341835.780074,20235231.4537447,20063631.6125248
"17.5",147686.709854455,139839.009241157,140852.198923934,127321.980474725,138650.028668514,144912.687421629,144309.33887883,139603.32214985,141408.759009469,143170.621389096,138828.021324114,141333.137043093,138874.956604174,149917.74893806,152912.073323497,122039.385097768,136608.16460157,150304.882211237,142697.461003503,141529.660942509
"22.5",1069591.96171757,1012751.08103229,1020071.20425661,922103.195138907,1004145.07100026,1049485.95387635,1045123.9317245,1011043.43102223,1024113.73431502,1036883.82233735,1005424.99478569,1023550.68491754,1005776.29004046,1085722.07611823,1107416.63892534,883823.380530448,989340.881320179,1088530.28362284,1033442.34435132,1024986.26938688
"27.5",2221406.92335737,2103355.33719174,2118558.87086872,1915091.97770035,2085482.61385947,2179649.89499406,2170590.28384354,2099809.23378926,2126954.24679099,2153476.63791544,2088140.13697884,2125785.18868198,2088870.01572975,2254907.55454003,2299964.04886519,1835589.24266235,2054735.3198305,2260740.17109753,2146329.40727541,2128766.09150983
"32.5",2304550.75964279,2182077.10620481,2197856.85939855,1986777.60114845,2163546.45206598,2261238.4570282,2251836.66277857,2178404.22915037,2206560.79677476,2234082.6919771,2166294.35593406,2205352.09381253,2167055.14304009,2339310.699473,2386048.98923378,1904293.96992613,2131637.31622211,2345365.75107294,2226671.53984096,2208436.65045607
"37.5",1587006.14870551,1502643.61294882,1513554.82045768,1368216.37642168,1489951.20512214,1557227.00815555,1550733.29579187,1500151.34823167,1519513.46051615,1538508.52048524,1491786.99385534,1518706.67600079,1492333.23772575,1610977.03069447,1643134.27708026,1311382.29198384,1467908.74778162,1615172.47095365,1533427.22763359,1520781.57244251
"42.5",862806.218364154,816856.899092358,822957.436956017,744013.887377643,810215.104411977,846795.283954378,843192.178574569,815641.654818627,826063.975919661,836550.926293255,810999.840362439,825721.873320916,811381.107442609,875965.975437808,893340.888159748,712992.139055051,797972.630659664,878343.847510301,833872.629571375,826664.053152186
"47.5",447712.485460729,423659.223970783,427245.951870019,386463.074268436,420859.463032899,439852.008273517,437800.7290366,423377.878996117,428525.494635281,434366.955190418,420733.375717031,428589.263123545,421141.953437732,454859.960305422,463605.903915785,370058.853754046,413860.223566673,456336.158070748,433187.775643918,428613.436230971
