"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1
"7.5",98104366.7203464,96284555.7240275,87720081.941203,23719891.8661411,55447752.2834576,100135754.342406,99840268.5574375,39315574.4522797,67443066.8110671,103344891.555898,57335815.5010799,89650731.9437344,74597373.5968868,101481638.028232,99213849.2259116,17306034.4747342,86165778.7671685,106426834.267113,80685576.8769375,86669497.7047549
"12.5",16888084.766542,16574821.7724879,15100488.7226783,4083251.07092608,9545025.55373899,17237776.871104,17186919.2883973,6767959.82256575,11609948.0806846,17790219.3623684,9870037.03915226,15432841.6504296,12841510.3538339,17469448.498734,17079074.251053,2979136.77375021,14832938.7884718,18320733.3723954,13889564.6761982,14919641.9613659
"17.5",148121.889232021,145695.886258077,132297.755574434,36410.5765206946,84869.9673091917,151226.348011758,151191.887293919,60174.8845879523,102994.868226011,156484.007551856,87364.1446579735,135356.467382614,113353.355869654,152570.952760878,149732.102226263,26399.218020092,130632.299647919,159973.625495249,122846.45773661,130956.494666019
"22.5",925798.371406106,910642.573895022,826890.343077738,227588.799705881,530484.650521623,945202.913153334,944996.917276065,376126.571706044,643770.036367697,978073.973209748,546065.699768174,846011.320879475,708503.061802379,953591.322064506,935861.128063003,165007.862498472,816496.367953149,999858.426355499,767844.157839138,818512.652360896
"27.5",1783780.5549134,1754578.6411724,1593210.46990377,438507.999527618,1022112.4936821,1821169.46276932,1820772.4268718,724703.353272097,1240384.11009282,1884503.18309429,1052132.42612205,1630051.61539969,1365109.32389314,1837331.61676471,1803169.18666545,317930.281828791,1573183.49782093,1926477.33233505,1479444.62146709,1577067.15768313
"32.5",1773903.97821094,1744858.61757995,1584397.2238786,436096.695194173,1016473.8126918,1811098.45721337,1810702.26008267,720711.84824846,1233528.51950231,1874075.9838869,1046319.08887163,1621032.67160682,1357572.89932328,1827169.09228114,1793187.60936568,316186.648111556,1564477.10178928,1915827.78189857,1471274.46668627,1568326.91974369
"37.5",1191576.09686406,1172037.70778525,1064323.98458167,293027.65839858,682903.189668941,1216628.94356666,1216355.42567167,484234.894047676,828658.879793048,1258902.54300874,702905.178143385,1088923.63829897,912035.600965053,1227412.96475053,1204542.17452758,212481.30350909,1050921.21235589,1287002.89080395,988408.177071318,1053440.21230882
"42.5",643668.722388998,633020.908897744,575078.099003154,158591.931760254,369268.23475501,657431.119636512,657258.638724766,261959.390644367,447850.588310059,680165.994779362,379919.271032113,588335.228634294,493066.885139353,663219.486507721,650715.629930777,115083.029110509,567764.672441321,695528.445660321,534309.810260576,568900.606605922
"47.5",351600.363451395,345575.974980108,314464.154556799,87305.2897137463,202546.852692155,359628.143624717,359479.063199108,143948.447732569,245133.236941615,371823.092590164,208023.065876275,321636.521910222,270227.524727041,362707.831460354,355545.169278707,63540.6413876534,310305.971230989,380622.23775273,292728.951074678,310425.995841526
"52.5",292389.798325208,287114.479200292,261929.870792146,73464.8459722289,169504.222533351,299716.295083862,299523.274782885,120797.058401057,204487.857420314,309571.873008904,173622.818549442,267806.634883054,225859.584156062,302173.074542805,295792.711540839,53704.4266116508,258265.015884828,317409.111248406,244536.284361204,257724.656326427
"57.5",348000.301677349,341598.842511449,311943.071336299,87838.0513774483,202236.818295554,357020.45400883,356762.650782514,144274.813139722,243679.232302971,368617.757592151,206940.205300087,318899.442093425,269345.718672718,359898.514815357,352109.630082261,64319.7018899407,307491.027651376,378186.28322029,291555.7211282,306544.757323429
"62.5",403194.064434458,395753.22059541,361458.257681998,101854.25550548,234410.685978611,413701.122922199,413409.670480029,167251.704266977,282402.78173509,427109.907947906,239830.633672223,369518.635658785,312175.674244664,417034.078461588,407975.211791816,74603.7683866685,356300.768550277,438243.829343452,337896.333605234,355121.986606995
"67.5",409269.050128743,401706.599194861,366924.48382723,103437.458120999,237985.454432186,419950.325583942,419688.099014203,169798.966293584,286727.809970763,433545.711959782,243498.500436982,375126.351335195,316940.437476401,423350.839827147,414150.564717644,75770.4169011887,361733.859926377,444867.637778477,343024.111126994,360449.373157018
"72.5",369907.921517964,363057.301843366,331671.690379357,93579.5730559512,215170.504216148,379583.633309129,379423.198462539,153506.352911444,259295.031942838,391843.142856636,220188.192764454,339131.43219623,286571.430324223,382698.002586887,374380.699241366,68560.0364810572,327084.41312381,402110.317143329,310092.373592846,325740.515563616
