"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7.5",130945575.404056,124564547.424035,127664722.10793,125982901.063146,128409255.893719,128876790.736658,129011402.441783,125455565.215417,128737741.167648,125503422.086014,127754976.644799,128159249.882737,125944673.517916,132226389.671497,135594225.237365,121470490.082305,125789368.121753,132446707.573183,129509469.828679,127007729.287724
"12.5",22539968.8522421,21441581.6718423,21975212.2238739,21685727.7370036,22103379.8943556,22183853.3448926,22207026.7729163,21594954.6190166,22159919.7401877,21603194.9527689,21990755.1685495,22060335.6942117,21679150.1649703,22760425.9495815,23340140.5352827,20908983.5337406,21652406.5917585,22798352.8528998,22292752.5966149,21862129.2138848
"17.5",159658.560105921,151512.426777569,154683.145739189,153336.96571304,156171.597942892,156466.536961828,156780.097165209,152596.707823822,156379.417919553,152818.113151669,155242.772829592,155239.108337704,153453.815423164,160444.008610965,164622.246734377,147067.705194418,152611.142517161,160903.58939794,156908.933634929,154299.577117262
"22.5",1156301.17652214,1097292.12292694,1120235.58244872,1110509.1944216,1131034.49897186,1133161.53102729,1135437.32945013,1105144.7901221,1132533.26622246,1106753.64270643,1124303.32103963,1124260.5148527,1111360.80526757,1161964.22204926,1192226.78184376,1065079.92609308,1105236.44938546,1165298.92789418,1136354.72839119,1117471.31699784
"27.5",2401491.03873162,2278936.39194639,2326587.5517963,2306387.31596802,2349015.73257659,2353433.41934832,2358159.67736761,2295245.60603974,2352127.94254766,2298587.43821221,2335035.45508939,2334946.96559055,2308155.6046166,2413252.77865042,2476104.01359995,2212036.20572539,2295435.61693858,2420178.7334748,2360065.22179749,2320845.94155279
"32.5",2491376.00145543,2364230.23331867,2413671.27936615,2392718.01379992,2436941.44959047,2441525.88916331,2446425.40557819,2381152.66326354,2440163.30004443,2384625.27401912,2422431.89745982,2422345.34119267,2394547.42412736,2503581.92526066,2568782.21519214,2294831.95411968,2381345.298661,2510769.56217767,2448405.10167483,2407707.39613935
"37.5",1715666.83189993,1628083.70846779,1662170.46901919,1647760.08428879,1678211.02692074,1681376.80054865,1684728.17050202,1639754.51220876,1680387.139526,1642181.34661196,1668181.74971701,1668154.77574879,1648988.39378968,1724096.95804256,1768975.52989602,1580329.83640705,1639859.25238833,1729061.92199606,1686109.07502616,1658017.62753094
"42.5",932775.14666808,885062.885045671,903744.520744296,895981.268017647,912524.844224104,914278.97650492,916015.602186118,891473.373330323,913547.232456926,892926.574372345,906931.032945314,907039.513549367,896530.206563894,937451.324091703,961771.301964574,859238.589088326,891424.975119174,940208.24106778,916832.794779172,901313.633152179
"47.5",484069.777319179,459071.699090531,469139.955598902,465289.629405199,473844.996090274,474837.703625697,475525.364612174,462561.67495777,473973.812632705,463650.290718801,470589.378308213,470953.505026686,465277.38218711,486728.718132274,499150.651388301,446016.474882686,462273.28926062,488303.318904405,476115.447921486,467445.757321397
"52.5",371915.099551842,352355.501668496,360646.545760135,357953.698892057,364482.251456937,365367.460525698,365578.311847915,355279.566057714,363983.679033307,356613.803287148,361456.39188824,362194.006704839,357502.475526325,374303.577781219,383551.363647849,342840.871290492,354666.787511616,375727.319756116,366278.336586001,358701.0119152
"57.5",449236.682994556,425420.188251362,435734.731755073,432624.433824575,440486.553890263,441621.451778841,441706.316401014,429082.27174484,439563.30355632,430963.082630673,436549.799737029,437686.793852153,431842.499772033,452308.394447615,463319.722957782,414206.86852932,428133.519836639,454142.92959734,442683.35850797,433037.270078497
"62.5",545914.599399914,516935.761132096,529529.65294657,525775.226323521,535325.902561095,536716.38038076,536791.395137862,521408.578343205,534145.531122141,523749.639434007,530490.60128309,531917.257742694,524783.626749568,549685.107313821,563037.139139706,503368.799764542,520223.706370746,551934.760424734,537998.739037658,526182.642845248
