"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7.5",129550399.058353,123142531.899306,125983069.081009,123397549.465036,126375512.334039,127508651.895858,127485579.957931,124075045.018109,126993925.595593,124418659.525098,125910733.547298,126514204.786264,124225316.795646,131127063.818974,134241558.16139,118887051.749935,123937944.412681,131258192.115931,127833358.244848,125525188.436877
"12.5",22299813.4467852,21196806.9056666,21685745.5757261,21240705.243949,21753307.443456,21948352.3782639,21944383.5937148,21357322.702817,21859752.8240763,21416472.2718212,21673301.4456573,21777170.2766128,21383193.3294449,22571195.6132858,23107302.5987672,20464290.5520107,21333716.7904314,22593769.9390538,22004240.6088038,21606935.8252863
"17.5",157930.646550255,149784.798117062,152647.037705013,150193.30781191,153728.987124834,154797.104117378,154933.508271912,150929.761097662,154262.326290808,151498.075959055,153004.390331368,153236.530196916,151361.65359491,159053.792812263,162961.650291503,143937.365323188,150360.085972485,159394.550620341,154929.321611731,152482.200124448
"22.5",1143786.16388042,1084780.25596373,1105489.86944019,1087742.04498686,1113345.50354188,1121070.89281967,1122064.16249544,1093072.73488611,1117200.87177617,1097193.57238868,1108092.53495198,1109757.27106406,1096208.80150124,1151894.1767898,1180199.81040782,1042409.58944238,1088933.74630348,1154367.9970256,1122019.81035076,1104308.9386097
"27.5",2375498.92744516,2252950.81923668,2295962.57798307,2259102.84002212,2312277.95542104,2328322.70735648,2330385.31519745,2270173.52594571,2320284.48298684,2278732.37630088,2301367.68167499,2304825.52394905,2276686.8252591,2392338.58894801,2451125.50910106,2164952.76639954,2261576.98023482,2397476.61945776,2330293.45050893,2293509.31615421
"32.5",2464410.83713254,2337271.92081182,2381900.09733758,2343663.84761616,2398828.93978192,2415475.46095462,2417611.62397864,2355142.78754562,2407127.73741838,2364026.9701733,2387503.66667436,2391095.95857222,2361900.96657613,2481885.17578975,2542868.68503845,2245985.95253223,2346219.52583103,2487218.29854986,2417519.48049053,2379347.17242708
"37.5",1697096.24104348,1609518.2622697,1640291.79019561,1613980.00634197,1651967.12485622,1663438.2949749,1664886.66603166,1621846.88568383,1657635.96071565,1627995.92074571,1644126.74915554,1646631.82560462,1626507.66414585,1709157.11222865,1751129.69425613,1546690.64215035,1615671.10919479,1712847.03261534,1664842.86840161,1638484.96047341
"42.5",922673.997521501,874966.141362553,891850.635532435,877618.308343552,898264.022589204,904529.628651351,905231.49150511,881751.957052002,901172.215240682,885212.104951964,893845.452676202,895325.428956732,884311.64289358,929334.300184336,952066.284937846,840942.914649181,878277.926959322,931405.748653979,905281.852372771,890684.216008939
"47.5",478816.031799344,453824.260514823,462970.377571883,455766.599763476,466462.958553139,469786.896345116,469937.218260982,457553.216161431,467537.621951987,459641.498540411,463780.183643384,464843.23399241,458945.921906106,482530.045214539,494107.725724473,436505.0916611,455459.500400555,483768.283331937,470148.722523805,461904.84770744
"52.5",367861.207188037,348312.435954665,355910.616137117,350646.796081417,358838.395104562,361499.77868938,361297.308849028,351485.838015225,359017.723073247,353525.875350168,356197.512198048,357453.070869406,352652.004034267,371098.104905314,379667.26821821,335508.315459705,349445.051545122,372292.203949934,361735.262885113,354407.108909735
"57.5",444330.595192894,420530.395244258,430016.460686047,423803.576234551,433684.291590454,436956.546265481,436542.037322768,424528.903192991,433553.603271845,427228.779805804,430182.795880479,431935.302354036,425991.15606044,448447.524173731,458623.033829015,405336.486585806,421833.512677168,450020.069457554,437217.906862661,427830.767094484
"62.5",539944.071355797,510986.003548716,522574.649373959,515050.316162092,527055.907249461,531041.946057886,530510.602270479,515873.770031429,526833.668774404,519203.913132701,522743.682471089,524916.893356546,517667.930813428,544988.766429765,557321.998280187,492580.793603926,512563.407922878,546922.566596035,531354.434038688,519845.040774948
"67.5",571458.895255878,540801.104206114,553086.394644394,545122.024803879,557831.797156812,562048.697190508,561494.06128054,545972.57077255,557591.037301477,549519.997106205,553261.850684703,555567.203470466,547895.189934064,576813.711487003,589864.176035664,521352.246589763,542487.151719037,578859.650426331,562376.292165714,550172.905212659
"72.5",530854.8036609,502360.559158828,513808.4241168,506401.329600728,518217.070810024,522127.401559092,521638.575359555,507153.290463405,517995.471066792,510493.924394741,513971.12185632,516114.985408003,508994.732340392,535858.027987984,547982.69191472,484355.960858969,503970.094933764,537750.99756311,522425.116897406,511058.705203771
"77.5",449156.185934643,425016.90552722,434775.678773155,428490.810370741,438506.737825049,441801.023533098,441441.514811002,429048.807547689,438323.48926864,431968.309668809,434912.825208853,436731.416807713,430720.688502237,453448.616089251,463710.404415318,409911.13571673,426467.599884826,455034.74645487,442039.329339467,432360.473149209
"82.5",367547.82527369,347742.773809445,355852.712144503,350679.25755155,358907.575376909,361578.941082709,361377.026074429,351002.061676242,358765.008699805,353550.8131395,355964.392862542,357460.256259127,352565.494545229,371161.471655296,379564.389630441,335600.586030185,349082.232220016,372433.176544427,361750.506259465,353724.717632187
